id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
BAT_ELO_066,999,2,5,5,1,1.65,84.11
BAT_ELO_066,999,3,6,6,1,1.02,92.5
BAT_ELO_066,999,1,0,1,0,1.21,100.82
BAT_ELO_066,0,0,1,0,0,1.74,142.95
BAT_ELO_066,1,3,0,6,0,1.35,151.93
BAT_ELO_066,2,6,1,6,0,0.89,160.44
BAT_ELO_066,3,0,0,0,1,0.8,168.93
BAT_ELO_066,4,3,0,6,0,0.67,177.33
BAT_ELO_066,5,0,1,0,0,0.94,186.09
BAT_ELO_066,6,1,0,1,0,0.88,194.42
BAT_ELO_066,7,4,0,6,0,0.47,202.25
BAT_ELO_066,8,0,0,0,1,1.57,211.31
BAT_ELO_066,9,3,5,6,0,0.83,219.89
BAT_ELO_066,10,2,1,5,0,1.12,228.88
BAT_ELO_066,11,1,0,1,0,0.84,237.55
BAT_ELO_066,12,5,5,6,0,1.02,246.22
BAT_ELO_066,13,3,0,6,0,0.61,254.22
BAT_ELO_066,14,1,0,1,0,0.85,262.72
BAT_ELO_066,15,1,0,1,0,0.61,270.7
BAT_ELO_066,16,2,0,5,0,0.78,278.98
BAT_ELO_066,17,2,1,5,0,0.78,287.12
BAT_ELO_066,18,0,0,0,1,1.38,296.39
BAT_ELO_066,19,5,1,6,0,0.97,304.73
BAT_ELO_066,20,2,5,5,1,0.81,313.39
BAT_ELO_066,21,1,5,1,0,0.83,321.62
BAT_ELO_066,22,3,1,6,0,0.93,330.25
BAT_ELO_066,23,0,1,0,0,1.05,338.99
BAT_ELO_066,24,4,1,6,0,0.65,347.27
BAT_ELO_066,25,2,5,5,1,0.68,355.56
BAT_ELO_066,26,2,0,5,0,0.9,364.16
BAT_ELO_066,27,4,0,6,0,0.73,372.52
BAT_ELO_066,28,0,0,0,1,0.98,381.09
BAT_ELO_066,29,2,1,5,0,0.78,389.48
BAT_ELO_066,30,4,5,6,0,0.83,397.92
BAT_ELO_066,31,0,0,0,1,0.6,405.91
BAT_ELO_066,32,6,5,6,0,0.79,414.37
BAT_ELO_066,33,4,0,6,0,0.65,422.83
BAT_ELO_066,34,5,0,6,0,0.64,431.3
BAT_ELO_066,35,5,0,6,0,0.52,439.45
BAT_ELO_066,36,5,5,6,0,0.68,447.59
BAT_ELO_066,37,5,6,6,1,0.92,456.15
BAT_ELO_066,38,6,1,6,0,0.66,464.22
BAT_ELO_066,39,1,1,1,1,0.93,472.85
BAT_ELO_066,40,0,0,0,1,0.85,481.35
BAT_ELO_066,41,0,0,0,1,0.59,489.59
BAT_ELO_066,42,2,1,5,0,1.21,498.41
BAT_ELO_066,43,2,1,5,0,0.77,506.78
BAT_ELO_066,44,5,6,6,1,0.5,515.13
BAT_ELO_066,45,0,0,0,1,0.42,523.24
BAT_ELO_066,46,3,5,6,0,0.64,531.54
BAT_ELO_066,47,0,0,0,1,0.64,539.54
BAT_ELO_066,48,0,0,0,1,0.54,548.04
BAT_ELO_066,49,4,5,6,0,0.8,556.52
BAT_ELO_066,50,1,0,1,0,0.37,564.52
BAT_ELO_066,51,1,1,1,1,0.58,572.81
BAT_ELO_066,52,3,0,6,0,0.65,581.13
BAT_ELO_066,53,1,1,1,1,0.74,589.49
BAT_ELO_066,54,2,0,5,0,0.45,597.66
BAT_ELO_066,55,6,5,6,0,0.53,605.85
BAT_ELO_066,56,2,1,5,0,0.54,614.07
BAT_ELO_066,57,0,0,0,1,0.7,622.53
BAT_ELO_066,58,3,1,6,0,0.63,630.81
BAT_ELO_066,59,1,1,1,1,1.53,640.2
BAT_ELO_066,60,3,0,6,0,0.54,648.55
BAT_ELO_066,61,3,5,6,0,0.98,657.21
BAT_ELO_066,62,3,1,6,0,0.74,665.34
BAT_ELO_066,63,1,0,1,0,0.98,673.99
BAT_ELO_066,64,0,0,0,1,0.63,682.28
BAT_ELO_066,65,4,0,6,0,0.69,690.64
BAT_ELO_066,66,3,1,6,0,0.71,699.05
BAT_ELO_066,67,2,6,5,0,0.85,707.29
BAT_ELO_066,68,5,5,6,0,0.62,715.24
BAT_ELO_066,69,2,0,5,0,0.4,723.3
BAT_ELO_066,70,5,0,6,0,0.68,731.4
BAT_ELO_066,71,6,5,6,0,0.78,739.8
BAT_ELO_066,72,2,1,5,0,0.73,747.89
BAT_ELO_066,73,0,0,0,1,0.96,756.48
BAT_ELO_066,74,1,0,1,0,0.57,764.75
BAT_ELO_066,75,2,5,5,1,0.63,773.03
BAT_ELO_066,76,2,1,5,0,1.11,781.86
BAT_ELO_066,77,1,0,1,0,0.39,789.95
BAT_ELO_066,78,4,5,6,0,0.89,798.46
BAT_ELO_066,79,2,1,5,0,1.19,807.28
BAT_ELO_066,80,2,0,5,0,0.98,816.15
BAT_ELO_066,81,0,0,0,1,0.64,824.18
BAT_ELO_066,82,4,5,6,0,0.79,832.46
BAT_ELO_066,83,4,0,6,0,0.34,840.46
BAT_ELO_066,84,2,0,5,0,0.72,848.54
BAT_ELO_066,85,4,1,6,0,1.17,857.09
