id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
BAT_ELO_066,100,6,6,1,0,2.02,41.17
BAT_ELO_066,101,6,6,1,0,0.9,46.24
BAT_ELO_066,102,6,0,0,0,0.82,51.23
BAT_ELO_066,0,0,0,1,1,7.04,78.81
BAT_ELO_066,1,6,6,1,2,0.65,81.64
BAT_ELO_066,2,6,6,1,3,0.71,84.53
BAT_ELO_066,3,6,6,1,4,0.31,87.02
BAT_ELO_066,4,6,6,1,5,0.36,89.57
BAT_ELO_066,5,6,6,1,6,0.45,92.2
BAT_ELO_066,6,6,6,1,7,0.53,94.91
BAT_ELO_066,7,0,6,0,7,1.76,98.87
BAT_ELO_066,8,0,0,1,8,0.56,101.62
BAT_ELO_066,9,6,6,1,9,0.3,104.1
BAT_ELO_066,10,6,6,1,10,0.76,107.02
BAT_ELO_066,11,6,6,1,11,0.65,109.84
BAT_ELO_066,12,0,0,1,12,0.73,112.76
BAT_ELO_066,13,6,6,1,13,1.76,116.68
BAT_ELO_066,14,6,6,1,14,0.35,119.23
BAT_ELO_066,15,6,6,1,15,0.41,121.82
BAT_ELO_066,16,6,6,1,16,0.37,124.38
BAT_ELO_066,17,6,6,1,17,0.31,126.87
BAT_ELO_066,18,6,6,1,18,0.34,129.37
BAT_ELO_066,19,0,0,1,19,0.23,131.81
BAT_ELO_066,20,6,6,1,20,0.5,134.49
BAT_ELO_066,21,6,6,1,21,0.26,136.94
BAT_ELO_066,22,6,6,1,22,0.22,139.35
BAT_ELO_066,23,6,6,1,23,0.27,141.81
BAT_ELO_066,24,0,0,1,24,0.23,144.24
BAT_ELO_066,25,6,6,1,25,0.88,147.31
BAT_ELO_066,26,0,0,1,26,1.08,150.56
BAT_ELO_066,27,6,6,1,27,2.58,155.32
BAT_ELO_066,28,6,6,1,28,1.92,159.43
BAT_ELO_066,29,6,6,1,29,0.93,162.54
BAT_ELO_066,30,0,6,0,29,0.34,165.05
BAT_ELO_066,31,0,0,1,30,0.68,167.91
BAT_ELO_066,32,6,6,1,31,0.84,170.93
BAT_ELO_066,33,0,0,1,32,0.25,173.37
BAT_ELO_066,34,0,0,1,33,0.28,175.84
BAT_ELO_066,35,6,6,1,34,0.4,178.41
BAT_ELO_066,36,6,6,1,35,0.23,180.84
BAT_ELO_066,37,0,0,1,36,0.25,183.3
BAT_ELO_066,38,0,0,1,37,0.24,185.75
BAT_ELO_066,39,6,6,1,38,4.33,192.28
BAT_ELO_066,40,0,0,1,39,0.36,194.84
BAT_ELO_066,41,0,0,1,40,0.22,197.25
BAT_ELO_066,42,6,6,1,41,0.25,199.68
BAT_ELO_066,43,0,6,0,41,0.32,202.18
BAT_ELO_066,44,6,6,1,42,0.93,205.31
BAT_ELO_066,45,6,6,1,43,2.68,210.17
BAT_ELO_066,46,6,6,1,44,0.47,212.84
BAT_ELO_066,47,6,6,1,45,0.23,215.28
BAT_ELO_066,48,0,0,1,46,0.24,217.72
BAT_ELO_066,49,0,0,1,47,0.27,220.18
BAT_ELO_066,50,0,0,1,48,0.27,222.65
BAT_ELO_066,51,0,6,0,48,0.4,225.23
BAT_ELO_066,52,6,6,1,49,2.48,229.91
BAT_ELO_066,53,6,6,1,50,0.28,232.37
BAT_ELO_066,54,6,6,1,51,1.13,235.71
BAT_ELO_066,55,6,6,1,52,0.75,238.65
BAT_ELO_066,56,6,6,1,53,0.23,241.06
BAT_ELO_066,57,6,6,1,54,0.26,243.52
BAT_ELO_066,58,6,6,1,55,1.09,246.8
BAT_ELO_066,59,6,6,1,56,1.92,250.93
BAT_ELO_066,60,0,6,0,56,1.34,254.47
BAT_ELO_066,61,6,6,1,57,0.41,257.09
BAT_ELO_066,62,6,6,1,58,0.26,259.56
BAT_ELO_066,63,6,6,1,59,0.29,262.05
BAT_ELO_066,64,6,6,1,60,0.19,264.44
BAT_ELO_066,65,6,6,1,61,1.02,267.65
BAT_ELO_066,66,6,6,1,62,0.28,270.12
BAT_ELO_066,67,0,0,1,63,0.2,272.52
BAT_ELO_066,68,0,0,1,64,0.4,275.11
BAT_ELO_066,69,6,6,1,65,0.22,277.53
BAT_ELO_066,70,6,6,1,66,0.78,280.48
BAT_ELO_066,71,6,6,1,67,0.26,282.94
BAT_ELO_066,72,6,6,1,68,0.27,285.4
BAT_ELO_066,73,0,0,1,69,0.23,287.81
BAT_ELO_066,74,0,0,1,70,0.57,290.56
BAT_ELO_066,75,6,6,1,71,0.25,293.01
BAT_ELO_066,76,6,6,1,72,0.26,295.46
BAT_ELO_066,77,6,6,1,73,0.45,298.12
BAT_ELO_066,78,6,6,1,74,1.25,301.54
BAT_ELO_066,79,6,6,1,75,1.17,304.9
BAT_ELO_066,80,6,6,1,76,0.32,307.44
BAT_ELO_066,81,0,0,1,77,0.23,309.86
BAT_ELO_066,82,6,6,1,78,0.3,312.35
BAT_ELO_066,83,6,6,1,79,0.83,315.37
BAT_ELO_066,84,0,0,1,80,0.28,317.84
BAT_ELO_066,85,6,6,1,81,0.25,320.27
BAT_ELO_066,86,6,6,1,82,0.2,322.65
BAT_ELO_066,87,6,6,1,83,0.69,325.52
BAT_ELO_066,88,6,6,1,84,0.39,328.1
