id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
BEN_AMI_037,100,29,45,29,29,1,common,0,1.83,61.22
BEN_AMI_037,101,66,52,52,52,1,common,0,2.22,68.17
BEN_AMI_037,102,53,44,44,44,1,common,0,1.55,74.46
BEN_AMI_037,0,44,24,24,24,1,common,1,1.89,93.75
BEN_AMI_037,1,23,29,23,23,1,common,2,1.37,97.84
BEN_AMI_037,2,12,27,12,12,1,common,3,1.73,102.29
BEN_AMI_037,3,65,74,65,65,1,common,4,1.44,106.47
BEN_AMI_037,4,90,75,75,75,1,common,5,1.11,110.33
BEN_AMI_037,5,18,12,12,12,1,common,6,0.94,113.96
BEN_AMI_037,6,16,9,16,9,0,common,6,1.64,118.27
BEN_AMI_037,7,40,25,25,40,0,common,6,1.07,122.03
BEN_AMI_037,8,75,60,60,60,1,common,7,1.29,126.06
BEN_AMI_037,9,43,25,25,25,1,common,8,3.09,131.87
BEN_AMI_037,10,26,15,26,15,0,common,8,2.36,136.94
BEN_AMI_037,11,54,71,54,54,1,common,9,3.23,142.91
BEN_AMI_037,12,46,29,29,29,1,common,10,1.13,146.75
BEN_AMI_037,13,53,33,33,33,1,common,11,1.04,150.53
BEN_AMI_037,14,38,52,38,38,1,common,12,3.1,156.39
BEN_AMI_037,15,24,44,24,24,1,common,13,0.83,159.94
BEN_AMI_037,16,13,12,12,12,1,common,14,1.46,164.09
BEN_AMI_037,17,58,64,58,58,1,common,15,1.34,168.19
BEN_AMI_037,18,13,31,13,13,1,common,16,2.85,173.77
BEN_AMI_037,19,98,88,88,88,1,common,17,4.79,181.31
BEN_AMI_037,20,43,31,31,31,1,common,18,1.35,185.39
BEN_AMI_037,21,25,36,36,25,0,common,18,1.56,189.66
BEN_AMI_037,22,42,29,29,29,1,common,19,4.62,196.97
BEN_AMI_037,23,32,20,20,20,1,common,20,2.73,202.38
BEN_AMI_037,24,36,19,36,36,1,common,21,2.7,207.82
BEN_AMI_037,25,36,48,36,36,1,common,22,1.54,212.09
BEN_AMI_037,26,13,33,13,13,1,common,23,1.2,216.0
BEN_AMI_037,27,35,45,35,35,1,common,24,1.15,219.9
BEN_AMI_037,28,35,24,24,24,1,common,25,2.5,225.1
BEN_AMI_037,29,45,28,28,28,1,common,26,1.21,229.05
BEN_AMI_037,30,13,30,13,13,1,common,27,1.38,233.13
BEN_AMI_037,31,17,36,36,36,1,common,28,1.44,237.29
BEN_AMI_037,32,62,74,62,62,1,common,29,1.33,241.37
BEN_AMI_037,33,31,26,26,26,1,common,30,2.08,246.17
BEN_AMI_037,34,38,28,28,28,1,common,31,1.06,249.95
BEN_AMI_037,35,72,81,72,72,1,common,32,1.9,254.62
BEN_AMI_037,36,21,16,16,16,1,common,33,2.08,259.41
BEN_AMI_037,37,21,36,36,36,1,common,34,1.15,263.27
BEN_AMI_037,38,16,36,16,16,1,common,35,1.27,267.27
BEN_AMI_037,39,8,16,8,8,1,common,36,0.95,270.94
BEN_AMI_037,40,18,12,12,12,1,common,37,0.82,274.47
BEN_AMI_037,41,67,76,76,67,0,common,37,2.51,279.71
BEN_AMI_037,42,84,92,84,84,1,common,38,1.26,283.71
BEN_AMI_037,43,34,14,14,14,1,common,39,0.92,287.39
BEN_AMI_037,44,14,9,9,9,1,common,40,0.85,290.92
BEN_AMI_037,45,103,83,83,83,1,common,41,0.95,294.62
BEN_AMI_037,46,23,33,23,23,1,common,42,0.97,298.27
BEN_AMI_037,47,19,28,28,28,1,common,43,1.3,302.31
BEN_AMI_037,48,30,41,30,30,1,common,44,2.08,307.1
BEN_AMI_037,49,35,53,35,35,1,common,45,0.9,310.74
BEN_AMI_037,50,34,33,33,33,1,pro,46,1.65,315.08
BEN_AMI_037,51,81,86,86,81,0,pro,46,1.61,319.44
BEN_AMI_037,52,52,33,52,33,0,pro,46,1.45,323.6
BEN_AMI_037,53,44,30,30,30,1,pro,47,0.79,327.14
BEN_AMI_037,54,30,35,30,30,1,pro,48,2.25,332.11
BEN_AMI_037,55,52,20,52,52,1,pro,49,2.33,337.15
BEN_AMI_037,56,52,31,52,52,1,pro,50,4.86,344.74
BEN_AMI_037,57,24,32,32,24,0,pro,50,4.49,351.94
BEN_AMI_037,58,35,60,60,60,1,pro,51,3.2,357.87
BEN_AMI_037,59,27,32,32,32,1,pro,52,1.33,361.94
BEN_AMI_037,60,31,20,20,20,1,pro,53,1.4,366.04
BEN_AMI_037,61,23,29,23,23,1,pro,54,1.73,370.52
BEN_AMI_037,62,14,24,24,24,1,pro,55,1.26,374.49
BEN_AMI_037,63,32,51,32,32,1,pro,56,2.12,379.37
BEN_AMI_037,64,30,11,11,11,1,pro,57,0.84,382.91
BEN_AMI_037,65,72,53,53,53,1,pro,58,1.13,386.78
BEN_AMI_037,66,41,51,41,41,1,pro,59,1.16,390.71
BEN_AMI_037,67,42,26,26,26,1,pro,60,0.73,394.18
BEN_AMI_037,68,48,23,48,48,1,pro,61,4.19,401.11
BEN_AMI_037,69,56,30,56,56,1,pro,62,2.04,405.89
BEN_AMI_037,70,43,62,43,43,1,pro,63,2.02,410.66
BEN_AMI_037,71,50,44,44,44,1,pro,64,0.9,414.33
BEN_AMI_037,72,14,20,20,20,1,pro,65,1.55,418.59
BEN_AMI_037,73,32,26,26,26,1,pro,66,2.36,423.63
BEN_AMI_037,74,39,19,19,19,1,pro,67,2.81,429.13
BEN_AMI_037,75,14,24,24,24,1,pro,68,2.93,434.79
BEN_AMI_037,76,70,55,55,55,1,pro,69,1.84,439.36
BEN_AMI_037,77,6,15,6,6,1,pro,70,0.61,442.67
BEN_AMI_037,78,44,31,31,31,1,pro,71,0.84,446.25
BEN_AMI_037,79,28,60,60,60,1,pro,72,5.94,454.92
BEN_AMI_037,80,20,31,31,20,0,pro,72,8.08,465.7
BEN_AMI_037,81,23,36,36,36,1,pro,73,2.06,470.46
BEN_AMI_037,82,63,80,63,63,1,pro,74,1.74,474.98
BEN_AMI_037,83,8,28,8,8,1,pro,75,0.78,478.47
BEN_AMI_037,84,21,32,32,32,1,pro,76,2.22,483.41
BEN_AMI_037,85,29,41,29,29,1,pro,77,1.16,487.26
BEN_AMI_037,86,22,40,40,40,1,pro,78,1.56,491.57
BEN_AMI_037,87,27,14,14,14,1,pro,79,1.84,496.14
BEN_AMI_037,88,32,48,48,48,1,pro,80,3.37,502.22
BEN_AMI_037,89,29,42,29,29,1,pro,81,1.85,506.82
BEN_AMI_037,90,92,81,81,81,1,pro,82,1.08,510.67
BEN_AMI_037,91,20,22,20,20,1,pro,83,1.35,514.74
BEN_AMI_037,92,32,45,32,32,1,pro,84,1.07,518.53
BEN_AMI_037,93,33,49,33,33,1,pro,85,3.05,524.29
BEN_AMI_037,94,58,41,41,41,1,pro,86,0.97,528.03
BEN_AMI_037,95,22,36,36,36,1,pro,87,3.46,534.23
BEN_AMI_037,96,77,83,77,77,1,pro,88,1.54,538.55
BEN_AMI_037,97,68,62,62,62,1,pro,89,1.25,542.56
BEN_AMI_037,98,22,17,22,17,0,pro,89,4.65,549.94
BEN_AMI_037,99,18,29,18,18,1,pro,90,4.37,557.05
