id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
CAL_VIC_046,100,45,29,29,29,1,common,0,1.81,41.69
CAL_VIC_046,101,52,66,66,52,0,common,0,1.65,48.1
CAL_VIC_046,102,53,44,53,44,0,common,0,1.51,54.36
CAL_VIC_046,0,24,44,24,24,1,common,1,2.09,74.4
CAL_VIC_046,1,23,29,23,23,1,common,2,1.39,78.55
CAL_VIC_046,2,27,12,12,12,1,common,3,1.08,82.34
CAL_VIC_046,3,74,65,65,65,1,common,4,1.59,86.71
CAL_VIC_046,4,75,90,75,75,1,common,5,1.04,90.54
CAL_VIC_046,5,12,18,12,12,1,common,6,1.11,94.37
CAL_VIC_046,6,16,9,9,9,1,common,7,0.68,97.77
CAL_VIC_046,7,25,40,40,40,1,common,8,0.87,101.37
CAL_VIC_046,8,75,60,60,60,1,common,9,0.78,104.93
CAL_VIC_046,9,43,25,25,25,1,common,10,0.83,108.52
CAL_VIC_046,10,15,26,15,15,1,common,11,1.16,112.41
CAL_VIC_046,11,54,71,54,54,1,common,12,0.85,116.06
CAL_VIC_046,12,46,29,29,29,1,common,13,1.1,119.88
CAL_VIC_046,13,53,33,33,33,1,common,14,0.68,123.33
CAL_VIC_046,14,38,52,52,38,0,common,14,1.87,127.97
CAL_VIC_046,15,24,44,24,24,1,common,15,0.76,131.46
CAL_VIC_046,16,13,12,13,12,0,common,15,1.29,135.46
CAL_VIC_046,17,58,64,58,58,1,common,16,1.11,139.36
CAL_VIC_046,18,31,13,13,13,1,common,17,0.72,142.82
CAL_VIC_046,19,98,88,98,88,0,common,17,0.88,146.47
CAL_VIC_046,20,43,31,31,31,1,common,18,1.11,150.35
CAL_VIC_046,21,25,36,36,25,0,common,18,0.94,154.01
CAL_VIC_046,22,29,42,29,29,1,common,19,0.74,157.46
CAL_VIC_046,23,32,20,20,20,1,common,20,1.05,161.22
CAL_VIC_046,24,19,36,36,36,1,common,21,0.63,164.6
