id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
CAR_PIE_016,999,2,5,5,1,1.54,78.12
CAR_PIE_016,999,3,5,6,0,0.72,86.2
CAR_PIE_016,999,1,1,1,1,1.01,94.29
CAR_PIE_016,0,0,1,0,0,0.95,118.66
CAR_PIE_016,1,3,1,6,0,1.22,127.52
CAR_PIE_016,2,6,5,6,0,0.62,135.72
CAR_PIE_016,3,0,1,0,0,1.49,144.88
CAR_PIE_016,4,3,0,6,0,0.69,153.22
CAR_PIE_016,5,0,1,0,0,0.64,161.67
CAR_PIE_016,6,1,1,1,1,0.88,169.99
CAR_PIE_016,7,4,1,6,0,0.63,177.95
CAR_PIE_016,8,0,1,0,0,1.01,186.46
CAR_PIE_016,9,3,6,6,1,0.59,194.79
CAR_PIE_016,10,2,0,5,0,0.94,203.55
CAR_PIE_016,11,1,1,1,1,0.58,211.94
CAR_PIE_016,12,5,5,6,0,0.91,220.51
CAR_PIE_016,13,3,0,6,0,2.39,230.29
CAR_PIE_016,14,1,0,1,0,1.64,239.6
CAR_PIE_016,15,1,0,1,0,0.52,247.49
CAR_PIE_016,16,2,0,5,0,1.58,256.55
CAR_PIE_016,17,2,1,5,0,0.56,264.47
CAR_PIE_016,18,0,0,0,1,0.67,272.98
CAR_PIE_016,19,5,1,6,0,1.32,281.7
CAR_PIE_016,20,2,1,5,0,0.88,290.52
CAR_PIE_016,21,1,0,1,0,1.51,299.41
CAR_PIE_016,22,3,1,6,0,1.01,308.13
CAR_PIE_016,23,0,0,0,1,0.57,316.39
CAR_PIE_016,24,4,1,6,0,0.47,324.45
CAR_PIE_016,25,2,1,5,0,0.74,332.8
CAR_PIE_016,26,2,1,5,0,0.35,340.83
CAR_PIE_016,27,4,5,6,0,0.46,348.93
CAR_PIE_016,28,0,0,0,1,0.69,357.2
CAR_PIE_016,29,2,1,5,0,0.54,365.39
CAR_PIE_016,30,4,1,6,0,3.3,376.27
CAR_PIE_016,31,0,0,0,1,1.05,384.7
CAR_PIE_016,32,6,5,6,0,0.47,392.86
CAR_PIE_016,33,4,5,6,0,0.39,401.11
CAR_PIE_016,34,5,1,6,0,1.16,410.09
CAR_PIE_016,35,5,5,6,0,0.43,418.13
CAR_PIE_016,36,5,5,6,0,0.58,426.17
CAR_PIE_016,37,5,5,6,0,0.41,434.23
CAR_PIE_016,38,6,5,6,0,0.48,442.08
CAR_PIE_016,39,1,1,1,1,0.63,450.41
CAR_PIE_016,40,0,0,0,1,0.55,458.6
CAR_PIE_016,41,0,0,0,1,0.89,467.14
CAR_PIE_016,42,2,0,5,0,0.59,475.45
CAR_PIE_016,43,2,0,5,0,0.76,483.81
CAR_PIE_016,44,5,5,6,0,0.56,492.2
CAR_PIE_016,45,0,0,0,1,4.31,504.19
CAR_PIE_016,46,3,0,6,0,0.74,512.61
CAR_PIE_016,47,0,0,0,1,0.56,520.5
CAR_PIE_016,48,0,0,0,1,0.7,529.07
CAR_PIE_016,49,4,5,6,0,0.4,537.15
CAR_PIE_016,50,1,0,1,0,1.69,546.46
CAR_PIE_016,51,1,0,1,0,0.77,554.97
CAR_PIE_016,52,3,0,6,0,0.66,563.33
