id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
CAR_PIE_016,100,6,6,1,0,0.67,40.24
CAR_PIE_016,101,6,6,1,0,0.53,44.92
CAR_PIE_016,102,6,0,0,0,0.39,49.47
CAR_PIE_016,0,0,0,1,1,1.3,69.87
CAR_PIE_016,1,6,6,1,2,1.1,73.12
CAR_PIE_016,2,0,6,0,2,2.4,77.69
CAR_PIE_016,3,6,6,1,3,0.24,80.11
CAR_PIE_016,4,6,6,1,4,0.32,82.61
CAR_PIE_016,5,6,6,1,5,0.67,85.45
CAR_PIE_016,6,6,6,1,6,1.0,88.64
CAR_PIE_016,7,6,6,1,7,0.42,91.24
CAR_PIE_016,8,0,0,1,8,0.37,93.79
CAR_PIE_016,9,6,6,1,9,0.54,96.52
CAR_PIE_016,10,6,6,1,10,1.12,99.83
CAR_PIE_016,11,6,6,1,11,0.47,102.46
CAR_PIE_016,12,0,0,1,12,0.29,104.93
CAR_PIE_016,13,6,6,1,13,0.28,107.38
CAR_PIE_016,14,6,6,1,14,0.3,109.86
CAR_PIE_016,15,0,6,0,14,0.24,112.31
CAR_PIE_016,16,6,6,1,15,0.54,115.04
CAR_PIE_016,17,6,6,1,16,0.42,117.64
CAR_PIE_016,18,6,6,1,17,0.21,120.03
CAR_PIE_016,19,0,0,1,18,0.29,122.52
CAR_PIE_016,20,0,6,0,18,0.7,125.41
CAR_PIE_016,21,6,6,1,19,0.22,127.81
CAR_PIE_016,22,0,6,0,19,1.23,131.22
CAR_PIE_016,23,6,6,1,20,0.23,133.64
CAR_PIE_016,24,0,0,1,21,0.22,136.06
CAR_PIE_016,25,6,6,1,22,0.3,138.54
CAR_PIE_016,26,0,0,1,23,0.23,140.94
CAR_PIE_016,27,6,6,1,24,0.21,143.33
CAR_PIE_016,28,6,6,1,25,0.14,145.66
CAR_PIE_016,29,6,6,1,26,0.4,148.26
CAR_PIE_016,30,6,6,1,27,0.31,150.75
CAR_PIE_016,31,0,0,1,28,0.19,153.13
CAR_PIE_016,32,6,6,1,29,0.22,155.51
CAR_PIE_016,33,0,0,1,30,0.21,157.91
CAR_PIE_016,34,0,0,1,31,0.23,160.33
CAR_PIE_016,35,6,6,1,32,0.24,162.77
CAR_PIE_016,36,6,6,1,33,0.03,164.99
CAR_PIE_016,37,0,0,1,34,0.11,167.27
CAR_PIE_016,38,0,0,1,35,0.11,169.57
CAR_PIE_016,39,6,6,1,36,0.13,171.89
CAR_PIE_016,40,0,0,1,37,0.21,174.28
CAR_PIE_016,41,0,0,1,38,0.19,176.66
CAR_PIE_016,42,6,6,1,39,0.18,179.02
CAR_PIE_016,43,6,6,1,40,0.12,181.31
CAR_PIE_016,44,6,6,1,41,0.14,183.63
CAR_PIE_016,45,6,6,1,42,0.19,185.98
CAR_PIE_016,46,6,6,1,43,0.05,188.22
CAR_PIE_016,47,6,6,1,44,0.57,190.96
CAR_PIE_016,48,0,0,1,45,0.03,193.19
CAR_PIE_016,49,0,0,1,46,0.19,195.55
CAR_PIE_016,50,0,0,1,47,0.2,197.94
CAR_PIE_016,51,6,6,1,48,0.13,200.26
CAR_PIE_016,52,6,6,1,49,0.51,202.96
CAR_PIE_016,53,6,6,1,50,0.36,205.5
CAR_PIE_016,54,6,6,1,51,0.29,207.97
CAR_PIE_016,55,6,6,1,52,0.09,210.24
CAR_PIE_016,56,6,6,1,53,0.19,212.6
CAR_PIE_016,57,6,6,1,54,0.17,214.93
CAR_PIE_016,58,6,6,1,55,0.19,217.32
CAR_PIE_016,59,6,6,1,56,0.06,219.57
CAR_PIE_016,60,6,6,1,57,0.17,221.91
CAR_PIE_016,61,6,6,1,58,0.05,224.14
CAR_PIE_016,62,6,6,1,59,0.31,226.65
CAR_PIE_016,63,6,6,1,60,0.13,228.96
CAR_PIE_016,64,6,6,1,61,0.18,231.34
CAR_PIE_016,65,6,6,1,62,0.2,233.71
CAR_PIE_016,66,6,6,1,63,0.21,236.09
CAR_PIE_016,67,0,0,1,64,0.21,238.47
CAR_PIE_016,68,0,0,1,65,0.17,240.81
CAR_PIE_016,69,6,6,1,66,0.09,243.08
CAR_PIE_016,70,6,6,1,67,0.17,245.42
CAR_PIE_016,71,6,6,1,68,0.19,247.78
CAR_PIE_016,72,6,6,1,69,0.11,250.05
CAR_PIE_016,73,0,0,1,70,0.15,252.38
CAR_PIE_016,74,0,0,1,71,0.2,254.76
CAR_PIE_016,75,6,6,1,72,0.44,257.38
CAR_PIE_016,76,6,6,1,73,0.19,259.73
CAR_PIE_016,77,6,6,1,74,0.21,262.12
CAR_PIE_016,78,6,6,1,75,0.27,264.58
CAR_PIE_016,79,6,6,1,76,0.22,266.98
CAR_PIE_016,80,6,6,1,77,0.24,269.4
CAR_PIE_016,81,0,0,1,78,0.11,271.69
CAR_PIE_016,82,6,6,1,79,0.24,274.1
CAR_PIE_016,83,6,6,1,80,0.05,276.33
CAR_PIE_016,84,0,0,1,81,0.22,278.71
CAR_PIE_016,85,6,6,1,82,0.22,281.1
CAR_PIE_016,86,6,6,1,83,0.26,283.53
CAR_PIE_016,87,6,6,1,84,0.21,285.92
CAR_PIE_016,88,6,6,1,85,0.19,288.27
CAR_PIE_016,89,6,6,1,86,0.18,290.6
CAR_PIE_016,90,0,0,1,87,0.26,293.04
CAR_PIE_016,91,6,6,1,88,0.04,295.25
CAR_PIE_016,92,0,6,0,88,0.3,297.71
CAR_PIE_016,93,6,6,1,89,0.18,300.06
CAR_PIE_016,94,6,6,1,90,0.28,302.5
CAR_PIE_016,95,6,6,1,91,0.28,304.96
CAR_PIE_016,96,0,6,0,91,0.29,307.42
CAR_PIE_016,97,0,0,1,92,0.23,309.85
CAR_PIE_016,98,0,0,1,93,0.28,312.31
CAR_PIE_016,99,0,6,0,93,0.42,314.9
