id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
CHA_BRU_018,999,2,0,5,0,8.04,165.12
CHA_BRU_018,999,3,0,6,0,1.94,174.42
CHA_BRU_018,999,1,6,1,0,2.6,184.1
CHA_BRU_018,0,0,1,0,0,0.2,211.57
CHA_BRU_018,1,3,1,6,0,0.87,220.1
CHA_BRU_018,2,6,5,6,0,0.17,227.89
CHA_BRU_018,3,0,6,0,0,0.32,235.89
CHA_BRU_018,4,3,5,6,0,0.25,243.82
CHA_BRU_018,5,0,5,0,0,0.25,251.96
CHA_BRU_018,6,1,1,1,1,5.84,265.25
CHA_BRU_018,7,4,5,6,0,0.21,272.81
CHA_BRU_018,8,0,0,0,1,0.27,280.52
CHA_BRU_018,9,3,1,6,0,1.23,289.5
CHA_BRU_018,10,2,5,5,1,0.19,297.58
CHA_BRU_018,11,1,0,1,0,3.56,308.95
CHA_BRU_018,12,5,5,6,0,3.27,319.89
CHA_BRU_018,13,3,5,6,0,2.09,329.36
CHA_BRU_018,14,1,5,1,0,1.47,338.5
CHA_BRU_018,15,1,0,1,0,2.86,348.7
CHA_BRU_018,16,2,1,5,0,1.14,357.32
CHA_BRU_018,17,2,1,5,0,0.35,365.06
CHA_BRU_018,18,0,1,0,0,3.31,376.23
CHA_BRU_018,19,5,5,6,0,1.46,385.08
CHA_BRU_018,20,2,5,5,1,1.79,394.69
CHA_BRU_018,21,1,1,1,1,2.47,404.56
CHA_BRU_018,22,3,1,6,0,2.03,414.33
CHA_BRU_018,23,0,5,0,0,3.0,425.02
CHA_BRU_018,24,4,5,6,0,1.03,433.7
CHA_BRU_018,25,2,5,5,1,2.48,443.8
CHA_BRU_018,26,2,0,5,0,2.25,453.74
CHA_BRU_018,27,4,1,6,0,1.65,463.04
CHA_BRU_018,28,0,0,0,1,2.62,473.28
CHA_BRU_018,29,2,0,5,0,1.64,482.62
CHA_BRU_018,30,4,0,6,0,1.48,491.7
CHA_BRU_018,31,0,0,0,1,1.15,500.23
CHA_BRU_018,32,6,0,6,0,2.13,510.07
CHA_BRU_018,33,4,1,6,0,0.65,518.59
CHA_BRU_018,34,5,0,6,0,1.52,527.96
CHA_BRU_018,35,5,1,6,0,0.94,536.53
CHA_BRU_018,36,5,1,6,0,1.19,545.2
CHA_BRU_018,37,5,0,6,0,2.54,555.45
CHA_BRU_018,38,6,5,6,0,1.97,564.81
CHA_BRU_018,39,1,5,1,0,0.79,573.31
CHA_BRU_018,40,0,5,0,0,1.83,582.74
CHA_BRU_018,41,0,0,0,1,3.37,593.76
CHA_BRU_018,42,2,0,5,0,1.87,603.3
CHA_BRU_018,43,2,0,5,0,2.62,613.53
CHA_BRU_018,44,5,0,6,0,1.43,622.79
CHA_BRU_018,45,0,1,0,0,1.81,632.26
CHA_BRU_018,46,3,0,6,0,0.97,640.89
CHA_BRU_018,47,0,0,0,1,1.09,649.32
