id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
CHA_BRU_018,100,6,6,1,0,1.65,60.67
CHA_BRU_018,101,0,6,0,0,1.3,66.12
CHA_BRU_018,102,6,0,0,0,0.02,70.3
CHA_BRU_018,0,0,0,1,1,1.56,89.98
CHA_BRU_018,1,6,6,1,2,0.22,92.34
CHA_BRU_018,2,6,6,1,3,0.45,94.95
CHA_BRU_018,3,6,6,1,4,0.51,97.62
CHA_BRU_018,4,6,6,1,5,0.49,100.26
CHA_BRU_018,5,6,6,1,6,0.77,103.2
CHA_BRU_018,6,6,6,1,7,1.64,107.0
CHA_BRU_018,7,6,6,1,8,3.0,112.16
CHA_BRU_018,8,0,0,1,9,0.59,114.92
CHA_BRU_018,9,6,6,1,10,1.95,119.03
CHA_BRU_018,10,6,6,1,11,1.53,122.71
CHA_BRU_018,11,0,6,0,11,1.08,125.94
CHA_BRU_018,12,0,0,1,12,0.83,128.94
CHA_BRU_018,13,6,6,1,13,0.19,131.3
CHA_BRU_018,14,6,6,1,14,0.47,133.95
CHA_BRU_018,15,6,6,1,15,0.52,136.65
CHA_BRU_018,16,0,6,0,15,0.36,139.17
CHA_BRU_018,17,6,6,1,16,0.24,141.57
CHA_BRU_018,18,6,6,1,17,0.77,144.52
CHA_BRU_018,19,0,0,1,18,0.5,147.21
CHA_BRU_018,20,6,6,1,19,0.9,150.28
CHA_BRU_018,21,6,6,1,20,1.16,153.58
CHA_BRU_018,22,6,6,1,21,0.82,156.56
CHA_BRU_018,23,6,6,1,22,0.66,159.39
CHA_BRU_018,24,0,0,1,23,0.64,162.19
CHA_BRU_018,25,6,6,1,24,1.31,165.66
CHA_BRU_018,26,0,0,1,25,0.48,168.31
CHA_BRU_018,27,0,6,0,25,0.79,171.28
CHA_BRU_018,28,0,6,0,25,0.84,174.28
CHA_BRU_018,29,6,6,1,26,0.81,177.24
CHA_BRU_018,30,6,6,1,27,0.78,180.14
CHA_BRU_018,31,0,0,1,28,0.59,182.9
CHA_BRU_018,32,6,6,1,29,0.62,185.68
CHA_BRU_018,33,0,0,1,30,0.66,188.51
CHA_BRU_018,34,0,0,1,31,0.65,191.33
CHA_BRU_018,35,6,6,1,32,0.45,193.93
CHA_BRU_018,36,6,6,1,33,0.69,196.8
CHA_BRU_018,37,0,0,1,34,0.87,199.87
CHA_BRU_018,38,0,0,1,35,0.9,202.93
CHA_BRU_018,39,6,6,1,36,0.35,205.44
CHA_BRU_018,40,0,0,1,37,0.4,208.0
