id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
CHO_LYD_034,100,45,29,29,29,1,common,0,2.05,49.1
CHO_LYD_034,101,66,52,52,52,1,common,0,4.13,57.95
CHO_LYD_034,102,53,44,53,44,0,common,0,2.09,64.77
CHO_LYD_034,0,24,44,24,24,1,common,1,2.09,85.16
CHO_LYD_034,1,23,29,23,23,1,common,2,1.16,89.06
CHO_LYD_034,2,12,27,12,12,1,common,3,1.16,92.91
CHO_LYD_034,3,65,74,74,65,0,common,3,1.53,97.2
CHO_LYD_034,4,75,90,75,75,1,common,4,1.3,101.31
CHO_LYD_034,5,12,18,12,12,1,common,5,1.29,105.38
CHO_LYD_034,6,16,9,9,9,1,common,6,1.15,109.24
CHO_LYD_034,7,25,40,25,40,0,common,6,1.24,113.19
CHO_LYD_034,8,75,60,60,60,1,common,7,1.3,117.22
CHO_LYD_034,9,43,25,25,25,1,common,8,1.21,121.18
CHO_LYD_034,10,15,26,15,15,1,common,9,1.52,125.41
CHO_LYD_034,11,54,71,54,54,1,common,10,1.11,129.27
CHO_LYD_034,12,46,29,29,29,1,common,11,1.19,133.16
CHO_LYD_034,13,33,53,33,33,1,common,12,1.56,137.46
CHO_LYD_034,14,38,52,38,38,1,common,13,0.94,141.13
CHO_LYD_034,15,24,44,24,24,1,common,14,0.68,144.53
CHO_LYD_034,16,13,12,13,12,0,common,14,1.51,148.75
CHO_LYD_034,17,58,64,58,58,1,common,15,1.15,152.65
CHO_LYD_034,18,31,13,13,13,1,common,16,1.14,156.53
CHO_LYD_034,19,98,88,88,88,1,common,17,1.11,160.41
CHO_LYD_034,20,43,31,31,31,1,common,18,1.07,164.23
CHO_LYD_034,21,25,36,25,25,1,common,19,1.32,168.26
CHO_LYD_034,22,29,42,29,29,1,common,20,0.95,171.92
CHO_LYD_034,23,32,20,20,20,1,common,21,1.23,175.85
CHO_LYD_034,24,19,36,19,36,0,common,21,1.06,179.61
CHO_LYD_034,25,36,48,36,36,1,common,22,0.72,183.06
CHO_LYD_034,26,33,13,13,13,1,common,23,0.77,186.54
CHO_LYD_034,27,45,35,35,35,1,common,24,0.81,190.1
CHO_LYD_034,28,24,35,24,24,1,common,25,0.74,193.53
CHO_LYD_034,29,45,28,28,28,1,common,26,0.75,196.99
CHO_LYD_034,30,13,30,13,13,1,common,27,0.71,200.44
CHO_LYD_034,31,36,17,17,36,0,common,27,0.92,204.11
CHO_LYD_034,32,62,74,62,62,1,common,28,1.21,208.1
CHO_LYD_034,33,31,26,31,26,0,common,28,1.39,212.22
CHO_LYD_034,34,38,28,28,28,1,common,29,0.8,215.78
CHO_LYD_034,35,81,72,72,72,1,common,30,0.85,219.4
CHO_LYD_034,36,21,16,16,16,1,common,31,1.47,223.58
CHO_LYD_034,37,21,36,36,36,1,common,32,1.72,228.01
CHO_LYD_034,38,36,16,36,16,0,common,32,1.79,232.53
CHO_LYD_034,39,8,16,8,8,1,common,33,1.04,236.26
CHO_LYD_034,40,18,12,12,12,1,common,34,0.87,239.86
CHO_LYD_034,41,76,67,67,67,1,common,35,0.93,243.54
CHO_LYD_034,42,84,92,92,84,0,common,35,0.88,247.19
CHO_LYD_034,43,34,14,14,14,1,common,36,0.7,250.65
CHO_LYD_034,44,9,14,9,9,1,common,37,0.73,254.09
CHO_LYD_034,45,83,103,83,83,1,common,38,0.69,257.53
CHO_LYD_034,46,33,23,23,23,1,common,39,1.73,261.97
CHO_LYD_034,47,28,19,28,28,1,common,40,1.06,265.75
CHO_LYD_034,48,41,30,30,30,1,common,41,0.93,269.39
CHO_LYD_034,49,53,35,35,35,1,common,42,0.89,273.04
CHO_LYD_034,50,33,34,34,33,0,pro,42,0.91,276.68
CHO_LYD_034,51,81,86,86,81,0,pro,42,0.81,280.29
CHO_LYD_034,52,52,33,33,33,1,pro,43,0.81,283.82
CHO_LYD_034,53,30,44,30,30,1,pro,44,1.09,287.67
CHO_LYD_034,54,30,35,35,30,0,pro,44,0.99,291.37
CHO_LYD_034,55,52,20,52,52,1,pro,45,1.1,295.21
CHO_LYD_034,56,52,31,31,52,0,pro,45,1.99,299.95
CHO_LYD_034,57,24,32,24,24,1,pro,46,0.75,303.42
CHO_LYD_034,58,60,35,35,60,0,pro,46,0.76,306.95
CHO_LYD_034,59,27,32,32,32,1,pro,47,1.0,310.71
CHO_LYD_034,60,20,31,31,20,0,pro,47,0.76,314.19
CHO_LYD_034,61,29,23,23,23,1,pro,48,0.86,317.81
CHO_LYD_034,62,14,24,24,24,1,pro,49,0.86,321.38
CHO_LYD_034,63,51,32,32,32,1,pro,50,1.01,325.15
CHO_LYD_034,64,30,11,11,11,1,pro,51,1.16,329.03
CHO_LYD_034,65,53,72,53,53,1,pro,52,0.98,332.77
CHO_LYD_034,66,41,51,41,41,1,pro,53,0.88,336.41
CHO_LYD_034,67,26,42,26,26,1,pro,54,0.88,340.04
CHO_LYD_034,68,23,48,23,48,0,pro,54,0.76,343.55
CHO_LYD_034,69,30,56,30,56,0,pro,54,0.94,347.23
CHO_LYD_034,70,43,62,43,43,1,pro,55,0.9,350.92
CHO_LYD_034,71,44,50,44,44,1,pro,56,0.55,354.24
CHO_LYD_034,72,20,14,20,20,1,pro,57,0.84,357.82
CHO_LYD_034,73,32,26,26,26,1,pro,58,1.0,361.54
CHO_LYD_034,74,19,39,19,19,1,pro,59,0.63,364.88
CHO_LYD_034,75,14,24,14,24,0,pro,59,0.69,368.32
CHO_LYD_034,76,70,55,55,55,1,pro,60,0.87,371.96
CHO_LYD_034,77,6,15,6,6,1,pro,61,0.56,375.25
CHO_LYD_034,78,44,31,31,31,1,pro,62,0.79,378.77
CHO_LYD_034,79,28,60,28,60,0,pro,62,0.74,382.27
CHO_LYD_034,80,31,20,20,20,1,pro,63,0.76,385.74
CHO_LYD_034,81,23,36,23,36,0,pro,63,1.18,389.67
CHO_LYD_034,82,63,80,63,63,1,pro,64,1.11,393.54
CHO_LYD_034,83,28,8,8,8,1,pro,65,0.7,396.96
CHO_LYD_034,84,21,32,21,32,0,pro,65,0.84,400.55
CHO_LYD_034,85,29,41,29,29,1,pro,66,0.91,404.19
CHO_LYD_034,86,22,40,22,40,0,pro,66,0.85,407.81
CHO_LYD_034,87,14,27,14,14,1,pro,67,0.52,411.08
CHO_LYD_034,88,48,32,32,48,0,pro,67,0.85,414.68
CHO_LYD_034,89,29,42,29,29,1,pro,68,0.65,418.1
CHO_LYD_034,90,92,81,81,81,1,pro,69,0.69,421.56
CHO_LYD_034,91,20,22,20,20,1,pro,70,1.02,425.33
CHO_LYD_034,92,45,32,32,32,1,pro,71,1.0,429.06
CHO_LYD_034,93,49,33,33,33,1,pro,72,1.17,432.96
CHO_LYD_034,94,41,58,41,41,1,pro,73,0.7,436.43
CHO_LYD_034,95,22,36,22,36,0,pro,73,0.85,440.03
CHO_LYD_034,96,77,83,77,77,1,pro,74,0.87,443.67
CHO_LYD_034,97,68,62,68,62,0,pro,74,0.63,447.04
CHO_LYD_034,98,17,22,17,17,1,pro,75,0.56,450.32
CHO_LYD_034,99,18,29,18,18,1,pro,76,0.63,453.69
