id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
CHO_LYD_034,100,6,6,1,0,0.16,51.89
CHO_LYD_034,101,6,6,1,0,0.69,56.74
CHO_LYD_034,102,6,0,0,0,0.49,61.39
CHO_LYD_034,0,0,0,1,1,3.98,91.14
CHO_LYD_034,1,6,6,1,2,0.79,94.11
CHO_LYD_034,2,6,6,1,3,0.58,96.86
CHO_LYD_034,3,6,6,1,4,0.4,99.44
CHO_LYD_034,4,6,6,1,5,0.48,102.1
CHO_LYD_034,5,6,6,1,6,0.26,104.54
CHO_LYD_034,6,0,6,0,6,0.37,107.09
CHO_LYD_034,7,6,6,1,7,0.31,109.56
CHO_LYD_034,8,0,0,1,8,0.25,112.02
CHO_LYD_034,9,6,6,1,9,0.26,114.44
CHO_LYD_034,10,6,6,1,10,0.26,116.91
CHO_LYD_034,11,6,6,1,11,0.32,119.4
CHO_LYD_034,12,0,0,1,12,0.22,121.83
CHO_LYD_034,13,6,6,1,13,0.28,124.28
CHO_LYD_034,14,6,6,1,14,0.33,126.8
CHO_LYD_034,15,6,6,1,15,0.31,129.29
CHO_LYD_034,16,6,6,1,16,0.24,131.71
CHO_LYD_034,17,6,6,1,17,0.22,134.11
CHO_LYD_034,18,6,6,1,18,0.27,136.56
CHO_LYD_034,19,0,0,1,19,0.25,139.0
CHO_LYD_034,20,6,6,1,20,0.34,141.54
CHO_LYD_034,21,6,6,1,21,0.25,143.98
CHO_LYD_034,22,6,6,1,22,0.25,146.41
CHO_LYD_034,23,6,6,1,23,0.26,148.86
CHO_LYD_034,24,0,0,1,24,0.23,151.29
CHO_LYD_034,25,6,6,1,25,0.22,153.69
CHO_LYD_034,26,0,0,1,26,0.24,156.13
CHO_LYD_034,27,0,6,0,26,0.45,158.77
CHO_LYD_034,28,6,6,1,27,0.31,161.26
CHO_LYD_034,29,6,6,1,28,0.28,163.74
CHO_LYD_034,30,6,6,1,29,0.77,166.69
CHO_LYD_034,31,0,0,1,30,0.25,169.12
CHO_LYD_034,32,6,6,1,31,0.25,171.53
CHO_LYD_034,33,0,0,1,32,0.22,173.95
CHO_LYD_034,34,0,0,1,33,0.25,176.38
CHO_LYD_034,35,6,6,1,34,0.27,178.86
CHO_LYD_034,36,6,6,1,35,0.21,181.24
CHO_LYD_034,37,0,0,1,36,0.23,183.66
CHO_LYD_034,38,0,0,1,37,0.32,186.17
CHO_LYD_034,39,6,6,1,38,0.26,188.63
CHO_LYD_034,40,0,0,1,39,0.24,191.05
CHO_LYD_034,41,0,0,1,40,0.25,193.52
CHO_LYD_034,42,6,6,1,41,0.22,195.94
CHO_LYD_034,43,6,6,1,42,0.24,198.39
CHO_LYD_034,44,6,6,1,43,0.45,201.03
CHO_LYD_034,45,6,6,1,44,0.29,203.53
CHO_LYD_034,46,6,6,1,45,0.26,205.98
CHO_LYD_034,47,6,6,1,46,0.21,208.38
CHO_LYD_034,48,0,0,1,47,0.28,210.85
CHO_LYD_034,49,0,0,1,48,0.25,213.3
CHO_LYD_034,50,0,0,1,49,0.23,215.71
CHO_LYD_034,51,6,6,1,50,0.28,218.18
CHO_LYD_034,52,6,6,1,51,0.3,220.69
CHO_LYD_034,53,6,6,1,52,0.69,223.56
CHO_LYD_034,54,6,6,1,53,0.3,226.04
CHO_LYD_034,55,6,6,1,54,0.27,228.5
CHO_LYD_034,56,6,6,1,55,0.3,230.98
CHO_LYD_034,57,6,6,1,56,0.28,233.45
CHO_LYD_034,58,6,6,1,57,0.27,235.96
CHO_LYD_034,59,6,6,1,58,0.3,238.44
CHO_LYD_034,60,6,6,1,59,0.26,240.9
CHO_LYD_034,61,6,6,1,60,0.21,243.3
CHO_LYD_034,62,6,6,1,61,0.26,245.72
CHO_LYD_034,63,6,6,1,62,1.99,249.89
CHO_LYD_034,64,6,6,1,63,0.29,252.36
CHO_LYD_034,65,6,6,1,64,0.29,254.84
CHO_LYD_034,66,6,6,1,65,0.26,257.31
CHO_LYD_034,67,0,0,1,66,0.25,259.74
CHO_LYD_034,68,0,0,1,67,0.35,262.29
CHO_LYD_034,69,6,6,1,68,0.28,264.74
CHO_LYD_034,70,6,6,1,69,0.27,267.2
CHO_LYD_034,71,6,6,1,70,0.29,269.7
CHO_LYD_034,72,6,6,1,71,0.27,272.15
CHO_LYD_034,73,0,0,1,72,0.23,274.57
CHO_LYD_034,74,0,0,1,73,0.25,277.0
CHO_LYD_034,75,6,6,1,74,0.3,279.5
CHO_LYD_034,76,6,6,1,75,0.27,281.98
CHO_LYD_034,77,6,6,1,76,0.34,284.51
CHO_LYD_034,78,6,6,1,77,0.33,287.05
CHO_LYD_034,79,6,6,1,78,0.26,289.48
CHO_LYD_034,80,6,6,1,79,0.32,291.99
CHO_LYD_034,81,0,0,1,80,0.25,294.43
CHO_LYD_034,82,6,6,1,81,0.26,296.87
CHO_LYD_034,83,6,6,1,82,0.28,299.35
CHO_LYD_034,84,0,0,1,83,0.27,301.82
CHO_LYD_034,85,6,6,1,84,0.24,304.25
CHO_LYD_034,86,6,6,1,85,0.26,306.69
CHO_LYD_034,87,6,6,1,86,0.26,309.15
CHO_LYD_034,88,6,6,1,87,0.25,311.61
CHO_LYD_034,89,6,6,1,88,0.41,314.19
CHO_LYD_034,90,0,0,1,89,0.27,316.66
CHO_LYD_034,91,6,6,1,90,0.24,319.07
CHO_LYD_034,92,6,6,1,91,0.25,321.52
CHO_LYD_034,93,6,6,1,92,0.29,323.99
CHO_LYD_034,94,6,6,1,93,0.29,326.47
CHO_LYD_034,95,6,6,1,94,0.34,328.98
CHO_LYD_034,96,6,6,1,95,0.28,331.47
CHO_LYD_034,97,0,0,1,96,0.24,333.89
CHO_LYD_034,98,0,0,1,97,0.19,336.28
CHO_LYD_034,99,6,6,1,98,0.22,338.69
