id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
CIS_MAN_009,100,29,45,29,29,1,common,0,1.96,33.09
CIS_MAN_009,101,66,52,52,52,1,common,0,2.37,40.2
CIS_MAN_009,102,44,53,44,44,1,common,0,1.08,46.02
CIS_MAN_009,0,24,44,24,24,1,common,1,1.95,68.11
CIS_MAN_009,1,23,29,23,23,1,common,2,3.3,74.16
CIS_MAN_009,2,27,12,12,12,1,common,3,1.03,77.89
CIS_MAN_009,3,65,74,74,65,0,common,3,1.19,81.87
CIS_MAN_009,4,90,75,90,75,0,common,3,1.19,85.84
CIS_MAN_009,5,12,18,12,12,1,common,4,2.35,90.93
CIS_MAN_009,6,9,16,9,9,1,common,5,1.07,94.73
CIS_MAN_009,7,25,40,25,40,0,common,5,2.27,99.76
CIS_MAN_009,8,75,60,60,60,1,common,6,2.3,104.82
CIS_MAN_009,9,43,25,25,25,1,common,7,1.45,109.01
CIS_MAN_009,10,26,15,15,15,1,common,8,1.15,112.9
CIS_MAN_009,11,54,71,54,54,1,common,9,1.73,117.39
CIS_MAN_009,12,46,29,29,29,1,common,10,1.32,121.43
CIS_MAN_009,13,33,53,33,33,1,common,11,1.3,125.48
CIS_MAN_009,14,38,52,52,38,0,common,11,0.86,129.1
CIS_MAN_009,15,44,24,24,24,1,common,12,2.48,134.36
CIS_MAN_009,16,12,13,12,12,1,common,13,1.24,138.34
CIS_MAN_009,17,64,58,58,58,1,common,14,1.39,142.52
CIS_MAN_009,18,31,13,13,13,1,common,15,1.06,146.34
CIS_MAN_009,19,88,98,98,88,0,common,15,1.41,150.52
CIS_MAN_009,20,31,43,31,31,1,common,16,1.54,154.82
CIS_MAN_009,21,36,25,25,25,1,common,17,1.15,158.68
CIS_MAN_009,22,29,42,29,29,1,common,18,1.32,162.74
CIS_MAN_009,23,32,20,20,20,1,common,19,1.69,167.16
CIS_MAN_009,24,36,19,36,36,1,common,20,1.37,171.28
CIS_MAN_009,25,36,48,36,36,1,common,21,2.01,176.06
CIS_MAN_009,26,33,13,13,13,1,common,22,0.88,179.68
CIS_MAN_009,27,35,45,35,35,1,common,23,1.29,183.76
CIS_MAN_009,28,35,24,24,24,1,common,24,1.74,188.24
CIS_MAN_009,29,28,45,28,28,1,common,25,1.31,192.31
CIS_MAN_009,30,30,13,13,13,1,common,26,1.22,196.27
CIS_MAN_009,31,36,17,36,36,1,common,27,1.61,200.63
CIS_MAN_009,32,62,74,62,62,1,common,28,3.16,206.56
CIS_MAN_009,33,26,31,31,26,0,common,28,2.71,212.02
CIS_MAN_009,34,38,28,28,28,1,common,29,0.95,215.73
CIS_MAN_009,35,81,72,81,72,0,common,29,0.94,219.48
CIS_MAN_009,36,21,16,21,16,0,common,29,1.41,223.62
CIS_MAN_009,37,36,21,21,36,0,common,29,1.1,227.5
CIS_MAN_009,38,36,16,16,16,1,common,30,0.8,231.05
CIS_MAN_009,39,8,16,8,8,1,common,31,1.21,235.0
CIS_MAN_009,40,18,12,12,12,1,common,32,2.05,239.79
CIS_MAN_009,41,76,67,76,67,0,common,32,1.97,244.52
CIS_MAN_009,42,84,92,92,84,0,common,32,1.48,248.78
CIS_MAN_009,43,34,14,34,14,0,common,32,0.96,252.5
CIS_MAN_009,44,9,14,9,9,1,common,33,1.21,256.42
CIS_MAN_009,45,103,83,83,83,1,common,34,1.86,261.06
CIS_MAN_009,46,23,33,23,23,1,common,35,1.61,265.41
CIS_MAN_009,47,19,28,19,28,0,common,35,2.73,270.88
CIS_MAN_009,48,41,30,30,30,1,common,36,1.46,275.07
CIS_MAN_009,49,53,35,35,35,1,common,37,1.19,279.01
CIS_MAN_009,50,34,33,34,33,0,common,37,1.35,283.14
