id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
CIS_MAN_009,999,2,1,5,0,6.46,125.28
CIS_MAN_009,999,3,0,6,0,9.57,142.24
CIS_MAN_009,999,1,0,1,0,5.61,154.94
CIS_MAN_009,0,0,5,0,0,5.68,185.19
CIS_MAN_009,1,3,5,6,0,6.9,199.73
CIS_MAN_009,2,6,6,6,1,3.28,210.6
CIS_MAN_009,3,0,1,0,0,4.92,223.19
CIS_MAN_009,4,3,0,6,0,1.29,232.12
CIS_MAN_009,5,0,1,0,0,1.83,241.86
CIS_MAN_009,6,1,0,1,0,1.88,251.21
CIS_MAN_009,7,4,0,6,0,2.56,261.11
CIS_MAN_009,8,0,0,0,1,5.48,274.05
CIS_MAN_009,9,3,1,6,0,1.47,283.24
CIS_MAN_009,10,2,6,5,0,1.68,292.75
CIS_MAN_009,11,1,0,1,0,3.0,303.59
CIS_MAN_009,12,5,5,6,0,1.61,312.83
CIS_MAN_009,13,3,0,6,0,1.47,321.69
CIS_MAN_009,14,1,0,1,0,1.39,330.72
CIS_MAN_009,15,1,1,1,1,1.33,339.4
CIS_MAN_009,16,2,0,5,0,1.53,348.41
CIS_MAN_009,17,2,1,5,0,5.77,361.55
CIS_MAN_009,18,0,0,0,1,1.37,370.74
CIS_MAN_009,19,5,0,6,0,1.68,379.84
CIS_MAN_009,20,2,1,5,0,1.48,389.15
CIS_MAN_009,21,1,0,1,0,1.78,398.34
CIS_MAN_009,22,3,1,6,0,1.24,407.3
CIS_MAN_009,23,0,0,0,1,1.08,416.1
CIS_MAN_009,24,4,0,6,0,1.03,424.75
CIS_MAN_009,25,2,1,5,0,1.08,433.45
CIS_MAN_009,26,2,0,5,0,1.16,442.27
CIS_MAN_009,27,4,0,6,0,1.45,451.38
CIS_MAN_009,28,0,1,0,0,2.03,461.0
CIS_MAN_009,29,2,0,5,0,1.0,469.66
CIS_MAN_009,30,4,1,6,0,0.96,478.23
CIS_MAN_009,31,0,0,0,1,1.06,486.67
CIS_MAN_009,32,6,6,6,1,1.53,495.94
CIS_MAN_009,33,4,0,6,0,1.11,504.9
CIS_MAN_009,34,5,0,6,0,1.27,514.02
CIS_MAN_009,35,5,1,6,0,1.18,522.83
CIS_MAN_009,36,5,5,6,0,1.68,531.97
CIS_MAN_009,37,5,1,6,0,1.45,541.12
CIS_MAN_009,38,6,1,6,0,1.28,549.83
CIS_MAN_009,39,1,1,1,1,1.07,558.61
CIS_MAN_009,40,0,0,0,1,1.37,567.61
CIS_MAN_009,41,0,0,0,1,1.04,576.3
CIS_MAN_009,42,2,0,5,0,1.22,585.13
CIS_MAN_009,43,2,0,5,0,1.24,593.96
CIS_MAN_009,44,5,5,6,0,2.36,604.2
CIS_MAN_009,45,0,0,0,1,1.68,613.56
CIS_MAN_009,46,3,1,6,0,1.29,622.53
CIS_MAN_009,47,0,0,0,1,0.87,630.75
CIS_MAN_009,48,0,5,0,0,2.34,640.95
CIS_MAN_009,49,4,5,6,0,1.57,650.18
CIS_MAN_009,50,1,0,1,0,1.15,658.96
CIS_MAN_009,51,1,0,1,0,1.35,668.08
CIS_MAN_009,52,3,0,6,0,0.95,676.73
CIS_MAN_009,53,1,0,1,0,1.16,685.53
CIS_MAN_009,54,2,0,5,0,1.24,694.51
CIS_MAN_009,55,6,0,6,0,2.19,704.37
CIS_MAN_009,56,2,0,5,0,1.25,713.28
CIS_MAN_009,57,0,1,0,0,2.87,723.89
CIS_MAN_009,58,3,5,6,0,1.37,732.91
CIS_MAN_009,59,1,1,1,1,1.22,742.0
CIS_MAN_009,60,3,1,6,0,1.17,751.0
CIS_MAN_009,61,3,1,6,0,1.48,760.16
CIS_MAN_009,62,3,1,6,0,1.37,768.9
CIS_MAN_009,63,1,5,1,0,1.79,778.37
CIS_MAN_009,64,0,0,0,1,1.58,787.63
CIS_MAN_009,65,4,6,6,1,0.99,796.32
CIS_MAN_009,66,3,0,6,0,1.22,805.2
CIS_MAN_009,67,2,1,5,0,1.18,813.79
CIS_MAN_009,68,5,5,6,0,1.43,822.56
CIS_MAN_009,69,2,0,5,0,1.17,831.43
CIS_MAN_009,70,5,5,6,0,1.68,840.53
CIS_MAN_009,71,6,1,6,0,1.65,849.8
CIS_MAN_009,72,2,0,5,0,1.17,858.36
CIS_MAN_009,73,0,0,0,1,1.32,867.32
CIS_MAN_009,74,1,0,1,0,1.01,876.06
CIS_MAN_009,75,2,0,5,0,0.97,884.7
CIS_MAN_009,76,2,1,5,0,1.9,894.33
CIS_MAN_009,77,1,0,1,0,1.17,903.17
CIS_MAN_009,78,4,1,6,0,1.47,912.3
CIS_MAN_009,79,2,1,5,0,1.55,921.48
CIS_MAN_009,80,2,1,5,0,0.94,930.29
CIS_MAN_009,81,0,0,0,1,1.04,938.73
CIS_MAN_009,82,4,0,6,0,1.11,947.32
CIS_MAN_009,83,4,0,6,0,0.88,955.83
CIS_MAN_009,84,2,1,5,0,1.03,964.18
CIS_MAN_009,85,4,5,6,0,1.63,973.23
CIS_MAN_009,86,3,5,6,0,1.51,982.62
CIS_MAN_009,87,1,0,1,0,1.4,991.7
CIS_MAN_009,88,0,0,0,1,1.8,1001.18
CIS_MAN_009,89,0,0,0,1,1.03,1009.9
CIS_MAN_009,90,0,0,0,1,1.07,1018.37
CIS_MAN_009,91,1,1,1,1,1.18,1027.38
CIS_MAN_009,92,5,1,6,0,0.82,1035.82
CIS_MAN_009,93,4,0,6,0,1.09,1044.34
CIS_MAN_009,94,6,0,6,0,1.17,1053.24
CIS_MAN_009,95,3,1,6,0,1.27,1062.39
CIS_MAN_009,96,5,1,6,0,1.12,1071.24
CIS_MAN_009,97,4,0,6,0,1.75,1080.62
CIS_MAN_009,98,1,0,1,0,1.15,1089.37
CIS_MAN_009,99,1,1,1,1,1.16,1097.91
CIS_MAN_009,100,0,0,0,1,6.24,1229.43
CIS_MAN_009,101,0,0,0,1,0.98,1235.68
CIS_MAN_009,102,2,5,5,1,1.47,1242.41
CIS_MAN_009,103,2,5,5,1,1.38,1249.07
CIS_MAN_009,104,3,6,6,1,1.6,1255.96
