id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
DAU_LEA_039,100,45,29,29,29,1,common,0,2.62,60.12
DAU_LEA_039,101,52,66,52,52,1,common,0,1.42,66.3
DAU_LEA_039,102,44,53,44,44,1,common,0,1.91,72.96
DAU_LEA_039,0,44,24,24,24,1,common,1,1.12,94.14
DAU_LEA_039,1,23,29,23,23,1,common,2,0.73,97.63
DAU_LEA_039,2,12,27,12,12,1,common,3,1.56,101.92
DAU_LEA_039,3,65,74,74,65,0,common,3,1.67,106.34
DAU_LEA_039,4,90,75,75,75,1,common,4,2.48,111.6
DAU_LEA_039,5,12,18,12,12,1,common,5,0.63,114.96
DAU_LEA_039,6,16,9,9,9,1,common,6,0.6,118.27
DAU_LEA_039,7,25,40,25,40,0,common,6,1.95,122.97
DAU_LEA_039,8,60,75,60,60,1,common,7,1.55,127.27
DAU_LEA_039,9,25,43,25,25,1,common,8,0.96,130.99
DAU_LEA_039,10,26,15,15,15,1,common,9,0.94,134.63
DAU_LEA_039,11,71,54,54,54,1,common,10,0.97,138.38
DAU_LEA_039,12,29,46,29,29,1,common,11,1.21,142.32
DAU_LEA_039,13,33,53,33,33,1,common,12,1.04,146.11
DAU_LEA_039,14,52,38,38,38,1,common,13,1.56,150.42
DAU_LEA_039,15,24,44,24,24,1,common,14,0.73,153.86
DAU_LEA_039,16,12,13,12,12,1,common,15,0.57,157.14
DAU_LEA_039,17,64,58,58,58,1,common,16,0.88,160.77
DAU_LEA_039,18,13,31,13,13,1,common,17,0.54,164.01
DAU_LEA_039,19,88,98,88,88,1,common,18,1.46,168.25
DAU_LEA_039,20,43,31,31,31,1,common,19,0.77,171.78
DAU_LEA_039,21,25,36,25,25,1,common,20,0.6,175.07
DAU_LEA_039,22,42,29,29,29,1,common,21,0.96,178.75
DAU_LEA_039,23,20,32,20,20,1,common,22,0.87,182.37
DAU_LEA_039,24,36,19,36,36,1,common,23,0.9,186.01
DAU_LEA_039,25,48,36,36,36,1,common,24,0.63,189.39
DAU_LEA_039,26,33,13,13,13,1,common,25,0.64,192.76
DAU_LEA_039,27,35,45,35,35,1,common,26,0.82,196.34
DAU_LEA_039,28,35,24,24,24,1,common,27,0.65,199.76
DAU_LEA_039,29,28,45,28,28,1,common,28,2.01,204.5
DAU_LEA_039,30,13,30,13,13,1,common,29,0.81,208.04
DAU_LEA_039,31,36,17,36,36,1,common,30,1.66,212.46
DAU_LEA_039,32,74,62,62,62,1,common,31,1.14,216.35
DAU_LEA_039,33,26,31,26,26,1,common,32,0.48,219.56
DAU_LEA_039,34,38,28,28,28,1,common,33,1.3,223.62
DAU_LEA_039,35,72,81,72,72,1,common,34,0.73,227.12
DAU_LEA_039,36,21,16,16,16,1,common,35,0.75,230.57
DAU_LEA_039,37,36,21,36,36,1,common,36,1.4,234.71
DAU_LEA_039,38,16,36,16,16,1,common,37,0.78,238.2
DAU_LEA_039,39,16,8,8,8,1,common,38,0.68,241.62
DAU_LEA_039,40,12,18,12,12,1,common,39,0.56,244.93
DAU_LEA_039,41,76,67,67,67,1,common,40,0.89,248.59
DAU_LEA_039,42,84,92,84,84,1,common,41,1.64,253.01
DAU_LEA_039,43,14,34,14,14,1,common,42,1.22,256.99
DAU_LEA_039,44,14,9,9,9,1,common,43,0.52,260.2
DAU_LEA_039,45,83,103,83,83,1,common,44,0.89,263.86
DAU_LEA_039,46,33,23,23,23,1,common,45,0.63,267.2
DAU_LEA_039,47,28,19,19,28,0,common,45,1.93,271.84
DAU_LEA_039,48,41,30,30,30,1,common,46,0.74,275.26
DAU_LEA_039,49,35,53,35,35,1,common,47,1.0,278.99
DAU_LEA_039,50,34,33,33,33,1,pro,48,1.67,283.39
DAU_LEA_039,51,81,86,81,81,1,pro,49,0.97,287.13
DAU_LEA_039,52,52,33,33,33,1,pro,50,0.87,290.73
DAU_LEA_039,53,30,44,30,30,1,pro,51,0.73,294.23
DAU_LEA_039,54,30,35,30,30,1,pro,52,1.6,298.54
DAU_LEA_039,55,20,52,52,52,1,pro,53,1.22,302.5
DAU_LEA_039,56,31,52,52,52,1,pro,54,2.4,307.64
DAU_LEA_039,57,32,24,24,24,1,pro,55,1.78,312.13
DAU_LEA_039,58,35,60,60,60,1,pro,56,1.36,316.21
DAU_LEA_039,59,27,32,27,32,0,pro,56,0.83,319.79
DAU_LEA_039,60,31,20,20,20,1,pro,57,3.25,325.77
DAU_LEA_039,61,23,29,29,23,0,pro,57,1.29,329.82
DAU_LEA_039,62,14,24,24,24,1,pro,58,0.72,333.26
DAU_LEA_039,63,32,51,32,32,1,pro,59,1.45,337.47
DAU_LEA_039,64,30,11,11,11,1,pro,60,0.73,340.9
DAU_LEA_039,65,72,53,53,53,1,pro,61,0.87,344.55
DAU_LEA_039,66,41,51,41,41,1,pro,62,0.67,348.0
DAU_LEA_039,67,26,42,26,26,1,pro,63,1.41,352.17
DAU_LEA_039,68,48,23,48,48,1,pro,64,1.77,356.69
DAU_LEA_039,69,56,30,56,56,1,pro,65,1.31,360.75
DAU_LEA_039,70,43,62,43,43,1,pro,66,1.84,365.35
DAU_LEA_039,71,50,44,44,44,1,pro,67,0.75,368.85
DAU_LEA_039,72,14,20,20,20,1,pro,68,0.58,372.17
DAU_LEA_039,73,26,32,26,26,1,pro,69,1.21,376.07
DAU_LEA_039,74,39,19,19,19,1,pro,70,0.57,379.34
DAU_LEA_039,75,14,24,24,24,1,pro,71,0.54,382.63
DAU_LEA_039,76,70,55,55,55,1,pro,72,0.56,385.92
DAU_LEA_039,77,6,15,6,6,1,pro,73,0.64,389.3
DAU_LEA_039,78,31,44,31,31,1,pro,74,1.1,393.16
DAU_LEA_039,79,28,60,60,60,1,pro,75,0.93,396.82
DAU_LEA_039,80,20,31,20,20,1,pro,76,0.77,400.31
DAU_LEA_039,81,23,36,36,36,1,pro,77,0.73,403.79
DAU_LEA_039,82,80,63,63,63,1,pro,78,0.83,407.41
DAU_LEA_039,83,28,8,8,8,1,pro,79,1.08,411.23
DAU_LEA_039,84,21,32,32,32,1,pro,80,0.62,414.59
DAU_LEA_039,85,29,41,29,29,1,pro,81,1.41,418.73
DAU_LEA_039,86,22,40,40,40,1,pro,82,0.62,422.08
DAU_LEA_039,87,14,27,14,14,1,pro,83,0.68,425.51
DAU_LEA_039,88,48,32,48,48,1,pro,84,1.53,429.77
DAU_LEA_039,89,29,42,29,29,1,pro,85,1.84,434.39
DAU_LEA_039,90,81,92,81,81,1,pro,86,0.8,437.98
DAU_LEA_039,91,20,22,20,20,1,pro,87,1.53,442.25
DAU_LEA_039,92,32,45,32,32,1,pro,88,0.88,445.89
DAU_LEA_039,93,33,49,33,33,1,pro,89,2.29,450.9
DAU_LEA_039,94,41,58,58,41,0,pro,89,1.11,454.8
DAU_LEA_039,95,22,36,36,36,1,pro,90,0.99,458.57
DAU_LEA_039,96,77,83,77,77,1,pro,91,0.76,462.09
DAU_LEA_039,97,62,68,68,62,0,pro,91,1.3,466.18
DAU_LEA_039,98,22,17,17,17,1,pro,92,0.92,469.81
DAU_LEA_039,99,18,29,18,18,1,pro,93,0.95,473.46
