id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
DAU_LEA_039,999,2,1,5,0,1.98,83.59
DAU_LEA_039,999,3,6,6,1,1.15,92.13
DAU_LEA_039,999,1,0,1,0,3.27,102.49
DAU_LEA_039,0,0,0,0,1,1.09,128.97
DAU_LEA_039,1,3,1,6,0,0.77,137.38
DAU_LEA_039,2,6,1,6,0,1.39,146.37
DAU_LEA_039,3,0,0,0,1,0.78,154.82
DAU_LEA_039,4,3,0,6,0,0.78,163.24
DAU_LEA_039,5,0,1,0,0,1.01,172.1
DAU_LEA_039,6,1,0,1,0,0.8,180.38
DAU_LEA_039,7,4,1,6,0,0.91,188.64
DAU_LEA_039,8,0,0,0,1,1.05,197.18
DAU_LEA_039,9,3,1,6,0,0.89,205.79
DAU_LEA_039,10,2,1,5,0,0.76,214.41
DAU_LEA_039,11,1,0,1,0,0.76,222.99
DAU_LEA_039,12,5,0,6,0,0.74,231.39
DAU_LEA_039,13,3,0,6,0,0.65,239.41
DAU_LEA_039,14,1,0,1,0,0.69,247.73
DAU_LEA_039,15,1,0,1,0,0.71,255.75
DAU_LEA_039,16,2,1,5,0,0.55,263.78
DAU_LEA_039,17,2,0,5,0,0.71,271.91
DAU_LEA_039,18,0,0,0,1,0.65,280.39
DAU_LEA_039,19,5,0,6,0,0.76,288.55
DAU_LEA_039,20,2,0,5,0,0.82,297.2
DAU_LEA_039,21,1,0,1,0,0.57,305.15
DAU_LEA_039,22,3,1,6,0,0.46,313.31
DAU_LEA_039,23,0,0,0,1,0.73,321.75
DAU_LEA_039,24,4,0,6,0,0.65,330.01
DAU_LEA_039,25,2,1,5,0,0.88,338.53
DAU_LEA_039,26,2,0,5,0,0.69,346.88
DAU_LEA_039,27,4,1,6,0,0.47,355.0
DAU_LEA_039,28,0,0,0,1,0.78,363.36
DAU_LEA_039,29,2,0,5,0,0.82,371.82
DAU_LEA_039,30,4,0,6,0,0.75,380.17
DAU_LEA_039,31,0,0,0,1,0.76,388.34
DAU_LEA_039,32,6,1,6,0,0.65,396.7
DAU_LEA_039,33,4,0,6,0,0.74,405.29
DAU_LEA_039,34,5,1,6,0,0.51,413.61
DAU_LEA_039,35,5,0,6,0,0.74,421.95
DAU_LEA_039,36,5,1,6,0,0.55,429.96
DAU_LEA_039,37,5,1,6,0,0.74,438.39
DAU_LEA_039,38,6,5,6,0,0.95,446.76
DAU_LEA_039,39,1,0,1,0,1.25,455.75
DAU_LEA_039,40,0,0,0,1,0.71,464.18
DAU_LEA_039,41,0,0,0,1,0.7,472.5
DAU_LEA_039,42,2,1,5,0,0.77,480.87
DAU_LEA_039,43,2,1,5,0,0.65,489.1
DAU_LEA_039,44,5,0,6,0,0.75,497.6
DAU_LEA_039,45,0,0,0,1,0.89,506.16
DAU_LEA_039,46,3,0,6,0,0.74,514.57
DAU_LEA_039,47,0,0,0,1,0.63,522.54
DAU_LEA_039,48,0,0,0,1,0.65,531.03
DAU_LEA_039,49,4,0,6,0,1.07,539.75
DAU_LEA_039,50,1,0,1,0,0.65,548.07
DAU_LEA_039,51,1,1,1,1,0.39,556.16
DAU_LEA_039,52,3,1,6,0,0.73,564.55
DAU_LEA_039,53,1,1,1,1,0.63,572.78
DAU_LEA_039,54,2,1,5,0,0.52,581.06
DAU_LEA_039,55,6,5,6,0,0.79,589.48
DAU_LEA_039,56,2,1,5,0,0.86,597.98
DAU_LEA_039,57,0,0,0,1,0.56,606.28
DAU_LEA_039,58,3,5,6,0,0.86,614.8
DAU_LEA_039,59,1,0,1,0,0.73,623.38
DAU_LEA_039,60,3,1,6,0,0.59,631.77
DAU_LEA_039,61,3,5,6,0,0.9,640.37
DAU_LEA_039,62,3,0,6,0,0.68,648.44
DAU_LEA_039,63,1,0,1,0,0.81,656.91
DAU_LEA_039,64,0,0,0,1,0.51,665.06
DAU_LEA_039,65,4,5,6,0,1.48,674.22
DAU_LEA_039,66,3,1,6,0,0.83,682.7
DAU_LEA_039,67,2,1,5,0,0.96,691.05
DAU_LEA_039,68,5,1,6,0,0.71,699.11
DAU_LEA_039,69,2,0,5,0,0.81,707.59
DAU_LEA_039,70,5,1,6,0,0.75,715.72
DAU_LEA_039,71,6,6,6,1,0.39,723.73
DAU_LEA_039,72,2,0,5,0,0.78,731.92
DAU_LEA_039,73,0,0,0,1,0.58,740.13
DAU_LEA_039,74,1,1,1,1,0.7,748.54
DAU_LEA_039,75,2,5,5,1,0.73,756.9
DAU_LEA_039,76,2,5,5,1,0.82,765.44
DAU_LEA_039,77,1,0,1,0,0.82,773.94
DAU_LEA_039,78,4,5,6,0,1.12,782.69
DAU_LEA_039,79,2,6,5,0,0.6,790.9
DAU_LEA_039,80,2,0,5,0,0.76,799.5
DAU_LEA_039,81,0,0,0,1,0.7,807.61
DAU_LEA_039,82,4,1,6,0,0.52,815.57
DAU_LEA_039,83,4,5,6,0,1.07,824.28
DAU_LEA_039,84,2,1,5,0,0.6,832.21
DAU_LEA_039,85,4,0,6,0,0.7,840.29
DAU_LEA_039,86,3,0,6,0,0.71,848.85
DAU_LEA_039,87,1,1,1,1,0.88,857.4
DAU_LEA_039,88,0,0,0,1,0.5,865.57
DAU_LEA_039,89,0,0,0,1,0.67,873.91
DAU_LEA_039,90,0,0,0,1,0.58,881.91
DAU_LEA_039,91,1,5,1,0,0.91,890.65
DAU_LEA_039,92,5,1,6,0,1.03,899.32
DAU_LEA_039,93,4,1,6,0,0.85,907.55
DAU_LEA_039,94,6,0,6,0,0.69,915.96
DAU_LEA_039,95,3,0,6,0,0.72,924.54
DAU_LEA_039,96,5,1,6,0,0.4,932.67
DAU_LEA_039,97,4,5,6,0,0.89,941.21
DAU_LEA_039,98,1,0,1,0,0.77,949.58
DAU_LEA_039,99,1,0,1,0,0.58,957.52
DAU_LEA_039,100,0,0,0,1,2.04,1084.85
DAU_LEA_039,101,0,0,0,1,1.58,1091.65
DAU_LEA_039,102,2,5,5,1,1.08,1097.99
DAU_LEA_039,103,2,5,5,1,0.56,1103.8
DAU_LEA_039,104,3,6,6,1,0.49,1109.52
DAU_LEA_039,105,0,0,0,1,0.37,1115.14
DAU_LEA_039,106,4,6,6,1,0.95,1121.32
DAU_LEA_039,107,1,1,1,1,0.7,1127.28
DAU_LEA_039,108,1,0,1,0,0.44,1132.97
DAU_LEA_039,109,2,5,5,1,0.67,1138.9
DAU_LEA_039,110,0,0,0,1,0.63,1144.81
DAU_LEA_039,111,1,1,1,1,0.37,1150.41
DAU_LEA_039,112,3,5,6,0,0.85,1156.55
DAU_LEA_039,113,6,6,6,1,0.38,1162.19
DAU_LEA_039,114,6,6,6,1,0.38,1167.84
DAU_LEA_039,115,1,0,1,0,0.39,1173.48
DAU_LEA_039,116,2,1,5,0,0.42,1179.18
DAU_LEA_039,117,6,5,6,0,1.33,1185.78
DAU_LEA_039,118,5,6,6,1,0.23,1191.28
DAU_LEA_039,119,4,6,6,1,0.59,1197.1
DAU_LEA_039,120,3,6,6,1,0.58,1202.96
DAU_LEA_039,121,0,0,0,1,0.49,1208.72
DAU_LEA_039,122,4,6,6,1,0.37,1214.37
DAU_LEA_039,123,4,6,6,1,0.37,1219.99
DAU_LEA_039,124,0,0,0,1,0.5,1225.72
DAU_LEA_039,125,0,0,0,1,0.56,1231.53
DAU_LEA_039,126,2,6,5,0,0.5,1237.26
DAU_LEA_039,127,4,6,6,1,0.49,1243.0
DAU_LEA_039,128,3,6,6,1,0.42,1248.68
DAU_LEA_039,129,0,0,0,1,0.69,1254.64
DAU_LEA_039,130,4,6,6,1,0.75,1260.63
DAU_LEA_039,131,3,5,6,0,1.04,1266.89
DAU_LEA_039,132,5,6,6,1,0.39,1272.55
DAU_LEA_039,133,2,1,5,0,0.61,1278.41
DAU_LEA_039,134,3,6,6,1,0.37,1284.03
DAU_LEA_039,135,4,1,6,0,0.67,1289.97
DAU_LEA_039,136,2,5,5,1,0.74,1295.97
DAU_LEA_039,137,3,5,6,0,1.06,1302.31
DAU_LEA_039,138,6,6,6,1,0.36,1307.94
DAU_LEA_039,139,0,0,0,1,0.69,1313.95
DAU_LEA_039,140,5,6,6,1,0.19,1319.42
DAU_LEA_039,141,3,5,6,0,1.07,1325.73
DAU_LEA_039,142,6,6,6,1,0.4,1331.38
DAU_LEA_039,143,5,6,6,1,0.48,1337.14
DAU_LEA_039,144,3,5,6,0,0.83,1343.21
DAU_LEA_039,145,0,0,0,1,0.61,1349.06
DAU_LEA_039,146,1,1,1,1,0.64,1354.97
DAU_LEA_039,147,5,6,6,1,0.53,1360.75
DAU_LEA_039,148,1,0,1,0,0.59,1366.61
DAU_LEA_039,149,4,6,6,1,0.33,1372.2
DAU_LEA_039,150,6,5,6,0,1.62,1498.97
DAU_LEA_039,151,3,0,6,0,0.9,1505.05
DAU_LEA_039,152,1,1,1,1,0.59,1510.81
DAU_LEA_039,153,2,5,5,1,0.89,1516.84
DAU_LEA_039,154,0,0,0,1,1.53,1523.53
DAU_LEA_039,155,4,1,6,0,0.98,1529.66
DAU_LEA_039,156,5,5,6,0,0.54,1535.34
DAU_LEA_039,157,1,1,1,1,0.65,1541.14
DAU_LEA_039,158,5,1,6,0,0.71,1547.02
DAU_LEA_039,159,4,5,6,0,0.96,1553.15
DAU_LEA_039,160,4,1,6,0,0.69,1559.0
DAU_LEA_039,161,2,5,5,1,0.7,1564.87
DAU_LEA_039,162,4,6,6,1,0.24,1570.28
DAU_LEA_039,163,3,6,6,1,0.54,1575.99
DAU_LEA_039,164,4,0,6,0,0.64,1581.81
DAU_LEA_039,165,2,1,5,0,0.72,1587.69
DAU_LEA_039,166,4,5,6,0,0.48,1593.31
DAU_LEA_039,167,2,0,5,0,0.97,1599.42
DAU_LEA_039,168,0,0,0,1,0.62,1605.2
DAU_LEA_039,169,4,5,6,0,0.82,1611.19
DAU_LEA_039,170,6,6,6,1,0.44,1616.78
DAU_LEA_039,171,2,5,5,1,0.6,1622.54
DAU_LEA_039,172,6,5,6,0,0.9,1628.6
DAU_LEA_039,173,1,0,1,0,0.84,1634.58
DAU_LEA_039,174,6,6,6,1,0.31,1640.05
DAU_LEA_039,175,3,0,6,0,0.78,1645.95
DAU_LEA_039,176,1,0,1,0,0.76,1651.86
DAU_LEA_039,177,0,0,0,1,0.6,1657.62
DAU_LEA_039,178,5,5,6,0,0.87,1663.65
DAU_LEA_039,179,0,1,0,0,1.14,1669.96
DAU_LEA_039,180,0,0,0,1,1.08,1676.22
DAU_LEA_039,181,3,5,6,0,0.89,1682.28
DAU_LEA_039,182,1,1,1,1,0.81,1688.21
DAU_LEA_039,183,6,5,6,0,0.72,1694.11
DAU_LEA_039,184,2,0,5,0,0.75,1700.04
DAU_LEA_039,185,6,6,6,1,0.68,1705.88
DAU_LEA_039,186,6,5,6,0,0.89,1711.94
DAU_LEA_039,187,5,5,6,0,0.8,1717.89
DAU_LEA_039,188,3,5,6,0,0.74,1723.79
DAU_LEA_039,189,6,5,6,0,0.72,1729.66
DAU_LEA_039,190,3,5,6,0,0.65,1735.45
DAU_LEA_039,191,0,0,0,1,0.36,1740.96
DAU_LEA_039,192,1,5,1,0,0.76,1746.9
DAU_LEA_039,193,2,1,5,0,0.86,1752.95
DAU_LEA_039,194,2,0,5,0,0.97,1759.1
DAU_LEA_039,195,0,0,0,1,0.57,1764.81
DAU_LEA_039,196,6,6,6,1,1.02,1770.97
DAU_LEA_039,197,2,1,5,0,0.8,1776.96
DAU_LEA_039,198,1,1,1,1,0.74,1782.85
DAU_LEA_039,199,0,0,0,1,0.55,1788.57
