id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
DJA_YOU_057,100,29,45,29,29,1,common,0,7.44,68.0
DJA_YOU_057,101,66,52,52,52,1,common,0,3.81,76.55
DJA_YOU_057,102,44,53,44,44,1,common,0,2.0,83.29
DJA_YOU_057,0,24,44,24,24,1,common,1,2.24,103.38
DJA_YOU_057,1,23,29,29,23,0,common,1,3.99,110.13
DJA_YOU_057,2,27,12,27,12,0,common,1,4.12,116.97
DJA_YOU_057,3,65,74,74,65,0,common,1,4.32,124.03
DJA_YOU_057,4,90,75,90,75,0,common,1,2.94,129.75
DJA_YOU_057,5,12,18,18,12,0,common,1,6.03,138.49
DJA_YOU_057,6,9,16,9,9,1,common,2,2.78,143.98
DJA_YOU_057,7,40,25,40,40,1,common,3,4.54,151.26
DJA_YOU_057,8,60,75,75,60,0,common,3,6.84,160.88
DJA_YOU_057,9,25,43,43,25,0,common,3,4.72,168.37
DJA_YOU_057,10,15,26,15,15,1,common,4,6.96,178.03
DJA_YOU_057,11,54,71,71,54,0,common,4,5.66,186.43
DJA_YOU_057,12,46,29,46,29,0,common,4,2.88,192.02
DJA_YOU_057,13,53,33,53,33,0,common,4,3.85,198.61
DJA_YOU_057,14,52,38,38,38,1,common,5,4.59,205.93
DJA_YOU_057,15,44,24,44,24,0,common,5,4.49,213.18
DJA_YOU_057,16,13,12,13,12,0,common,5,11.09,227.01
DJA_YOU_057,17,58,64,64,58,0,common,5,6.74,236.52
DJA_YOU_057,18,13,31,31,13,0,common,5,11.02,250.28
DJA_YOU_057,19,98,88,88,88,1,common,6,5.83,258.89
DJA_YOU_057,20,31,43,31,31,1,common,7,1.84,263.5
DJA_YOU_057,21,36,25,36,25,0,common,7,7.58,273.79
DJA_YOU_057,22,42,29,42,29,0,common,7,6.09,282.6
DJA_YOU_057,23,20,32,32,20,0,common,7,5.9,291.21
DJA_YOU_057,24,36,19,19,36,0,common,7,4.71,298.65
DJA_YOU_057,25,36,48,36,36,1,common,8,7.15,308.52
DJA_YOU_057,26,13,33,33,13,0,common,8,8.4,319.62
DJA_YOU_057,27,35,45,35,35,1,common,9,4.09,326.49
DJA_YOU_057,28,35,24,35,24,0,common,9,3.03,332.23
DJA_YOU_057,29,28,45,45,28,0,common,9,3.89,338.87
DJA_YOU_057,30,30,13,30,13,0,common,9,4.28,345.9
DJA_YOU_057,31,36,17,17,36,0,common,9,3.63,352.28
DJA_YOU_057,32,74,62,62,62,1,common,10,11.98,367.03
DJA_YOU_057,33,31,26,31,26,0,common,10,8.12,377.88
DJA_YOU_057,34,38,28,38,28,0,common,10,24.71,405.32
DJA_YOU_057,35,81,72,81,72,0,common,10,9.83,417.94
DJA_YOU_057,36,21,16,16,16,1,common,11,5.12,425.81
DJA_YOU_057,37,21,36,36,36,1,common,12,3.46,432.02
DJA_YOU_057,38,36,16,36,16,0,common,12,2.74,437.49
DJA_YOU_057,39,8,16,8,8,1,common,13,4.22,444.42
DJA_YOU_057,40,12,18,12,12,1,common,14,4.11,451.26
DJA_YOU_057,41,76,67,76,67,0,common,14,8.09,462.13
DJA_YOU_057,42,92,84,84,84,1,common,15,2.99,467.9
DJA_YOU_057,43,34,14,34,14,0,common,15,10.01,480.66
DJA_YOU_057,44,14,9,9,9,1,common,16,8.54,491.94
DJA_YOU_057,45,83,103,103,83,0,common,16,9.44,504.14
DJA_YOU_057,46,33,23,33,23,0,common,16,3.04,509.88
DJA_YOU_057,47,28,19,28,28,1,common,17,4.42,517.05
DJA_YOU_057,48,30,41,30,30,1,common,18,7.48,527.24
DJA_YOU_057,49,35,53,53,35,0,common,18,5.1,535.06
DJA_YOU_057,50,33,34,33,33,1,common,19,7.34,545.14
DJA_YOU_057,51,81,86,81,81,1,common,20,7.65,555.56
DJA_YOU_057,52,52,33,52,33,0,common,20,8.24,566.52
DJA_YOU_057,53,44,30,30,30,1,common,21,2.27,571.57
DJA_YOU_057,54,35,30,35,30,0,common,21,15.78,590.08
DJA_YOU_057,55,52,20,52,52,1,common,22,2.09,594.92
DJA_YOU_057,56,31,52,52,52,1,common,23,3.23,600.91
DJA_YOU_057,57,24,32,32,24,0,common,23,4.52,608.17
DJA_YOU_057,58,60,35,60,60,1,common,24,1.91,612.83
DJA_YOU_057,59,32,27,32,32,1,common,25,7.24,622.85
DJA_YOU_057,60,31,20,20,20,1,common,26,4.13,629.72
DJA_YOU_057,61,23,29,29,23,0,common,26,3.16,635.64
DJA_YOU_057,62,14,24,24,24,1,common,27,2.69,641.08
DJA_YOU_057,63,32,51,32,32,1,common,28,11.09,654.93
DJA_YOU_057,64,30,11,11,11,1,common,29,1.88,659.55
DJA_YOU_057,65,72,53,72,53,0,common,29,2.61,664.95
DJA_YOU_057,66,41,51,41,41,1,common,30,1.53,669.27
