id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
DOM_ANT_003,999,2,5,5,1,0.51,50.53
DOM_ANT_003,999,3,6,6,1,1.29,59.15
DOM_ANT_003,999,1,1,1,1,1.14,67.37
DOM_ANT_003,0,0,0,0,1,2.63,92.81
DOM_ANT_003,1,3,0,6,0,2.17,102.64
DOM_ANT_003,2,6,5,6,0,1.31,111.56
DOM_ANT_003,3,0,0,0,1,1.13,120.38
DOM_ANT_003,4,3,0,6,0,1.12,129.16
DOM_ANT_003,5,0,0,0,1,0.72,137.72
DOM_ANT_003,6,1,0,1,0,0.82,146.0
DOM_ANT_003,7,4,0,6,0,0.8,154.14
DOM_ANT_003,8,0,0,0,1,0.72,162.31
DOM_ANT_003,9,3,0,6,0,0.74,170.75
DOM_ANT_003,10,2,0,5,0,0.88,179.51
DOM_ANT_003,11,1,0,1,0,1.7,189.03
DOM_ANT_003,12,5,5,6,0,1.91,198.56
DOM_ANT_003,13,3,0,6,0,1.15,207.08
DOM_ANT_003,14,1,0,1,0,0.66,215.38
DOM_ANT_003,15,1,0,1,0,0.63,223.35
DOM_ANT_003,16,2,0,5,0,0.86,231.68
DOM_ANT_003,17,2,0,5,0,0.9,239.97
DOM_ANT_003,18,0,0,0,1,0.67,248.47
DOM_ANT_003,19,5,1,6,0,1.32,257.21
DOM_ANT_003,20,2,0,5,0,0.52,265.55
DOM_ANT_003,21,1,0,1,0,1.6,274.55
DOM_ANT_003,22,3,1,6,0,0.8,283.03
DOM_ANT_003,23,0,0,0,1,0.67,291.42
DOM_ANT_003,24,4,0,6,0,1.14,300.19
DOM_ANT_003,25,2,1,5,0,1.22,309.0
DOM_ANT_003,26,2,1,5,0,1.04,317.74
DOM_ANT_003,27,4,1,6,0,0.72,326.09
DOM_ANT_003,28,0,1,0,0,0.99,334.63
DOM_ANT_003,29,2,1,5,0,0.46,342.69
DOM_ANT_003,30,4,0,6,0,0.86,351.12
DOM_ANT_003,31,0,1,0,0,0.96,359.45
DOM_ANT_003,32,6,0,6,0,0.94,368.07
DOM_ANT_003,33,4,0,6,0,0.69,376.62
DOM_ANT_003,34,5,1,6,0,0.74,385.16
DOM_ANT_003,35,5,0,6,0,0.85,393.63
DOM_ANT_003,36,5,0,6,0,0.7,401.8
DOM_ANT_003,37,5,1,6,0,0.85,410.32
DOM_ANT_003,38,6,1,6,0,0.64,418.38
DOM_ANT_003,39,1,1,1,1,0.65,426.76
DOM_ANT_003,40,0,0,0,1,0.73,435.11
DOM_ANT_003,41,0,0,0,1,0.63,443.39
DOM_ANT_003,42,2,1,5,0,1.4,452.42
DOM_ANT_003,43,2,0,5,0,0.7,460.73
DOM_ANT_003,44,5,0,6,0,0.65,469.17
DOM_ANT_003,45,0,0,0,1,0.57,477.44
DOM_ANT_003,46,3,1,6,0,0.86,485.99
DOM_ANT_003,47,0,0,0,1,0.83,494.2
DOM_ANT_003,48,0,0,0,1,0.69,502.81
DOM_ANT_003,49,4,0,6,0,0.37,510.87
DOM_ANT_003,50,1,0,1,0,0.98,519.46
DOM_ANT_003,51,1,0,1,0,0.51,527.69
DOM_ANT_003,52,3,0,6,0,0.61,535.99
DOM_ANT_003,53,1,1,1,1,1.1,544.71
DOM_ANT_003,54,2,0,5,0,0.77,553.2
DOM_ANT_003,55,6,5,6,0,2.15,562.96
DOM_ANT_003,56,2,0,5,0,0.6,571.23
DOM_ANT_003,57,0,0,0,1,0.85,579.82
DOM_ANT_003,58,3,0,6,0,0.66,588.13
DOM_ANT_003,59,1,1,1,1,0.48,596.47
DOM_ANT_003,60,3,0,6,0,0.95,605.24
DOM_ANT_003,61,3,0,6,0,1.16,614.06
DOM_ANT_003,62,3,0,6,0,1.09,622.54
DOM_ANT_003,63,1,0,1,0,0.7,630.93
DOM_ANT_003,64,0,0,0,1,0.79,639.36
DOM_ANT_003,65,4,0,6,0,0.85,647.92
DOM_ANT_003,66,3,1,6,0,0.92,656.48
DOM_ANT_003,67,2,1,5,0,0.6,664.51
DOM_ANT_003,68,5,1,6,0,0.72,672.57
DOM_ANT_003,69,2,1,5,0,0.7,680.93
DOM_ANT_003,70,5,1,6,0,0.56,688.9
DOM_ANT_003,71,6,0,6,0,1.18,697.72
DOM_ANT_003,72,2,0,5,0,0.75,705.88
DOM_ANT_003,73,0,0,0,1,1.07,714.6
DOM_ANT_003,74,1,0,1,0,0.56,722.88
DOM_ANT_003,75,2,5,5,1,1.12,731.68
DOM_ANT_003,76,2,0,5,0,0.71,740.11
DOM_ANT_003,77,1,0,1,0,0.35,748.1
DOM_ANT_003,78,4,1,6,0,0.68,756.43
DOM_ANT_003,79,2,0,5,0,1.78,765.84
DOM_ANT_003,80,2,0,5,0,0.74,774.41
DOM_ANT_003,81,0,0,0,1,0.68,782.5
DOM_ANT_003,82,4,1,6,0,1.23,791.22
DOM_ANT_003,83,4,0,6,0,0.69,799.55
DOM_ANT_003,84,2,1,5,0,0.79,807.7
DOM_ANT_003,85,4,1,6,0,0.84,815.95
DOM_ANT_003,86,3,0,6,0,0.62,824.49
DOM_ANT_003,87,1,1,1,1,0.52,832.72
DOM_ANT_003,88,0,0,0,1,0.71,841.1
DOM_ANT_003,89,0,0,0,1,0.51,849.33
DOM_ANT_003,90,0,0,0,1,0.7,857.45
DOM_ANT_003,91,1,5,1,0,1.3,866.58
DOM_ANT_003,92,5,0,6,0,0.81,875.02
DOM_ANT_003,93,4,0,6,0,0.36,882.78
DOM_ANT_003,94,6,1,6,0,0.67,891.18
DOM_ANT_003,95,3,0,6,0,0.74,899.77
DOM_ANT_003,96,5,5,6,0,0.35,907.87
