id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
ELA_ABD_005,999,2,1,5,0,10.56,105.95
ELA_ABD_005,999,3,0,6,0,4.15,117.49
ELA_ABD_005,999,1,1,1,1,6.39,131.03
ELA_ABD_005,0,0,0,0,1,4.42,163.63
ELA_ABD_005,1,3,0,6,0,1.49,172.76
ELA_ABD_005,2,6,1,6,0,1.09,181.55
ELA_ABD_005,3,0,0,0,1,1.14,190.38
ELA_ABD_005,4,3,1,6,0,1.04,199.12
ELA_ABD_005,5,0,0,0,1,1.08,208.07
ELA_ABD_005,6,1,0,1,0,1.02,216.58
ELA_ABD_005,7,4,1,6,0,0.93,224.88
ELA_ABD_005,8,0,0,0,1,0.94,233.28
ELA_ABD_005,9,3,1,6,0,0.86,241.95
ELA_ABD_005,10,2,0,5,0,0.83,250.64
ELA_ABD_005,11,1,0,1,0,0.92,259.47
ELA_ABD_005,12,5,0,6,0,0.75,267.88
ELA_ABD_005,13,3,0,6,0,0.71,276.0
ELA_ABD_005,14,1,0,1,0,0.7,284.38
ELA_ABD_005,15,1,0,1,0,1.3,293.04
ELA_ABD_005,16,2,0,5,0,0.72,301.23
ELA_ABD_005,17,2,0,5,0,0.84,309.47
ELA_ABD_005,18,0,0,0,1,0.8,318.16
ELA_ABD_005,19,5,1,6,0,0.59,326.17
ELA_ABD_005,20,2,1,5,0,0.42,334.56
ELA_ABD_005,21,1,0,1,0,1.09,343.05
ELA_ABD_005,22,3,1,6,0,0.81,351.67
ELA_ABD_005,23,0,0,0,1,0.51,359.94
ELA_ABD_005,24,4,5,6,0,1.72,369.28
ELA_ABD_005,25,2,1,5,0,1.53,378.52
ELA_ABD_005,26,2,0,5,0,1.42,387.63
ELA_ABD_005,27,4,1,6,0,0.5,395.8
ELA_ABD_005,28,0,0,0,1,1.24,404.66
ELA_ABD_005,29,2,0,5,0,0.89,413.21
ELA_ABD_005,30,4,1,6,0,0.64,421.47
ELA_ABD_005,31,0,0,0,1,1.07,429.93
ELA_ABD_005,32,6,1,6,0,0.49,438.14
ELA_ABD_005,33,4,1,6,0,0.93,447.0
ELA_ABD_005,34,5,0,6,0,0.91,455.73
ELA_ABD_005,35,5,0,6,0,0.79,464.22
ELA_ABD_005,36,5,1,6,0,0.46,472.19
ELA_ABD_005,37,5,5,6,0,2.02,481.9
ELA_ABD_005,38,6,1,6,0,0.5,489.82
ELA_ABD_005,39,1,0,1,0,1.2,498.76
ELA_ABD_005,40,0,0,0,1,0.82,507.2
ELA_ABD_005,41,0,0,0,1,0.93,515.77
ELA_ABD_005,42,2,0,5,0,0.91,524.39
ELA_ABD_005,43,2,1,5,0,0.5,532.56
ELA_ABD_005,44,5,1,6,0,1.4,541.77
ELA_ABD_005,45,0,0,0,1,0.49,549.96
ELA_ABD_005,46,3,1,6,0,0.61,558.26
ELA_ABD_005,47,0,0,0,1,0.37,565.98
ELA_ABD_005,48,0,0,0,1,0.49,574.34
ELA_ABD_005,49,4,1,6,0,0.47,582.53
ELA_ABD_005,50,1,0,1,0,0.91,591.09
ELA_ABD_005,51,1,0,1,0,0.51,599.4
ELA_ABD_005,52,3,0,6,0,0.43,607.52
ELA_ABD_005,53,1,0,1,0,0.81,616.05
ELA_ABD_005,54,2,0,5,0,1.01,624.79
ELA_ABD_005,55,6,1,6,0,0.62,633.07
ELA_ABD_005,56,2,0,5,0,0.68,641.45
ELA_ABD_005,57,0,0,0,1,0.47,649.63
ELA_ABD_005,58,3,0,6,0,0.91,658.21
ELA_ABD_005,59,1,0,1,0,0.91,666.99
