id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
ELA_ABD_005,100,6,6,1,0,3.14,39.65
ELA_ABD_005,101,6,6,1,0,0.79,44.62
ELA_ABD_005,102,6,0,0,0,0.58,49.39
ELA_ABD_005,0,6,0,0,0,0.92,75.88
ELA_ABD_005,1,6,6,1,1,2.83,80.89
ELA_ABD_005,2,6,6,1,2,0.68,83.76
ELA_ABD_005,3,6,6,1,3,0.15,86.1
ELA_ABD_005,4,6,6,1,4,0.65,88.93
ELA_ABD_005,5,6,6,1,5,2.95,94.08
ELA_ABD_005,6,6,6,1,6,0.57,96.83
ELA_ABD_005,7,6,6,1,7,0.77,99.78
ELA_ABD_005,8,0,0,1,8,0.6,102.57
ELA_ABD_005,9,6,6,1,9,1.25,106.01
ELA_ABD_005,10,6,6,1,10,0.97,109.16
ELA_ABD_005,11,6,6,1,11,0.52,111.86
ELA_ABD_005,12,0,0,1,12,0.59,114.63
ELA_ABD_005,13,6,6,1,13,0.8,117.62
ELA_ABD_005,14,6,6,1,14,0.58,120.39
ELA_ABD_005,15,6,6,1,15,0.53,123.11
ELA_ABD_005,16,6,6,1,16,0.62,125.91
ELA_ABD_005,17,6,6,1,17,0.49,128.58
ELA_ABD_005,18,6,6,1,18,0.59,131.35
ELA_ABD_005,19,6,0,0,18,1.01,134.56
ELA_ABD_005,20,6,6,1,19,0.75,137.49
ELA_ABD_005,21,6,6,1,20,0.85,140.53
ELA_ABD_005,22,0,6,0,20,2.09,144.8
ELA_ABD_005,23,6,6,1,21,0.67,147.65
ELA_ABD_005,24,0,0,1,22,0.47,150.31
ELA_ABD_005,25,6,6,1,23,0.57,153.06
ELA_ABD_005,26,0,0,1,24,0.58,155.82
ELA_ABD_005,27,0,6,0,24,0.65,158.66
ELA_ABD_005,28,6,6,1,25,0.74,161.6
ELA_ABD_005,29,6,6,1,26,0.96,164.76
ELA_ABD_005,30,6,6,1,27,0.67,167.61
ELA_ABD_005,31,6,0,0,27,0.95,170.74
ELA_ABD_005,32,6,6,1,28,0.83,173.75
ELA_ABD_005,33,0,0,1,29,0.98,176.92
ELA_ABD_005,34,0,0,1,30,0.68,179.79
ELA_ABD_005,35,6,6,1,31,0.61,182.59
ELA_ABD_005,36,6,6,1,32,0.64,185.41
ELA_ABD_005,37,0,0,1,33,0.48,188.09
ELA_ABD_005,38,0,0,1,34,0.71,191.0
ELA_ABD_005,39,6,6,1,35,0.47,193.66
ELA_ABD_005,40,6,0,0,35,0.36,196.22
ELA_ABD_005,41,0,0,1,36,0.76,199.19
ELA_ABD_005,42,6,6,1,37,0.63,202.01
ELA_ABD_005,43,6,6,1,38,0.48,204.65
ELA_ABD_005,44,6,6,1,39,0.45,207.29
ELA_ABD_005,45,6,6,1,40,0.44,209.9
ELA_ABD_005,46,6,6,1,41,0.53,212.6
ELA_ABD_005,47,6,6,1,42,0.47,215.27
ELA_ABD_005,48,0,0,1,43,0.46,217.93
ELA_ABD_005,49,0,0,1,44,0.73,220.86
ELA_ABD_005,50,0,0,1,45,0.47,223.53
ELA_ABD_005,51,6,6,1,46,0.5,226.22
ELA_ABD_005,52,6,6,1,47,0.36,228.78
