id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
FAR_FAR_062,100,45,29,29,29,1,common,0,2.2,38.41
FAR_FAR_062,101,52,66,52,52,1,common,0,1.66,44.84
FAR_FAR_062,102,44,53,44,44,1,common,0,2.28,51.87
FAR_FAR_062,0,44,24,24,24,1,common,1,2.48,72.08
FAR_FAR_062,1,23,29,23,23,1,common,2,2.27,77.1
FAR_FAR_062,2,12,27,12,12,1,common,3,3.06,82.89
FAR_FAR_062,3,74,65,65,65,1,common,4,3.56,89.21
FAR_FAR_062,4,75,90,75,75,1,common,5,2.32,94.3
FAR_FAR_062,5,12,18,12,12,1,common,6,2.46,99.5
FAR_FAR_062,6,16,9,9,9,1,common,7,1.65,103.88
FAR_FAR_062,7,25,40,40,40,1,common,8,2.68,109.3
FAR_FAR_062,8,75,60,60,60,1,common,9,3.7,115.78
FAR_FAR_062,9,43,25,25,25,1,common,10,10.54,129.08
FAR_FAR_062,10,15,26,15,15,1,common,11,1.74,133.55
FAR_FAR_062,11,71,54,54,54,1,common,12,1.75,138.05
FAR_FAR_062,12,29,46,29,29,1,common,13,2.93,143.69
FAR_FAR_062,13,53,33,33,33,1,common,14,6.63,153.08
FAR_FAR_062,14,52,38,38,38,1,common,15,11.47,167.31
FAR_FAR_062,15,24,44,24,24,1,common,16,1.26,171.33
FAR_FAR_062,16,12,13,13,12,0,common,16,6.7,180.76
FAR_FAR_062,17,64,58,64,58,0,common,16,1.55,185.08
FAR_FAR_062,18,31,13,13,13,1,common,17,2.21,190.04
FAR_FAR_062,19,88,98,98,88,0,common,17,10.51,203.34
FAR_FAR_062,20,31,43,31,31,1,common,18,2.52,208.6
FAR_FAR_062,21,25,36,36,25,0,common,18,5.28,216.59
FAR_FAR_062,22,42,29,29,29,1,common,19,7.62,226.94
FAR_FAR_062,23,20,32,20,20,1,common,20,4.37,234.02
FAR_FAR_062,24,36,19,36,36,1,common,21,2.0,238.76
FAR_FAR_062,25,36,48,36,36,1,common,22,1.76,243.3
FAR_FAR_062,26,33,13,13,13,1,common,23,1.69,247.69
FAR_FAR_062,27,45,35,35,35,1,common,24,5.47,255.93
FAR_FAR_062,28,24,35,24,24,1,common,25,6.12,264.8
FAR_FAR_062,29,45,28,28,28,1,common,26,1.21,268.78
FAR_FAR_062,30,13,30,13,13,1,common,27,1.23,272.76
FAR_FAR_062,31,17,36,36,36,1,common,28,5.82,281.31
FAR_FAR_062,32,74,62,62,62,1,common,29,5.13,289.23
FAR_FAR_062,33,26,31,26,26,1,common,30,14.63,306.63
FAR_FAR_062,34,38,28,28,28,1,common,31,3.68,313.06
FAR_FAR_062,35,72,81,72,72,1,common,32,1.42,317.25
FAR_FAR_062,36,21,16,16,16,1,common,33,3.66,323.66
FAR_FAR_062,37,21,36,36,36,1,common,34,9.21,335.61
FAR_FAR_062,38,16,36,16,16,1,common,35,1.07,339.4
FAR_FAR_062,39,8,16,8,8,1,common,36,1.82,343.97
FAR_FAR_062,40,12,18,12,12,1,common,37,0.69,347.4
FAR_FAR_062,41,76,67,67,67,1,common,38,4.21,354.41
FAR_FAR_062,42,84,92,84,84,1,common,39,1.88,359.05
FAR_FAR_062,43,34,14,14,14,1,common,40,4.16,365.91
FAR_FAR_062,44,14,9,9,9,1,common,41,3.57,372.21
FAR_FAR_062,45,83,103,83,83,1,common,42,3.0,377.96
FAR_FAR_062,46,23,33,23,23,1,common,43,3.35,384.02
FAR_FAR_062,47,19,28,28,28,1,common,44,7.66,394.43
FAR_FAR_062,48,30,41,30,30,1,common,45,14.46,411.63
FAR_FAR_062,49,35,53,53,35,0,common,45,2.31,416.7
FAR_FAR_062,50,33,34,33,33,1,pro,46,25.06,444.46
FAR_FAR_062,51,81,86,86,81,0,pro,46,5.63,452.88
FAR_FAR_062,52,52,33,33,33,1,pro,47,22.76,478.38
FAR_FAR_062,53,30,44,30,30,1,pro,48,1.6,482.73
FAR_FAR_062,54,35,30,30,30,1,pro,49,1.82,487.28
FAR_FAR_062,55,52,20,52,52,1,pro,50,7.8,497.85
FAR_FAR_062,56,52,31,52,52,1,pro,51,1.17,501.75
FAR_FAR_062,57,32,24,24,24,1,pro,52,6.15,510.65
FAR_FAR_062,58,60,35,60,60,1,pro,53,1.47,514.87
FAR_FAR_062,59,32,27,32,32,1,pro,54,3.68,521.3
FAR_FAR_062,60,20,31,20,20,1,pro,55,4.43,528.45
FAR_FAR_062,61,23,29,23,23,1,pro,56,11.62,542.84
FAR_FAR_062,62,24,14,24,24,1,pro,57,5.72,551.29
FAR_FAR_062,63,32,51,32,32,1,pro,58,8.29,562.34
FAR_FAR_062,64,11,30,11,11,1,pro,59,0.87,565.95
FAR_FAR_062,65,72,53,53,53,1,pro,60,1.09,569.82
FAR_FAR_062,66,41,51,41,41,1,pro,61,1.14,573.74
FAR_FAR_062,67,42,26,26,26,1,pro,62,1.86,578.34
