id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
FAR_FAR_062,999,2,1,5,0,3.62,89.33
FAR_FAR_062,999,3,1,6,0,6.92,103.61
FAR_FAR_062,999,1,0,1,0,3.64,114.33
FAR_FAR_062,0,0,0,0,1,1.94,143.61
FAR_FAR_062,1,3,0,6,0,6.5,157.78
FAR_FAR_062,2,6,5,6,0,2.79,168.2
FAR_FAR_062,3,0,0,0,1,1.03,176.96
FAR_FAR_062,4,3,0,6,0,4.83,189.48
FAR_FAR_062,5,0,1,0,0,1.28,198.61
FAR_FAR_062,6,1,5,1,0,2.72,208.81
FAR_FAR_062,7,4,1,6,0,1.77,217.97
FAR_FAR_062,8,0,1,0,0,1.53,226.99
FAR_FAR_062,9,3,5,6,0,5.25,240.04
FAR_FAR_062,10,2,5,5,1,1.36,249.29
FAR_FAR_062,11,1,0,1,0,1.13,258.29
FAR_FAR_062,12,5,6,6,1,1.38,267.33
FAR_FAR_062,13,3,0,6,0,1.12,275.84
FAR_FAR_062,14,1,1,1,1,1.51,285.04
FAR_FAR_062,15,1,1,1,1,1.05,293.45
FAR_FAR_062,16,2,5,5,1,2.64,303.59
FAR_FAR_062,17,2,5,5,1,1.22,312.2
FAR_FAR_062,18,0,0,0,1,2.85,322.88
FAR_FAR_062,19,5,0,6,0,0.8,331.1
FAR_FAR_062,20,2,5,5,1,3.8,342.83
FAR_FAR_062,21,1,0,1,0,0.91,351.17
FAR_FAR_062,22,3,1,6,0,1.56,360.46
FAR_FAR_062,23,0,0,0,1,0.82,369.0
FAR_FAR_062,24,4,1,6,0,2.75,379.45
FAR_FAR_062,25,2,5,5,1,1.08,388.16
FAR_FAR_062,26,2,0,5,0,0.77,396.6
FAR_FAR_062,27,4,5,6,0,1.07,405.33
FAR_FAR_062,28,0,0,0,1,1.71,414.66
FAR_FAR_062,29,2,1,5,0,1.07,423.42
FAR_FAR_062,30,4,1,6,0,1.0,432.03
FAR_FAR_062,31,0,1,0,0,1.37,440.79
FAR_FAR_062,32,6,1,6,0,0.9,449.42
FAR_FAR_062,33,4,0,6,0,0.7,457.97
FAR_FAR_062,34,5,1,6,0,0.99,466.8
FAR_FAR_062,35,5,5,6,0,1.57,476.04
FAR_FAR_062,36,5,5,6,0,0.91,484.48
FAR_FAR_062,37,5,1,6,0,0.88,493.03
FAR_FAR_062,38,6,5,6,0,0.95,501.39
FAR_FAR_062,39,1,0,1,0,0.73,509.83
FAR_FAR_062,40,0,0,0,1,0.81,518.28
