id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
FAR_FAR_062,100,6,6,1,0,3.53,41.74
FAR_FAR_062,101,6,6,1,0,1.33,47.25
FAR_FAR_062,102,6,0,0,0,0.33,51.74
FAR_FAR_062,0,0,0,1,1,1.29,70.82
FAR_FAR_062,1,6,6,1,2,0.96,73.94
FAR_FAR_062,2,6,6,1,3,0.92,77.05
FAR_FAR_062,3,6,6,1,4,1.48,80.73
FAR_FAR_062,4,6,6,1,5,0.58,83.51
FAR_FAR_062,5,6,6,1,6,0.53,86.23
FAR_FAR_062,6,6,6,1,7,0.25,88.68
FAR_FAR_062,7,6,6,1,8,0.24,91.11
FAR_FAR_062,8,0,0,1,9,0.83,94.13
FAR_FAR_062,9,6,6,1,10,0.22,96.53
FAR_FAR_062,10,6,6,1,11,0.34,99.06
FAR_FAR_062,11,6,6,1,12,0.21,101.46
FAR_FAR_062,12,0,0,1,13,0.25,103.9
FAR_FAR_062,13,6,6,1,14,0.19,106.27
FAR_FAR_062,14,6,6,1,15,0.2,108.67
FAR_FAR_062,15,6,6,1,16,0.19,111.02
FAR_FAR_062,16,6,6,1,17,0.22,113.42
FAR_FAR_062,17,6,6,1,18,0.66,116.28
FAR_FAR_062,18,6,6,1,19,0.19,118.68
FAR_FAR_062,19,0,0,1,20,0.89,121.77
FAR_FAR_062,20,6,6,1,21,0.25,124.2
FAR_FAR_062,21,6,6,1,22,0.14,126.55
FAR_FAR_062,22,6,6,1,23,0.18,128.95
FAR_FAR_062,23,6,6,1,24,0.38,131.55
FAR_FAR_062,24,0,0,1,25,0.61,134.36
FAR_FAR_062,25,6,6,1,26,1.07,137.62
FAR_FAR_062,26,6,0,0,26,0.16,139.99
FAR_FAR_062,27,6,6,1,27,0.12,142.32
FAR_FAR_062,28,6,6,1,28,0.26,144.78
FAR_FAR_062,29,6,6,1,29,0.12,147.09
FAR_FAR_062,30,6,6,1,30,0.47,149.74
FAR_FAR_062,31,0,0,1,31,0.23,152.17
FAR_FAR_062,32,6,6,1,32,0.4,154.75
FAR_FAR_062,33,0,0,1,33,0.24,157.18
FAR_FAR_062,34,0,0,1,34,0.13,159.5
FAR_FAR_062,35,6,6,1,35,0.18,161.86
FAR_FAR_062,36,0,6,0,35,0.63,164.66
FAR_FAR_062,37,6,0,0,35,0.21,167.09
FAR_FAR_062,38,0,0,1,36,0.27,169.56
FAR_FAR_062,39,6,6,1,37,0.12,171.87
FAR_FAR_062,40,0,0,1,38,0.18,174.27
FAR_FAR_062,41,0,0,1,39,0.18,176.65
FAR_FAR_062,42,6,6,1,40,0.13,179.0
FAR_FAR_062,43,6,6,1,41,0.17,181.35
FAR_FAR_062,44,6,6,1,42,0.14,183.67
FAR_FAR_062,45,6,6,1,43,0.01,185.88
FAR_FAR_062,46,6,6,1,44,0.17,188.23
FAR_FAR_062,47,6,6,1,45,0.34,190.79
FAR_FAR_062,48,0,0,1,46,0.34,193.35
FAR_FAR_062,49,0,0,1,47,0.21,195.75
FAR_FAR_062,50,0,0,1,48,0.21,198.16
FAR_FAR_062,51,0,6,0,48,0.05,200.4
FAR_FAR_062,52,6,6,1,49,0.01,202.6
FAR_FAR_062,53,6,6,1,50,0.2,204.94
FAR_FAR_062,54,6,6,1,51,0.19,207.34
FAR_FAR_062,55,0,6,0,51,0.1,209.65
FAR_FAR_062,56,0,6,0,51,0.18,212.02
FAR_FAR_062,57,0,6,0,51,0.03,214.24
FAR_FAR_062,58,6,6,1,52,0.34,216.77
FAR_FAR_062,59,6,6,1,53,0.09,219.06
FAR_FAR_062,60,6,6,1,54,0.19,221.42
FAR_FAR_062,61,6,6,1,55,0.25,223.87
FAR_FAR_062,62,6,6,1,56,0.11,226.16
FAR_FAR_062,63,6,6,1,57,0.17,228.51
FAR_FAR_062,64,6,6,1,58,0.15,230.87
FAR_FAR_062,65,6,6,1,59,0.3,233.35
FAR_FAR_062,66,6,6,1,60,0.2,235.75
FAR_FAR_062,67,6,0,0,60,0.53,238.48
FAR_FAR_062,68,6,0,0,60,0.14,240.81
FAR_FAR_062,69,6,6,1,61,0.19,243.21
FAR_FAR_062,70,6,6,1,62,0.18,245.58
FAR_FAR_062,71,6,6,1,63,-0.0,247.77
FAR_FAR_062,72,6,6,1,64,0.02,249.98
FAR_FAR_062,73,0,0,1,65,0.83,252.98
FAR_FAR_062,74,0,0,1,66,0.34,255.51
FAR_FAR_062,75,6,6,1,67,0.68,258.39
FAR_FAR_062,76,6,6,1,68,0.18,260.78
FAR_FAR_062,77,6,6,1,69,0.19,263.17
FAR_FAR_062,78,6,6,1,70,0.04,265.4
FAR_FAR_062,79,6,6,1,71,0.39,267.97
FAR_FAR_062,80,6,6,1,72,0.31,270.48
FAR_FAR_062,81,0,0,1,73,0.2,272.89
FAR_FAR_062,82,6,6,1,74,0.41,275.5
FAR_FAR_062,83,6,6,1,75,0.17,277.88
FAR_FAR_062,84,6,0,0,75,0.36,280.43
FAR_FAR_062,85,6,6,1,76,0.22,282.86
FAR_FAR_062,86,0,6,0,76,0.23,285.28
FAR_FAR_062,87,6,6,1,77,0.19,287.66
FAR_FAR_062,88,6,6,1,78,0.29,290.15
FAR_FAR_062,89,6,6,1,79,0.26,292.61
FAR_FAR_062,90,0,0,1,80,0.2,295.02
FAR_FAR_062,91,6,6,1,81,0.18,297.39
FAR_FAR_062,92,6,6,1,82,0.18,299.75
FAR_FAR_062,93,6,6,1,83,0.2,302.15
FAR_FAR_062,94,6,6,1,84,0.05,304.42
FAR_FAR_062,95,6,6,1,85,0.29,306.89
FAR_FAR_062,96,6,6,1,86,0.18,309.27
FAR_FAR_062,97,0,0,1,87,0.16,311.63
FAR_FAR_062,98,0,0,1,88,0.13,313.98
FAR_FAR_062,99,6,6,1,89,0.55,316.7
