id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
PAU_FAU_010,100,45,29,29,29,1,common,0,6.36,79.07
PAU_FAU_010,101,66,52,66,52,0,common,0,3.02,86.81
PAU_FAU_010,102,53,44,44,44,1,common,0,3.12,94.66
PAU_FAU_010,0,44,24,24,24,1,common,1,1.74,129.23
PAU_FAU_010,1,23,29,23,23,1,common,2,1.62,133.58
PAU_FAU_010,2,12,27,12,12,1,common,3,1.23,137.54
PAU_FAU_010,3,65,74,74,65,0,common,3,1.23,141.53
PAU_FAU_010,4,90,75,90,75,0,common,3,3.78,148.06
PAU_FAU_010,5,18,12,18,12,0,common,3,2.57,153.35
PAU_FAU_010,6,9,16,16,9,0,common,3,1.64,157.69
PAU_FAU_010,7,40,25,40,40,1,common,4,3.16,163.55
PAU_FAU_010,8,75,60,60,60,1,common,5,1.4,167.7
PAU_FAU_010,9,25,43,25,25,1,common,6,1.09,171.52
PAU_FAU_010,10,15,26,26,15,0,common,6,3.44,177.65
PAU_FAU_010,11,71,54,54,54,1,common,7,1.24,181.67
PAU_FAU_010,12,29,46,29,29,1,common,8,1.08,185.45
PAU_FAU_010,13,33,53,33,33,1,common,9,2.01,190.2
PAU_FAU_010,14,38,52,38,38,1,common,10,6.01,198.97
PAU_FAU_010,15,24,44,24,24,1,common,11,0.94,202.63
PAU_FAU_010,16,13,12,13,12,0,common,11,1.23,206.55
PAU_FAU_010,17,64,58,64,58,0,common,11,1.07,210.38
PAU_FAU_010,18,31,13,31,13,0,common,11,4.0,217.11
PAU_FAU_010,19,88,98,88,88,1,common,12,3.23,223.1
PAU_FAU_010,20,43,31,31,31,1,common,13,1.29,227.11
PAU_FAU_010,21,36,25,36,25,0,common,13,2.05,231.85
PAU_FAU_010,22,29,42,29,29,1,common,14,4.98,239.51
PAU_FAU_010,23,32,20,20,20,1,common,15,1.29,243.51
PAU_FAU_010,24,19,36,36,36,1,common,16,2.55,248.81
PAU_FAU_010,25,36,48,36,36,1,common,17,2.59,254.15
PAU_FAU_010,26,33,13,13,13,1,common,18,1.42,258.28
PAU_FAU_010,27,45,35,35,35,1,common,19,2.82,263.86
PAU_FAU_010,28,35,24,24,24,1,common,20,6.53,273.09
PAU_FAU_010,29,28,45,28,28,1,common,21,0.94,276.75
PAU_FAU_010,30,30,13,13,13,1,common,22,2.41,281.89
PAU_FAU_010,31,36,17,36,36,1,common,23,1.48,286.09
PAU_FAU_010,32,62,74,62,62,1,common,24,2.13,291.01
PAU_FAU_010,33,31,26,31,26,0,common,24,2.17,295.89
PAU_FAU_010,34,28,38,28,28,1,common,25,2.92,301.56
PAU_FAU_010,35,81,72,72,72,1,common,26,1.93,306.28
PAU_FAU_010,36,21,16,21,16,0,common,26,1.71,310.73
PAU_FAU_010,37,36,21,36,36,1,common,27,1.94,315.42
PAU_FAU_010,38,36,16,16,16,1,common,28,2.67,320.8
PAU_FAU_010,39,8,16,16,8,0,common,28,1.98,325.47
PAU_FAU_010,40,12,18,18,12,0,common,28,3.53,331.72
PAU_FAU_010,41,67,76,67,67,1,common,29,4.73,339.23
PAU_FAU_010,42,84,92,92,84,0,common,29,2.88,344.88
