id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
PAU_FAU_010,100,6,6,1,0,2.18,136.94
PAU_FAU_010,101,6,6,1,0,1.71,142.81
PAU_FAU_010,102,6,0,0,0,1.38,148.34
PAU_FAU_010,0,6,0,0,0,1.4,171.93
PAU_FAU_010,1,6,6,1,1,1.15,175.28
PAU_FAU_010,2,6,6,1,2,1.04,178.5
PAU_FAU_010,3,6,6,1,3,0.52,181.2
PAU_FAU_010,4,6,6,1,4,0.63,184.01
PAU_FAU_010,5,6,6,1,5,0.55,186.77
PAU_FAU_010,6,6,6,1,6,1.21,190.18
PAU_FAU_010,7,6,6,1,7,0.32,192.68
PAU_FAU_010,8,0,0,1,8,0.64,195.52
PAU_FAU_010,9,6,6,1,9,1.63,199.34
PAU_FAU_010,10,6,6,1,10,0.45,201.99
PAU_FAU_010,11,6,6,1,11,1.63,205.79
PAU_FAU_010,12,0,0,1,12,0.68,208.67
PAU_FAU_010,13,6,6,1,13,0.42,211.28
PAU_FAU_010,14,6,6,1,14,0.67,214.15
PAU_FAU_010,15,6,6,1,15,0.66,216.99
PAU_FAU_010,16,6,6,1,16,0.5,219.68
PAU_FAU_010,17,6,6,1,17,0.23,222.11
PAU_FAU_010,18,6,6,1,18,0.29,224.59
PAU_FAU_010,19,0,0,1,19,0.59,227.38
PAU_FAU_010,20,6,6,1,20,1.84,231.41
PAU_FAU_010,21,6,6,1,21,0.37,233.97
PAU_FAU_010,22,6,6,1,22,0.46,236.59
PAU_FAU_010,23,6,6,1,23,2.7,241.48
PAU_FAU_010,24,0,0,1,24,0.44,244.12
PAU_FAU_010,25,0,6,0,24,5.9,252.21
PAU_FAU_010,26,0,0,1,25,7.45,261.87
PAU_FAU_010,27,6,6,1,26,0.72,264.79
PAU_FAU_010,28,6,6,1,27,1.08,268.07
PAU_FAU_010,29,6,6,1,28,1.3,271.56
PAU_FAU_010,30,6,6,1,29,3.36,277.12
PAU_FAU_010,31,6,0,0,29,0.49,279.8
PAU_FAU_010,32,6,6,1,30,1.37,283.37
PAU_FAU_010,33,0,0,1,31,0.41,285.96
PAU_FAU_010,34,0,0,1,32,3.28,291.44
PAU_FAU_010,35,6,6,1,33,1.97,295.6
PAU_FAU_010,36,6,6,1,34,0.48,298.28
PAU_FAU_010,37,6,0,0,34,0.41,300.89
PAU_FAU_010,38,0,0,1,35,0.74,303.82
PAU_FAU_010,39,0,6,0,35,2.92,308.95
PAU_FAU_010,40,0,0,1,36,1.27,312.42
PAU_FAU_010,41,0,0,1,37,0.5,315.11
PAU_FAU_010,42,0,6,0,37,6.39,323.71
PAU_FAU_010,43,6,6,1,38,0.39,326.29
PAU_FAU_010,44,6,6,1,39,0.57,329.06
PAU_FAU_010,45,6,6,1,40,0.53,331.77
PAU_FAU_010,46,6,6,1,41,0.39,334.36
PAU_FAU_010,47,6,6,1,42,0.55,337.1
PAU_FAU_010,48,6,0,0,42,0.58,339.88
PAU_FAU_010,49,0,0,1,43,0.37,342.44
