id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
FLU_LUD_045,100,45,29,29,29,1,common,0,2.73,65.42
FLU_LUD_045,101,52,66,52,52,1,common,0,1.96,72.14
FLU_LUD_045,102,53,44,44,44,1,common,0,2.27,79.15
FLU_LUD_045,0,44,24,24,24,1,common,1,3.03,100.05
FLU_LUD_045,1,23,29,23,23,1,common,2,1.96,104.77
FLU_LUD_045,2,12,27,12,12,1,common,3,1.54,109.05
FLU_LUD_045,3,65,74,65,65,1,common,4,1.68,113.52
FLU_LUD_045,4,90,75,75,75,1,common,5,1.76,118.08
FLU_LUD_045,5,18,12,12,12,1,common,6,2.44,123.25
FLU_LUD_045,6,16,9,9,9,1,common,7,1.32,127.29
FLU_LUD_045,7,40,25,25,40,0,common,7,3.59,133.63
FLU_LUD_045,8,75,60,60,60,1,common,8,1.5,137.9
FLU_LUD_045,9,25,43,25,25,1,common,9,3.34,144.0
FLU_LUD_045,10,26,15,15,15,1,common,10,1.36,148.09
FLU_LUD_045,11,71,54,54,54,1,common,11,1.31,152.16
FLU_LUD_045,12,29,46,46,29,0,common,11,1.48,156.38
FLU_LUD_045,13,33,53,33,33,1,common,12,2.3,161.44
FLU_LUD_045,14,52,38,38,38,1,common,13,3.28,167.52
FLU_LUD_045,15,24,44,24,24,1,common,14,2.08,172.35
FLU_LUD_045,16,13,12,12,12,1,common,15,4.35,179.42
FLU_LUD_045,17,58,64,58,58,1,common,16,2.35,184.53
FLU_LUD_045,18,13,31,13,13,1,common,17,1.68,188.96
FLU_LUD_045,19,88,98,98,88,0,common,17,1.38,193.1
FLU_LUD_045,20,43,31,43,31,0,common,17,5.31,201.17
FLU_LUD_045,21,36,25,25,25,1,common,18,5.45,209.32
FLU_LUD_045,22,42,29,29,29,1,common,19,1.73,213.78
FLU_LUD_045,23,20,32,20,20,1,common,20,8.97,225.49
FLU_LUD_045,24,36,19,19,36,0,common,20,3.68,231.93
FLU_LUD_045,25,36,48,36,36,1,common,21,2.72,237.41
FLU_LUD_045,26,33,13,13,13,1,common,22,2.46,242.6
FLU_LUD_045,27,45,35,35,35,1,common,23,2.17,247.55
FLU_LUD_045,28,24,35,24,24,1,common,24,2.73,253.0
FLU_LUD_045,29,45,28,28,28,1,common,25,1.62,257.4
FLU_LUD_045,30,30,13,13,13,1,common,26,1.96,262.08
FLU_LUD_045,31,17,36,17,36,0,common,26,7.38,272.23
FLU_LUD_045,32,62,74,62,62,1,common,27,1.45,276.45
FLU_LUD_045,33,31,26,26,26,1,common,28,2.37,281.56
FLU_LUD_045,34,38,28,28,28,1,common,29,1.9,286.24
FLU_LUD_045,35,72,81,81,72,0,common,29,3.19,292.2
FLU_LUD_045,36,16,21,16,16,1,common,30,2.64,297.57
FLU_LUD_045,37,36,21,36,36,1,common,31,3.8,304.13
FLU_LUD_045,38,36,16,16,16,1,common,32,1.64,308.51
FLU_LUD_045,39,8,16,8,8,1,common,33,2.4,313.65
FLU_LUD_045,40,12,18,12,12,1,common,34,1.66,318.03
FLU_LUD_045,41,67,76,67,67,1,common,35,2.87,323.68
FLU_LUD_045,42,84,92,84,84,1,common,36,1.65,328.09
FLU_LUD_045,43,34,14,14,14,1,common,37,1.94,332.8
FLU_LUD_045,44,14,9,9,9,1,common,38,2.25,337.78
FLU_LUD_045,45,83,103,83,83,1,common,39,2.01,342.56
FLU_LUD_045,46,23,33,23,23,1,common,40,4.39,349.67
FLU_LUD_045,47,28,19,19,28,0,common,40,2.09,354.48
FLU_LUD_045,48,41,30,30,30,1,common,41,2.76,359.99
FLU_LUD_045,49,53,35,35,35,1,common,42,2.17,364.93
FLU_LUD_045,50,33,34,33,33,1,pro,43,4.98,372.62
FLU_LUD_045,51,86,81,81,81,1,pro,44,3.0,378.37
FLU_LUD_045,52,33,52,33,33,1,pro,45,4.2,385.33
FLU_LUD_045,53,44,30,30,30,1,pro,46,1.37,389.47
FLU_LUD_045,54,30,35,35,30,0,pro,46,2.81,395.0
FLU_LUD_045,55,20,52,20,52,0,pro,46,9.37,407.08
FLU_LUD_045,56,52,31,31,52,0,pro,46,4.93,414.8
FLU_LUD_045,57,32,24,24,24,1,pro,47,2.24,419.78
FLU_LUD_045,58,35,60,35,60,0,pro,47,5.17,427.73
FLU_LUD_045,59,32,27,27,32,0,pro,47,2.5,432.96
FLU_LUD_045,60,20,31,20,20,1,pro,48,19.72,455.42
FLU_LUD_045,61,29,23,23,23,1,pro,49,1.35,459.53
FLU_LUD_045,62,24,14,24,24,1,pro,50,3.57,465.87
FLU_LUD_045,63,32,51,32,32,1,pro,51,1.73,470.36
FLU_LUD_045,64,30,11,11,11,1,pro,52,1.19,474.29
FLU_LUD_045,65,53,72,53,53,1,pro,53,1.2,478.26
FLU_LUD_045,66,41,51,41,41,1,pro,54,1.15,482.2
FLU_LUD_045,67,26,42,26,26,1,pro,55,0.91,485.87
FLU_LUD_045,68,23,48,48,48,1,pro,56,1.74,490.4
FLU_LUD_045,69,56,30,56,56,1,pro,57,3.8,496.98
FLU_LUD_045,70,43,62,43,43,1,pro,58,5.37,505.12
FLU_LUD_045,71,50,44,44,44,1,pro,59,2.11,509.99
FLU_LUD_045,72,20,14,14,20,0,pro,59,1.14,513.89
FLU_LUD_045,73,32,26,26,26,1,pro,60,1.66,518.29
FLU_LUD_045,74,19,39,19,19,1,pro,61,0.98,522.0
FLU_LUD_045,75,24,14,24,24,1,pro,62,2.26,527.0
FLU_LUD_045,76,55,70,55,55,1,pro,63,1.07,530.85
FLU_LUD_045,77,6,15,6,6,1,pro,64,1.55,535.14
FLU_LUD_045,78,31,44,31,31,1,pro,65,1.29,539.21
FLU_LUD_045,79,60,28,28,60,0,pro,65,5.39,547.36
FLU_LUD_045,80,31,20,20,20,1,pro,66,6.26,556.36
FLU_LUD_045,81,23,36,36,36,1,pro,67,3.39,562.49
FLU_LUD_045,82,80,63,63,63,1,pro,68,4.7,569.95
FLU_LUD_045,83,28,8,8,8,1,pro,69,1.73,574.41
FLU_LUD_045,84,32,21,32,32,1,pro,70,3.49,580.65
FLU_LUD_045,85,29,41,41,29,0,pro,70,2.73,586.1
FLU_LUD_045,86,40,22,40,40,1,pro,71,3.15,592.03
FLU_LUD_045,87,14,27,14,14,1,pro,72,2.13,596.92
FLU_LUD_045,88,32,48,32,48,0,pro,72,1.34,601.04
FLU_LUD_045,89,42,29,29,29,1,pro,73,2.89,606.71
FLU_LUD_045,90,92,81,81,81,1,pro,74,1.19,610.69
FLU_LUD_045,91,22,20,22,20,0,pro,74,4.07,617.52
