id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
GAL_AUR_019,999,2,1,5,0,4.78,87.09
GAL_AUR_019,999,3,5,6,0,2.11,96.55
GAL_AUR_019,999,1,0,1,0,7.55,111.2
GAL_AUR_019,0,0,1,0,0,3.77,142.77
GAL_AUR_019,1,3,0,6,0,1.23,151.63
GAL_AUR_019,2,6,6,6,1,1.78,160.99
GAL_AUR_019,3,0,0,0,1,0.65,169.32
GAL_AUR_019,4,3,5,6,0,2.98,179.94
GAL_AUR_019,5,0,1,0,0,0.83,188.59
GAL_AUR_019,6,1,1,1,1,0.82,196.86
GAL_AUR_019,7,4,0,6,0,0.8,204.99
GAL_AUR_019,8,0,0,0,1,0.47,212.91
GAL_AUR_019,9,3,1,6,0,0.88,221.52
GAL_AUR_019,10,2,1,5,0,0.71,230.05
GAL_AUR_019,11,1,0,1,0,1.81,239.68
GAL_AUR_019,12,5,5,6,0,1.03,248.35
GAL_AUR_019,13,3,1,6,0,0.85,256.59
GAL_AUR_019,14,1,0,1,0,1.3,265.57
GAL_AUR_019,15,1,1,1,1,0.72,273.65
GAL_AUR_019,16,2,1,5,0,0.68,281.77
GAL_AUR_019,17,2,1,5,0,0.63,289.79
GAL_AUR_019,18,0,0,0,1,1.06,298.69
GAL_AUR_019,19,5,0,6,0,0.86,306.96
GAL_AUR_019,20,2,5,5,1,1.2,315.99
GAL_AUR_019,21,1,1,1,1,0.78,324.15
GAL_AUR_019,22,3,1,6,0,0.69,332.55
GAL_AUR_019,23,0,1,0,0,1.54,341.79
GAL_AUR_019,24,4,1,6,0,1.23,350.62
GAL_AUR_019,25,2,1,5,0,0.55,358.83
GAL_AUR_019,26,2,0,5,0,0.98,367.46
GAL_AUR_019,27,4,1,6,0,0.8,375.88
GAL_AUR_019,28,0,1,0,0,0.96,384.41
GAL_AUR_019,29,2,0,5,0,0.48,392.5
GAL_AUR_019,30,4,5,6,0,1.03,401.12
GAL_AUR_019,31,0,0,0,1,0.41,408.91
GAL_AUR_019,32,6,1,6,0,1.3,417.91
GAL_AUR_019,33,4,1,6,0,0.59,426.32
GAL_AUR_019,34,5,0,6,0,0.84,434.97
GAL_AUR_019,35,5,1,6,0,0.69,443.28
GAL_AUR_019,36,5,6,6,1,1.43,452.17
GAL_AUR_019,37,5,1,6,0,1.06,460.91
GAL_AUR_019,38,6,6,6,1,0.46,468.79
GAL_AUR_019,39,1,1,1,1,0.77,477.23
GAL_AUR_019,40,0,0,0,1,0.44,485.29
GAL_AUR_019,41,0,0,0,1,0.4,493.3
GAL_AUR_019,42,2,0,5,0,0.32,501.23
GAL_AUR_019,43,2,0,5,0,0.7,509.51
GAL_AUR_019,44,5,5,6,0,0.75,518.06
GAL_AUR_019,45,0,0,0,1,0.7,526.45
GAL_AUR_019,46,3,1,6,0,0.36,534.48
GAL_AUR_019,47,0,0,0,1,0.88,542.71
GAL_AUR_019,48,0,0,0,1,0.39,550.94
GAL_AUR_019,49,4,5,6,0,0.78,559.41
GAL_AUR_019,50,1,0,1,0,1.57,568.6
GAL_AUR_019,51,1,0,1,0,0.65,576.99
GAL_AUR_019,52,3,0,6,0,0.74,585.42
GAL_AUR_019,53,1,0,1,0,0.78,593.81
GAL_AUR_019,54,2,0,5,0,0.58,602.09
GAL_AUR_019,55,6,5,6,0,0.88,610.64
GAL_AUR_019,56,2,0,5,0,0.41,618.68
GAL_AUR_019,57,0,0,0,1,0.66,627.07
GAL_AUR_019,58,3,1,6,0,0.68,635.42
GAL_AUR_019,59,1,0,1,0,0.8,644.03
GAL_AUR_019,60,3,1,6,0,0.56,652.38
GAL_AUR_019,61,3,1,6,0,0.47,660.5
GAL_AUR_019,62,3,1,6,0,0.45,668.35
GAL_AUR_019,63,1,0,1,0,0.74,676.74
GAL_AUR_019,64,0,0,0,1,0.6,685.0
GAL_AUR_019,65,4,5,6,0,0.79,693.48
GAL_AUR_019,66,3,1,6,0,1.02,702.14
GAL_AUR_019,67,2,1,5,0,0.55,710.09
GAL_AUR_019,68,5,5,6,0,0.56,717.97
GAL_AUR_019,69,2,0,5,0,0.89,726.54
GAL_AUR_019,70,5,5,6,0,0.79,734.7
GAL_AUR_019,71,6,6,6,1,0.51,742.86
GAL_AUR_019,72,2,1,5,0,0.77,751.02
GAL_AUR_019,73,0,0,0,1,0.84,759.49
GAL_AUR_019,74,1,0,1,0,0.56,767.74
GAL_AUR_019,75,2,1,5,0,0.84,776.2
GAL_AUR_019,76,2,1,5,0,0.62,784.52
GAL_AUR_019,77,1,0,1,0,0.85,793.02
GAL_AUR_019,78,4,1,6,0,0.8,801.5
GAL_AUR_019,79,2,5,5,1,0.78,809.9
GAL_AUR_019,80,2,1,5,0,0.64,818.34
GAL_AUR_019,81,0,1,0,0,0.98,826.71
GAL_AUR_019,82,4,5,6,0,0.9,835.05
GAL_AUR_019,83,4,5,6,0,0.66,843.38
GAL_AUR_019,84,2,1,5,0,0.6,851.29
GAL_AUR_019,85,4,1,6,0,0.53,859.22
GAL_AUR_019,86,3,1,6,0,1.91,868.97
GAL_AUR_019,87,1,1,1,1,0.46,877.1
GAL_AUR_019,88,0,0,0,1,1.49,886.24
GAL_AUR_019,89,0,0,0,1,0.6,894.55
GAL_AUR_019,90,0,0,0,1,0.56,902.51
GAL_AUR_019,91,1,5,1,0,0.76,911.11
GAL_AUR_019,92,5,5,6,0,0.67,919.41
GAL_AUR_019,93,4,0,6,0,0.46,927.25
GAL_AUR_019,94,6,1,6,0,0.51,935.43
GAL_AUR_019,95,3,5,6,0,0.53,943.78
GAL_AUR_019,96,5,5,6,0,0.63,952.11
GAL_AUR_019,97,4,5,6,0,0.6,960.32
GAL_AUR_019,98,1,0,1,0,0.7,968.59
GAL_AUR_019,99,1,1,1,1,0.74,976.71
GAL_AUR_019,100,0,0,0,1,1.8,1103.76
GAL_AUR_019,101,0,0,0,1,0.38,1109.37
GAL_AUR_019,102,2,5,5,1,1.36,1115.97
GAL_AUR_019,103,2,5,5,1,0.41,1121.6
GAL_AUR_019,104,3,6,6,1,0.39,1127.23
GAL_AUR_019,105,0,0,0,1,0.44,1132.91
GAL_AUR_019,106,4,6,6,1,0.37,1138.54
GAL_AUR_019,107,1,1,1,1,0.48,1144.24
GAL_AUR_019,108,1,0,1,0,0.43,1149.9
GAL_AUR_019,109,2,5,5,1,0.42,1155.54
GAL_AUR_019,110,0,0,0,1,1.81,1162.6
GAL_AUR_019,111,1,1,1,1,0.59,1168.42
GAL_AUR_019,112,3,1,6,0,0.81,1174.47
GAL_AUR_019,113,6,6,6,1,0.88,1180.62
GAL_AUR_019,114,6,6,6,1,0.3,1186.19
GAL_AUR_019,115,1,0,1,0,0.71,1192.13
GAL_AUR_019,116,2,1,5,0,0.83,1198.2
GAL_AUR_019,117,6,6,6,1,0.76,1204.23
GAL_AUR_019,118,5,6,6,1,0.38,1209.86
GAL_AUR_019,119,4,1,6,0,1.16,1216.28
GAL_AUR_019,120,3,5,6,0,0.8,1222.33
GAL_AUR_019,121,0,0,0,1,0.47,1228.03
GAL_AUR_019,122,4,5,6,0,0.99,1234.25
GAL_AUR_019,123,4,6,6,1,0.37,1239.84
GAL_AUR_019,124,0,0,0,1,0.57,1245.68
GAL_AUR_019,125,0,0,0,1,0.57,1251.48
GAL_AUR_019,126,2,5,5,1,0.75,1257.48
GAL_AUR_019,127,4,6,6,1,0.34,1263.07
GAL_AUR_019,128,3,5,6,0,0.88,1269.19
GAL_AUR_019,129,0,0,0,1,0.65,1275.08
GAL_AUR_019,130,4,6,6,1,0.35,1280.68
GAL_AUR_019,131,3,1,6,0,1.03,1286.96
GAL_AUR_019,132,5,6,6,1,0.67,1292.91
GAL_AUR_019,133,2,1,5,0,0.69,1298.84
GAL_AUR_019,134,3,5,6,0,0.76,1304.89
GAL_AUR_019,135,4,6,6,1,0.34,1310.45
GAL_AUR_019,136,2,5,5,1,0.56,1316.25
GAL_AUR_019,137,3,5,6,0,1.41,1322.9
GAL_AUR_019,138,6,6,6,1,0.35,1328.5
GAL_AUR_019,139,0,0,0,1,1.02,1334.77
GAL_AUR_019,140,5,6,6,1,0.51,1340.54
GAL_AUR_019,141,3,5,6,0,0.87,1346.66
GAL_AUR_019,142,6,6,6,1,0.41,1352.33
GAL_AUR_019,143,5,6,6,1,0.45,1358.04
GAL_AUR_019,144,3,6,6,1,0.35,1363.61
GAL_AUR_019,145,0,0,0,1,1.31,1370.19
GAL_AUR_019,146,1,0,1,0,0.47,1375.93
GAL_AUR_019,147,5,6,6,1,0.47,1381.67
GAL_AUR_019,148,1,0,1,0,0.93,1387.85
GAL_AUR_019,149,4,6,6,1,0.41,1393.5
GAL_AUR_019,150,6,5,6,0,1.37,1520.05
GAL_AUR_019,151,3,1,6,0,0.67,1525.87
GAL_AUR_019,152,1,0,1,0,0.61,1531.62
GAL_AUR_019,153,2,1,5,0,0.56,1537.32
GAL_AUR_019,154,0,0,0,1,1.08,1543.55
GAL_AUR_019,155,4,1,6,0,0.53,1549.24
GAL_AUR_019,156,5,6,6,1,0.4,1554.8
GAL_AUR_019,157,1,5,1,0,1.39,1561.35
GAL_AUR_019,158,5,5,6,0,0.88,1567.39
GAL_AUR_019,159,4,1,6,0,1.24,1573.76
GAL_AUR_019,160,4,6,6,1,0.38,1579.28
GAL_AUR_019,161,2,1,5,0,0.45,1584.87
GAL_AUR_019,162,4,6,6,1,0.48,1590.49
GAL_AUR_019,163,3,5,6,0,0.54,1596.19
GAL_AUR_019,164,4,1,6,0,0.86,1602.21
GAL_AUR_019,165,2,1,5,0,1.95,1609.31
GAL_AUR_019,166,4,1,6,0,2.32,1616.77
GAL_AUR_019,167,2,1,5,0,0.74,1622.69
GAL_AUR_019,168,0,0,0,1,0.34,1628.19
GAL_AUR_019,169,4,5,6,0,0.71,1634.02
GAL_AUR_019,170,6,6,6,1,0.54,1639.7
GAL_AUR_019,171,2,1,5,0,0.79,1645.62
GAL_AUR_019,172,6,6,6,1,0.28,1651.04
GAL_AUR_019,173,1,0,1,0,0.92,1657.1
GAL_AUR_019,174,6,1,6,0,1.02,1663.25
GAL_AUR_019,175,3,1,6,0,0.61,1669.0
GAL_AUR_019,176,1,1,1,1,0.53,1674.67
GAL_AUR_019,177,0,0,0,1,0.6,1680.4
GAL_AUR_019,178,5,5,6,0,0.96,1686.49
GAL_AUR_019,179,0,0,0,1,0.73,1692.36
