id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
GAU_MAR_044,999,2,1,5,0,2.53,165.81
GAU_MAR_044,999,3,6,6,1,0.94,174.15
GAU_MAR_044,999,1,0,1,0,2.21,183.44
GAU_MAR_044,0,0,1,0,0,2.26,208.0
GAU_MAR_044,1,3,0,6,0,1.69,217.36
GAU_MAR_044,2,6,1,6,0,1.24,226.25
GAU_MAR_044,3,0,0,0,1,2.07,236.03
GAU_MAR_044,4,3,5,6,0,2.65,246.34
GAU_MAR_044,5,0,1,0,0,1.11,255.28
GAU_MAR_044,6,1,0,1,0,2.28,265.04
GAU_MAR_044,7,4,1,6,0,1.31,273.73
GAU_MAR_044,8,0,0,0,1,1.64,282.87
GAU_MAR_044,9,3,1,6,0,0.91,291.53
GAU_MAR_044,10,2,1,5,0,0.79,300.15
GAU_MAR_044,11,1,0,1,0,2.48,310.48
GAU_MAR_044,12,5,5,6,0,1.18,319.34
GAU_MAR_044,13,3,6,6,1,1.54,328.3
GAU_MAR_044,14,1,0,1,0,0.55,336.49
GAU_MAR_044,15,1,0,1,0,0.68,344.52
GAU_MAR_044,16,2,0,5,0,1.63,353.67
GAU_MAR_044,17,2,1,5,0,1.24,362.33
GAU_MAR_044,18,0,5,0,0,2.82,373.0
GAU_MAR_044,19,5,6,6,1,3.36,383.77
GAU_MAR_044,20,2,1,5,0,1.25,392.88
GAU_MAR_044,21,1,1,1,1,2.92,403.22
GAU_MAR_044,22,3,1,6,0,0.59,411.56
GAU_MAR_044,23,0,0,0,1,1.06,420.34
GAU_MAR_044,24,4,1,6,0,2.51,430.49
GAU_MAR_044,25,2,1,5,0,0.53,438.71
GAU_MAR_044,26,2,1,5,0,0.76,447.17
GAU_MAR_044,27,4,5,6,0,0.8,455.63
GAU_MAR_044,28,0,0,0,1,1.69,464.92
GAU_MAR_044,29,2,0,5,0,2.11,474.69
GAU_MAR_044,30,4,1,6,0,0.81,483.1
GAU_MAR_044,31,0,0,0,1,1.39,491.85
GAU_MAR_044,32,6,6,6,1,1.45,501.05
GAU_MAR_044,33,4,0,6,0,1.48,510.36
GAU_MAR_044,34,5,1,6,0,1.19,519.36
GAU_MAR_044,35,5,1,6,0,1.03,528.09
GAU_MAR_044,36,5,5,6,0,0.72,536.32
GAU_MAR_044,37,5,6,6,1,0.49,544.51
GAU_MAR_044,38,6,5,6,0,0.6,552.52
GAU_MAR_044,39,1,1,1,1,1.1,561.38
GAU_MAR_044,40,0,0,0,1,1.13,570.13
GAU_MAR_044,41,0,0,0,1,1.02,578.79
GAU_MAR_044,42,2,1,5,0,1.0,587.45
GAU_MAR_044,43,2,0,5,0,1.01,596.09
GAU_MAR_044,44,5,0,6,0,0.99,604.92
GAU_MAR_044,45,0,0,0,1,1.85,614.44
