id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
GAU_MAR_044,100,6,6,1,0,1.94,38.34
GAU_MAR_044,101,6,6,1,0,2.69,45.2
GAU_MAR_044,102,6,0,0,0,1.11,50.48
GAU_MAR_044,0,0,0,1,1,1.25,70.25
GAU_MAR_044,1,0,6,0,1,1.15,73.58
GAU_MAR_044,2,0,6,0,1,3.86,79.64
GAU_MAR_044,3,6,6,1,2,0.7,82.5
GAU_MAR_044,4,6,6,1,3,0.3,84.98
GAU_MAR_044,5,0,6,0,3,0.74,87.92
GAU_MAR_044,6,0,6,0,3,2.18,92.29
GAU_MAR_044,7,6,6,1,4,3.03,97.48
GAU_MAR_044,8,0,0,1,5,0.36,100.04
GAU_MAR_044,9,0,6,0,5,1.46,103.67
GAU_MAR_044,10,6,6,1,6,1.77,107.63
GAU_MAR_044,11,6,6,1,7,0.35,110.17
GAU_MAR_044,12,0,0,1,8,0.54,112.9
GAU_MAR_044,13,6,6,1,9,2.7,117.78
GAU_MAR_044,14,0,6,0,9,0.87,120.83
GAU_MAR_044,15,6,6,1,10,0.7,123.73
GAU_MAR_044,16,0,6,0,10,0.39,126.3
GAU_MAR_044,17,6,6,1,11,0.44,128.95
GAU_MAR_044,18,0,6,0,11,2.53,133.66
GAU_MAR_044,19,0,0,1,12,0.57,136.43
GAU_MAR_044,20,6,6,1,13,2.36,140.97
GAU_MAR_044,21,6,6,1,14,0.6,143.77
GAU_MAR_044,22,0,6,0,14,2.3,148.27
GAU_MAR_044,23,6,6,1,15,1.63,152.1
GAU_MAR_044,24,0,0,1,16,0.32,154.62
GAU_MAR_044,25,6,6,1,17,0.57,157.4
GAU_MAR_044,26,0,0,1,18,0.56,160.15
GAU_MAR_044,27,0,6,0,18,0.82,163.19
GAU_MAR_044,28,6,6,1,19,1.61,167.01
GAU_MAR_044,29,0,6,0,19,1.76,170.94
GAU_MAR_044,30,6,6,1,20,1.93,175.08
GAU_MAR_044,31,0,0,1,21,0.76,178.06
GAU_MAR_044,32,6,6,1,22,0.84,181.11
GAU_MAR_044,33,0,0,1,23,0.95,184.27
GAU_MAR_044,34,0,0,1,24,0.38,186.87
GAU_MAR_044,35,6,6,1,25,0.73,189.77
GAU_MAR_044,36,6,6,1,26,0.28,192.26
GAU_MAR_044,37,0,0,1,27,0.5,194.96
GAU_MAR_044,38,0,0,1,28,0.45,197.61
GAU_MAR_044,39,6,6,1,29,1.38,201.2
GAU_MAR_044,40,0,0,1,30,0.38,203.8
GAU_MAR_044,41,0,0,1,31,0.34,206.32
GAU_MAR_044,42,6,6,1,32,1.23,209.75
GAU_MAR_044,43,0,6,0,32,1.35,213.29
GAU_MAR_044,44,6,6,1,33,1.47,216.95
GAU_MAR_044,45,6,6,1,34,2.73,221.89
GAU_MAR_044,46,6,6,1,35,0.79,224.89
GAU_MAR_044,47,0,6,0,35,0.39,227.47
GAU_MAR_044,48,0,0,1,36,1.36,231.02
GAU_MAR_044,49,0,0,1,37,1.35,234.58
GAU_MAR_044,50,0,0,1,38,0.96,237.74
GAU_MAR_044,51,6,6,1,39,0.65,240.58
GAU_MAR_044,52,6,6,1,40,0.84,243.62
GAU_MAR_044,53,6,6,1,41,0.55,246.37
GAU_MAR_044,54,6,6,1,42,0.89,249.44
GAU_MAR_044,55,6,6,1,43,0.51,252.14
GAU_MAR_044,56,0,6,0,43,0.39,254.71
GAU_MAR_044,57,6,6,1,44,1.2,258.09
GAU_MAR_044,58,6,6,1,45,0.75,261.04
GAU_MAR_044,59,0,6,0,45,1.17,264.42
GAU_MAR_044,60,0,6,0,45,0.47,267.08
GAU_MAR_044,61,6,6,1,46,0.71,270.0
GAU_MAR_044,62,0,6,0,46,0.45,272.65
GAU_MAR_044,63,6,6,1,47,0.73,275.58
GAU_MAR_044,64,6,6,1,48,2.08,279.85
GAU_MAR_044,65,0,6,0,48,1.02,283.07
GAU_MAR_044,66,0,6,0,48,1.05,286.3
GAU_MAR_044,67,0,0,1,49,0.69,289.19
GAU_MAR_044,68,0,0,1,50,0.37,291.76
GAU_MAR_044,69,6,6,1,51,0.59,294.54
GAU_MAR_044,70,6,6,1,52,0.34,297.07
GAU_MAR_044,71,0,6,0,52,0.31,299.57
GAU_MAR_044,72,6,6,1,53,0.77,302.54
GAU_MAR_044,73,0,0,1,54,1.44,306.16
GAU_MAR_044,74,0,0,1,55,0.57,308.94
GAU_MAR_044,75,0,6,0,55,2.52,313.67
GAU_MAR_044,76,6,6,1,56,0.52,316.4
GAU_MAR_044,77,6,6,1,57,0.32,318.94
GAU_MAR_044,78,6,6,1,58,0.51,321.66
GAU_MAR_044,79,6,6,1,59,0.57,324.42
GAU_MAR_044,80,6,6,1,60,0.47,327.09
GAU_MAR_044,81,0,0,1,61,1.05,330.35
GAU_MAR_044,82,6,6,1,62,1.41,333.98
GAU_MAR_044,83,0,6,0,62,0.99,337.16
GAU_MAR_044,84,0,0,1,63,0.39,339.76
GAU_MAR_044,85,6,6,1,64,0.4,342.36
GAU_MAR_044,86,6,6,1,65,0.29,344.84
GAU_MAR_044,87,6,6,1,66,0.63,347.68
GAU_MAR_044,88,6,6,1,67,0.4,350.3
GAU_MAR_044,89,6,6,1,68,0.45,352.96
GAU_MAR_044,90,0,0,1,69,0.36,355.53
GAU_MAR_044,91,6,6,1,70,0.72,358.43
GAU_MAR_044,92,0,6,0,70,2.61,363.22
GAU_MAR_044,93,6,6,1,71,0.41,365.84
GAU_MAR_044,94,6,6,1,72,0.55,368.56
GAU_MAR_044,95,6,6,1,73,0.51,371.27
GAU_MAR_044,96,0,6,0,73,0.4,373.88
GAU_MAR_044,97,0,0,1,74,0.46,376.56
GAU_MAR_044,98,0,0,1,75,0.29,379.07
GAU_MAR_044,99,6,6,1,76,1.47,382.76
