id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
GIR_NAT_038,999,2,1,5,0,4.8,112.76
GIR_NAT_038,999,3,1,6,0,3.1,123.22
GIR_NAT_038,999,1,5,1,0,1.62,131.95
GIR_NAT_038,0,0,6,0,0,1.38,157.84
GIR_NAT_038,1,3,5,6,0,0.76,166.23
GIR_NAT_038,2,6,5,6,0,0.58,174.37
GIR_NAT_038,3,0,5,0,0,0.76,182.79
GIR_NAT_038,4,3,5,6,0,0.4,190.84
GIR_NAT_038,5,0,6,0,0,0.13,198.78
GIR_NAT_038,6,1,5,1,0,0.5,206.73
GIR_NAT_038,7,4,5,6,0,0.35,214.43
GIR_NAT_038,8,0,6,0,0,5.55,227.42
GIR_NAT_038,9,3,6,6,1,0.82,235.95
GIR_NAT_038,10,2,5,5,1,1.34,245.13
GIR_NAT_038,11,1,5,1,0,1.56,254.52
GIR_NAT_038,12,5,6,6,1,4.64,266.81
GIR_NAT_038,13,3,6,6,1,0.62,274.78
GIR_NAT_038,14,1,6,1,0,0.99,283.42
GIR_NAT_038,15,1,6,1,0,1.9,292.68
GIR_NAT_038,16,2,6,5,0,0.66,300.81
GIR_NAT_038,17,2,6,5,0,0.9,309.11
GIR_NAT_038,18,0,6,0,0,1.06,318.0
GIR_NAT_038,19,5,5,6,0,1.65,327.05
GIR_NAT_038,20,2,6,5,0,0.61,335.49
GIR_NAT_038,21,1,5,1,0,0.75,343.65
GIR_NAT_038,22,3,6,6,1,0.71,352.06
GIR_NAT_038,23,0,6,0,0,0.62,360.37
GIR_NAT_038,24,4,6,6,1,0.63,368.66
GIR_NAT_038,25,2,6,5,0,0.66,376.92
GIR_NAT_038,26,2,6,5,0,0.56,385.18
GIR_NAT_038,27,4,6,6,1,0.72,393.56
GIR_NAT_038,28,0,6,0,0,0.91,402.01
GIR_NAT_038,29,2,6,5,0,0.71,410.36
GIR_NAT_038,30,4,6,6,1,0.61,418.55
GIR_NAT_038,31,0,5,0,0,1.74,427.64
GIR_NAT_038,32,6,6,6,1,0.74,436.07
GIR_NAT_038,33,4,6,6,1,0.5,444.38
GIR_NAT_038,34,5,6,6,1,0.28,452.48
GIR_NAT_038,35,5,5,6,0,1.21,461.32
GIR_NAT_038,36,5,6,6,1,0.54,469.32
GIR_NAT_038,37,5,6,6,1,0.53,477.55
GIR_NAT_038,38,6,6,6,1,0.74,485.71
GIR_NAT_038,39,1,5,1,0,0.62,494.02
GIR_NAT_038,40,0,5,0,0,0.78,502.38
GIR_NAT_038,41,0,5,0,0,0.93,510.93
GIR_NAT_038,42,2,5,5,1,0.81,519.41
GIR_NAT_038,43,2,5,5,1,1.88,528.86
GIR_NAT_038,44,5,6,6,1,0.7,537.35
GIR_NAT_038,45,0,5,0,0,0.45,545.45
GIR_NAT_038,46,3,5,6,0,0.87,553.99
GIR_NAT_038,47,0,5,0,0,0.74,562.06
GIR_NAT_038,48,0,5,0,0,0.73,570.61
GIR_NAT_038,49,4,1,6,0,1.72,580.0
GIR_NAT_038,50,1,1,1,1,1.76,589.36
GIR_NAT_038,51,1,1,1,1,0.79,597.88
GIR_NAT_038,52,3,1,6,0,3.74,609.27
GIR_NAT_038,53,1,0,1,0,1.7,618.55
GIR_NAT_038,54,2,0,5,0,0.74,627.0
GIR_NAT_038,55,6,6,6,1,1.31,635.95
GIR_NAT_038,56,2,1,5,0,3.19,646.75
GIR_NAT_038,57,0,0,0,1,1.35,655.82
GIR_NAT_038,58,3,1,6,0,0.81,664.28
GIR_NAT_038,59,1,0,1,0,0.85,672.95
GIR_NAT_038,60,3,1,6,0,0.69,681.48
GIR_NAT_038,61,3,1,6,0,0.77,689.93
GIR_NAT_038,62,3,5,6,0,0.96,698.27
GIR_NAT_038,63,1,0,1,0,1.62,707.54
GIR_NAT_038,64,0,0,0,1,0.6,715.77
GIR_NAT_038,65,4,1,6,0,0.76,724.2
GIR_NAT_038,66,3,1,6,0,0.61,732.48
GIR_NAT_038,67,2,5,5,1,0.88,740.74
GIR_NAT_038,68,5,5,6,0,0.6,748.69
GIR_NAT_038,69,2,0,5,0,1.73,758.06
GIR_NAT_038,70,5,5,6,0,0.78,766.24
GIR_NAT_038,71,6,1,6,0,1.36,775.2
GIR_NAT_038,72,2,0,5,0,0.54,783.1
GIR_NAT_038,73,0,0,0,1,0.78,791.5
GIR_NAT_038,74,1,0,1,0,0.85,800.05
GIR_NAT_038,75,2,1,5,0,0.66,808.33
GIR_NAT_038,76,2,0,5,0,1.29,817.35
GIR_NAT_038,77,1,0,1,0,0.71,825.71
GIR_NAT_038,78,4,0,6,0,0.77,834.12
GIR_NAT_038,79,2,0,5,0,0.68,842.42
GIR_NAT_038,80,2,0,5,0,0.77,850.99
GIR_NAT_038,81,0,0,0,1,0.79,859.16
