id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
GIR_NAT_038,100,6,6,1,0,2.46,84.56
GIR_NAT_038,101,6,6,1,0,1.62,90.35
GIR_NAT_038,102,6,0,0,0,1.4,95.93
GIR_NAT_038,0,0,0,1,1,1.44,124.99
GIR_NAT_038,1,6,6,1,2,5.04,132.22
GIR_NAT_038,2,6,6,1,3,1.21,135.62
GIR_NAT_038,3,6,6,1,4,0.96,138.76
GIR_NAT_038,4,6,6,1,5,0.87,141.79
GIR_NAT_038,5,6,6,1,6,0.76,144.74
GIR_NAT_038,6,6,6,1,7,1.04,147.97
GIR_NAT_038,7,6,6,1,8,1.06,151.22
GIR_NAT_038,8,0,0,1,9,0.5,153.89
GIR_NAT_038,9,6,6,1,10,0.65,156.71
GIR_NAT_038,10,0,6,0,10,1.28,160.19
GIR_NAT_038,11,6,6,1,11,0.84,163.2
GIR_NAT_038,12,0,0,1,12,0.52,165.91
GIR_NAT_038,13,0,6,0,12,0.56,168.66
GIR_NAT_038,14,6,6,1,13,1.26,172.09
GIR_NAT_038,15,0,6,0,13,1.08,175.36
GIR_NAT_038,16,0,6,0,13,1.21,178.76
GIR_NAT_038,17,0,6,0,13,1.21,182.13
GIR_NAT_038,18,6,6,1,14,0.29,184.6
GIR_NAT_038,19,0,0,1,15,0.26,187.06
GIR_NAT_038,20,6,6,1,16,0.32,189.58
GIR_NAT_038,21,6,6,1,17,0.32,192.09
GIR_NAT_038,22,6,6,1,18,0.34,194.6
GIR_NAT_038,23,6,6,1,19,0.41,197.18
GIR_NAT_038,24,0,0,1,20,0.33,199.71
GIR_NAT_038,25,0,6,0,20,0.37,202.25
GIR_NAT_038,26,0,0,1,21,0.4,204.82
GIR_NAT_038,27,0,6,0,21,0.36,207.35
GIR_NAT_038,28,0,6,0,21,1.04,210.58
GIR_NAT_038,29,0,6,0,21,0.75,213.51
GIR_NAT_038,30,0,6,0,21,0.65,216.37
GIR_NAT_038,31,0,0,1,22,0.33,218.88
GIR_NAT_038,32,0,6,0,22,0.99,222.05
GIR_NAT_038,33,0,0,1,23,0.65,224.92
GIR_NAT_038,34,0,0,1,24,0.36,227.47
GIR_NAT_038,35,6,6,1,25,0.34,230.0
GIR_NAT_038,36,6,6,1,26,0.77,232.94
GIR_NAT_038,37,0,0,1,27,0.44,235.56
GIR_NAT_038,38,6,0,0,27,0.33,238.08
GIR_NAT_038,39,0,6,0,27,0.33,240.6
GIR_NAT_038,40,6,0,0,27,0.31,243.09
GIR_NAT_038,41,0,0,1,28,0.41,245.71
GIR_NAT_038,42,6,6,1,29,0.34,248.24
GIR_NAT_038,43,6,6,1,30,0.36,250.77
GIR_NAT_038,44,6,6,1,31,0.42,253.37
GIR_NAT_038,45,6,6,1,32,0.37,255.94
GIR_NAT_038,46,6,6,1,33,0.4,258.51
GIR_NAT_038,47,6,6,1,34,0.53,261.23
GIR_NAT_038,48,0,0,1,35,0.35,263.78
GIR_NAT_038,49,0,0,1,36,0.42,266.4
GIR_NAT_038,50,0,0,1,37,0.53,269.13
GIR_NAT_038,51,6,6,1,38,0.32,271.63
GIR_NAT_038,52,6,6,1,39,0.65,274.46
GIR_NAT_038,53,6,6,1,40,0.32,276.95
GIR_NAT_038,54,6,6,1,41,0.55,279.68
GIR_NAT_038,55,6,6,1,42,0.34,282.19
GIR_NAT_038,56,6,6,1,43,0.43,284.81
GIR_NAT_038,57,6,6,1,44,0.56,287.54
GIR_NAT_038,58,6,6,1,45,0.69,290.4
GIR_NAT_038,59,6,6,1,46,0.45,293.03
GIR_NAT_038,60,6,6,1,47,0.34,295.53
GIR_NAT_038,61,6,6,1,48,0.32,298.03
GIR_NAT_038,62,6,6,1,49,0.33,300.54
GIR_NAT_038,63,6,6,1,50,0.29,303.0
GIR_NAT_038,64,6,6,1,51,0.39,305.58
GIR_NAT_038,65,6,6,1,52,0.32,308.08
GIR_NAT_038,66,6,6,1,53,0.43,310.69
GIR_NAT_038,67,6,0,0,53,0.35,313.21
GIR_NAT_038,68,6,0,0,53,0.26,315.68
GIR_NAT_038,69,6,6,1,54,0.29,318.14
GIR_NAT_038,70,6,6,1,55,0.26,320.61
GIR_NAT_038,71,6,6,1,56,0.18,322.98
GIR_NAT_038,72,6,6,1,57,0.24,325.4
GIR_NAT_038,73,0,0,1,58,0.26,327.84
GIR_NAT_038,74,0,0,1,59,0.24,330.28
GIR_NAT_038,75,6,6,1,60,0.26,332.7
GIR_NAT_038,76,6,6,1,61,0.26,335.14
GIR_NAT_038,77,6,6,1,62,0.31,337.64
GIR_NAT_038,78,6,6,1,63,0.24,340.07
GIR_NAT_038,79,6,6,1,64,0.23,342.48
GIR_NAT_038,80,6,6,1,65,0.27,344.94
GIR_NAT_038,81,0,0,1,66,0.22,347.35
GIR_NAT_038,82,6,6,1,67,0.27,349.8
GIR_NAT_038,83,6,6,1,68,0.25,352.23
GIR_NAT_038,84,6,0,0,68,0.24,354.67
GIR_NAT_038,85,6,6,1,69,0.17,357.04
GIR_NAT_038,86,6,6,1,70,0.24,359.45
