id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
HAT_SEV_020,999,2,1,5,0,1.32,66.14
HAT_SEV_020,999,3,1,6,0,5.35,78.85
HAT_SEV_020,999,1,5,1,0,12.89,98.82
HAT_SEV_020,0,0,5,0,0,2.03,124.39
HAT_SEV_020,1,3,1,6,0,1.78,133.83
HAT_SEV_020,2,6,1,6,0,0.94,142.33
HAT_SEV_020,3,0,0,0,1,2.09,152.07
HAT_SEV_020,4,3,0,6,0,0.7,160.42
HAT_SEV_020,5,0,1,0,0,0.89,169.12
HAT_SEV_020,6,1,0,1,0,0.79,177.35
HAT_SEV_020,7,4,0,6,0,0.72,185.42
HAT_SEV_020,8,0,0,0,1,0.67,193.56
HAT_SEV_020,9,3,1,6,0,0.8,202.08
HAT_SEV_020,10,2,1,5,0,0.72,210.65
HAT_SEV_020,11,1,0,1,0,1.5,219.98
HAT_SEV_020,12,5,1,6,0,0.64,228.26
HAT_SEV_020,13,3,1,6,0,0.64,236.26
HAT_SEV_020,14,1,0,1,0,0.77,244.71
HAT_SEV_020,15,1,1,1,1,0.67,252.7
HAT_SEV_020,16,2,0,5,0,0.66,260.84
HAT_SEV_020,17,2,1,5,0,0.99,269.22
HAT_SEV_020,18,0,0,0,1,0.75,277.8
HAT_SEV_020,19,5,5,6,0,0.94,286.12
HAT_SEV_020,20,2,1,5,0,0.64,294.62
HAT_SEV_020,21,1,5,1,0,0.78,302.78
HAT_SEV_020,22,3,1,6,0,0.95,311.43
HAT_SEV_020,23,0,0,0,1,0.5,319.62
HAT_SEV_020,24,4,5,6,0,0.71,327.95
HAT_SEV_020,25,2,5,5,1,1.81,337.38
HAT_SEV_020,26,2,0,5,0,0.84,345.87
HAT_SEV_020,27,4,1,6,0,0.7,354.22
HAT_SEV_020,28,0,0,0,1,0.77,362.57
HAT_SEV_020,29,2,5,5,1,0.81,371.03
HAT_SEV_020,30,4,1,6,0,0.63,379.24
HAT_SEV_020,31,0,0,0,1,0.7,387.32
HAT_SEV_020,32,6,5,6,0,0.71,395.74
HAT_SEV_020,33,4,0,6,0,0.5,404.07
HAT_SEV_020,34,5,0,6,0,0.75,412.63
HAT_SEV_020,35,5,1,6,0,0.82,421.07
HAT_SEV_020,36,5,6,6,1,0.73,429.28
HAT_SEV_020,37,5,1,6,0,0.65,437.64
HAT_SEV_020,38,6,1,6,0,0.66,445.68
HAT_SEV_020,39,1,1,1,1,0.8,454.21
HAT_SEV_020,40,0,0,0,1,0.7,462.54
HAT_SEV_020,41,0,0,0,1,0.69,470.88
HAT_SEV_020,42,2,0,5,0,0.7,479.21
HAT_SEV_020,43,2,0,5,0,0.63,487.4
HAT_SEV_020,44,5,0,6,0,0.62,495.79
HAT_SEV_020,45,0,0,0,1,0.56,503.98
HAT_SEV_020,46,3,1,6,0,0.84,512.49
HAT_SEV_020,47,0,0,0,1,0.58,520.39
HAT_SEV_020,48,0,0,0,1,0.72,528.94
HAT_SEV_020,49,4,1,6,0,0.58,537.19
HAT_SEV_020,50,1,0,1,0,0.75,545.61
HAT_SEV_020,51,1,0,1,0,0.57,553.9
HAT_SEV_020,52,3,0,6,0,0.56,562.13
HAT_SEV_020,53,1,0,1,0,0.55,570.27
HAT_SEV_020,54,2,0,5,0,0.61,578.62
HAT_SEV_020,55,6,5,6,0,0.91,587.2
HAT_SEV_020,56,2,1,5,0,0.63,595.45
HAT_SEV_020,57,0,0,0,1,0.79,603.97
HAT_SEV_020,58,3,1,6,0,0.66,612.32
HAT_SEV_020,59,1,0,1,0,0.8,620.93
HAT_SEV_020,60,3,1,6,0,0.51,629.23
HAT_SEV_020,61,3,1,6,0,0.72,637.61
HAT_SEV_020,62,3,0,6,0,0.97,645.94
HAT_SEV_020,63,1,0,1,0,0.69,654.32
HAT_SEV_020,64,0,0,0,1,0.38,662.34
HAT_SEV_020,65,4,1,6,0,0.86,670.88
HAT_SEV_020,66,3,1,6,0,0.66,679.23
HAT_SEV_020,67,2,5,5,1,0.79,687.39
HAT_SEV_020,68,5,1,6,0,0.7,695.45
HAT_SEV_020,69,2,0,5,0,0.81,703.93
HAT_SEV_020,70,5,1,6,0,0.56,711.89
HAT_SEV_020,71,6,5,6,0,0.73,720.23
HAT_SEV_020,72,2,1,5,0,0.81,728.42
HAT_SEV_020,73,0,0,0,1,1.6,737.63
HAT_SEV_020,74,1,0,1,0,0.55,745.86
HAT_SEV_020,75,2,1,5,0,0.54,754.03
HAT_SEV_020,76,2,1,5,0,0.79,762.53
HAT_SEV_020,77,1,0,1,0,0.85,771.0
HAT_SEV_020,78,4,1,6,0,0.73,779.38
HAT_SEV_020,79,2,0,5,0,0.68,787.67
HAT_SEV_020,80,2,1,5,0,0.66,796.18
HAT_SEV_020,81,0,0,0,1,0.69,804.26
HAT_SEV_020,82,4,1,6,0,0.82,812.53
HAT_SEV_020,83,4,0,6,0,0.76,820.92
