id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
HIN_LAU_026,100,45,29,29,29,1,common,0,2.19,75.87
HIN_LAU_026,101,52,66,52,52,1,common,0,1.46,82.06
HIN_LAU_026,102,44,53,44,44,1,common,0,1.33,88.13
HIN_LAU_026,0,44,24,24,24,1,common,1,1.18,110.16
HIN_LAU_026,1,23,29,29,23,0,common,1,1.64,114.53
HIN_LAU_026,2,27,12,12,12,1,common,2,1.36,118.56
HIN_LAU_026,3,65,74,74,65,0,common,2,1.46,122.78
HIN_LAU_026,4,75,90,90,75,0,common,2,1.11,126.63
HIN_LAU_026,5,18,12,18,12,0,common,2,1.1,130.44
HIN_LAU_026,6,9,16,9,9,1,common,3,1.14,134.33
HIN_LAU_026,7,25,40,40,40,1,common,4,1.14,138.23
HIN_LAU_026,8,60,75,75,60,0,common,4,1.16,142.15
HIN_LAU_026,9,43,25,25,25,1,common,5,1.14,146.04
HIN_LAU_026,10,15,26,15,15,1,common,6,1.43,150.19
HIN_LAU_026,11,54,71,54,54,1,common,7,1.36,154.3
HIN_LAU_026,12,29,46,46,29,0,common,7,1.55,158.57
HIN_LAU_026,13,33,53,33,33,1,common,8,2.05,163.35
HIN_LAU_026,14,52,38,38,38,1,common,9,1.04,167.13
HIN_LAU_026,15,24,44,24,24,1,common,10,1.48,171.37
HIN_LAU_026,16,12,13,13,12,0,common,10,2.46,176.58
HIN_LAU_026,17,64,58,64,58,0,common,10,2.24,181.62
HIN_LAU_026,18,31,13,13,13,1,common,11,1.66,186.02
HIN_LAU_026,19,98,88,98,88,0,common,11,1.53,190.33
HIN_LAU_026,20,31,43,31,31,1,common,12,1.16,194.24
HIN_LAU_026,21,25,36,25,25,1,common,13,1.07,198.04
HIN_LAU_026,22,29,42,29,29,1,common,14,1.89,202.66
HIN_LAU_026,23,32,20,20,20,1,common,15,1.95,207.34
HIN_LAU_026,24,19,36,36,36,1,common,16,1.5,211.59
HIN_LAU_026,25,48,36,36,36,1,common,17,1.05,215.4
HIN_LAU_026,26,13,33,13,13,1,common,18,0.97,219.11
HIN_LAU_026,27,45,35,35,35,1,common,19,0.91,222.78
HIN_LAU_026,28,24,35,24,24,1,common,20,1.77,227.3
HIN_LAU_026,29,28,45,28,28,1,common,21,1.0,231.06
HIN_LAU_026,30,13,30,13,13,1,common,22,1.06,234.84
HIN_LAU_026,31,36,17,36,36,1,common,23,1.93,239.51
HIN_LAU_026,32,74,62,62,62,1,common,24,1.21,243.5
HIN_LAU_026,33,26,31,31,26,0,common,24,2.76,249.01
HIN_LAU_026,34,28,38,38,28,0,common,24,0.97,252.74
