id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
JAK_FRA_032,999,2,1,5,0,21.4,291.01
JAK_FRA_032,999,3,5,6,0,12.43,310.84
JAK_FRA_032,999,1,1,1,1,4.41,322.35
JAK_FRA_032,0,0,0,0,1,5.48,355.97
JAK_FRA_032,1,3,1,6,0,6.53,370.19
JAK_FRA_032,2,6,1,6,0,4.25,382.04
JAK_FRA_032,3,0,5,0,0,12.16,401.88
JAK_FRA_032,4,3,0,6,0,3.74,413.29
JAK_FRA_032,5,0,1,0,0,1.75,422.91
JAK_FRA_032,6,1,1,1,1,2.14,432.53
JAK_FRA_032,7,4,5,6,0,2.23,442.13
JAK_FRA_032,8,0,6,0,0,1.66,451.26
JAK_FRA_032,9,3,1,6,0,2.32,461.31
JAK_FRA_032,10,2,1,5,0,3.22,472.43
JAK_FRA_032,11,1,0,1,0,6.31,486.61
JAK_FRA_032,12,5,1,6,0,1.74,496.0
JAK_FRA_032,13,3,5,6,0,2.62,506.03
JAK_FRA_032,14,1,0,1,0,2.9,516.6
JAK_FRA_032,15,1,1,1,1,2.16,526.1
JAK_FRA_032,16,2,5,5,1,1.73,535.31
JAK_FRA_032,17,2,0,5,0,1.46,544.18
JAK_FRA_032,18,0,0,0,1,2.86,554.87
JAK_FRA_032,19,5,5,6,0,2.2,564.51
JAK_FRA_032,20,2,1,5,0,1.74,574.09
JAK_FRA_032,21,1,1,1,1,1.81,583.32
JAK_FRA_032,22,3,5,6,0,4.48,595.56
JAK_FRA_032,23,0,0,0,1,1.3,604.58
JAK_FRA_032,24,4,1,6,0,1.37,613.6
JAK_FRA_032,25,2,5,5,1,1.96,623.17
JAK_FRA_032,26,2,0,5,0,2.45,633.35
JAK_FRA_032,27,4,1,6,0,2.24,643.24
JAK_FRA_032,28,0,0,0,1,1.66,652.51
JAK_FRA_032,29,2,1,5,0,2.3,662.46
JAK_FRA_032,30,4,5,6,0,4.95,675.04
JAK_FRA_032,31,0,0,0,1,1.63,684.04
JAK_FRA_032,32,6,0,6,0,1.67,693.47
JAK_FRA_032,33,4,5,6,0,2.57,703.87
JAK_FRA_032,34,5,0,6,0,2.5,714.23
JAK_FRA_032,35,5,1,6,0,1.93,723.82
JAK_FRA_032,36,5,5,6,0,1.92,733.25
JAK_FRA_032,37,5,1,6,0,1.56,742.5
JAK_FRA_032,38,6,5,6,0,2.04,751.94
