id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
JAL_MAE_061,999,2,5,5,1,3.95,38.6
JAL_MAE_061,999,3,1,6,0,2.91,48.88
JAL_MAE_061,999,1,1,1,1,3.14,59.11
JAL_MAE_061,0,0,0,0,1,4.21,86.48
JAL_MAE_061,1,3,1,6,0,2.99,97.11
JAL_MAE_061,2,6,1,6,0,4.52,109.26
JAL_MAE_061,3,0,0,0,1,2.76,119.75
JAL_MAE_061,4,3,0,6,0,2.58,129.98
JAL_MAE_061,5,0,1,0,0,2.77,140.62
JAL_MAE_061,6,1,0,1,0,2.68,150.8
JAL_MAE_061,7,4,1,6,0,2.23,160.41
JAL_MAE_061,8,0,0,0,1,1.85,169.74
JAL_MAE_061,9,3,1,6,0,2.16,179.67
JAL_MAE_061,10,2,1,5,0,2.21,189.75
JAL_MAE_061,11,1,0,1,0,2.9,200.54
JAL_MAE_061,12,5,5,6,0,2.86,211.09
JAL_MAE_061,13,3,0,6,0,3.62,222.12
JAL_MAE_061,14,1,0,1,0,2.12,231.94
JAL_MAE_061,15,1,0,1,0,1.79,241.09
JAL_MAE_061,16,2,0,5,0,2.36,250.95
JAL_MAE_061,17,2,1,5,0,3.19,261.56
JAL_MAE_061,18,0,0,0,1,3.25,272.74
JAL_MAE_061,19,5,1,6,0,1.88,282.03
JAL_MAE_061,20,2,1,5,0,2.23,292.17
JAL_MAE_061,21,1,0,1,0,2.62,302.22
JAL_MAE_061,22,3,0,6,0,18.35,328.31
JAL_MAE_061,23,0,0,0,1,3.09,339.15
JAL_MAE_061,24,4,5,6,0,3.23,350.04
JAL_MAE_061,25,2,1,5,0,1.82,359.53
JAL_MAE_061,26,2,0,5,0,2.4,369.66
JAL_MAE_061,27,4,1,6,0,2.26,379.59
JAL_MAE_061,28,0,0,0,1,3.58,390.81
JAL_MAE_061,29,2,0,5,0,1.91,400.42
JAL_MAE_061,30,4,0,6,0,2.63,410.68
JAL_MAE_061,31,0,0,0,1,2.22,420.32
JAL_MAE_061,32,6,5,6,0,3.8,431.86
JAL_MAE_061,33,4,1,6,0,1.92,441.63
JAL_MAE_061,34,5,0,6,0,1.81,451.29
JAL_MAE_061,35,5,0,6,0,2.01,460.97
JAL_MAE_061,36,5,1,6,0,2.32,470.8
JAL_MAE_061,37,5,0,6,0,2.63,481.15
JAL_MAE_061,38,6,5,6,0,2.57,491.14
JAL_MAE_061,39,1,1,1,1,2.09,500.96
JAL_MAE_061,40,0,0,0,1,1.88,510.5
JAL_MAE_061,41,0,0,0,1,2.55,520.74
JAL_MAE_061,42,2,0,5,0,1.59,530.02
JAL_MAE_061,43,2,0,5,0,1.78,539.41
JAL_MAE_061,44,5,1,6,0,2.25,549.48
JAL_MAE_061,45,0,0,0,1,2.46,559.64
JAL_MAE_061,46,3,1,6,0,1.42,568.78
JAL_MAE_061,47,0,0,0,1,1.68,577.82
JAL_MAE_061,48,0,0,0,1,1.53,587.23
JAL_MAE_061,49,4,1,6,0,2.18,597.13
JAL_MAE_061,50,1,0,1,0,2.11,606.91
JAL_MAE_061,51,1,1,1,1,2.05,616.73
JAL_MAE_061,52,3,0,6,0,1.69,626.17
JAL_MAE_061,53,1,1,1,1,2.73,636.56
JAL_MAE_061,54,2,0,5,0,1.64,645.95
JAL_MAE_061,55,6,5,6,0,2.18,655.83
JAL_MAE_061,56,2,0,5,0,3.84,667.34
JAL_MAE_061,57,0,0,0,1,2.08,677.16
JAL_MAE_061,58,3,5,6,0,2.26,687.09
JAL_MAE_061,59,1,1,1,1,2.66,697.63
JAL_MAE_061,60,3,1,6,0,1.94,707.43
JAL_MAE_061,61,3,1,6,0,2.02,717.17
JAL_MAE_061,62,3,0,6,0,2.34,726.92
JAL_MAE_061,63,1,0,1,0,1.74,736.39
JAL_MAE_061,64,0,0,0,1,1.25,745.34
JAL_MAE_061,65,4,1,6,0,1.9,754.96
JAL_MAE_061,66,3,1,6,0,1.83,764.48
JAL_MAE_061,67,2,1,5,0,1.77,773.68
JAL_MAE_061,68,5,1,6,0,1.68,782.73
JAL_MAE_061,69,2,0,5,0,1.68,792.11
JAL_MAE_061,70,5,1,6,0,1.67,801.2
JAL_MAE_061,71,6,5,6,0,2.14,811.01
JAL_MAE_061,72,2,1,5,0,1.6,820.03
JAL_MAE_061,73,0,0,0,1,1.76,829.48
JAL_MAE_061,74,1,1,1,1,1.77,839.01
JAL_MAE_061,75,2,0,5,0,1.88,848.62
JAL_MAE_061,76,2,0,5,0,1.71,858.08
JAL_MAE_061,77,1,0,1,0,1.74,867.53
JAL_MAE_061,78,4,0,6,0,2.93,878.13
JAL_MAE_061,79,2,0,5,0,1.99,887.81
JAL_MAE_061,80,2,1,5,0,2.08,897.74
JAL_MAE_061,81,0,0,0,1,1.8,906.95
JAL_MAE_061,82,4,0,6,0,1.69,916.15
JAL_MAE_061,83,4,1,6,0,1.81,925.63
JAL_MAE_061,84,2,0,5,0,1.81,934.82
JAL_MAE_061,85,4,0,6,0,1.75,943.95
JAL_MAE_061,86,3,0,6,0,1.69,953.54
JAL_MAE_061,87,1,0,1,0,1.36,962.62
JAL_MAE_061,88,0,0,0,1,1.51,971.81
JAL_MAE_061,89,0,0,0,1,1.44,981.0
JAL_MAE_061,90,0,0,0,1,1.71,990.13
JAL_MAE_061,91,1,5,1,0,2.27,1000.26
JAL_MAE_061,92,5,1,6,0,1.63,1009.53
JAL_MAE_061,93,4,1,6,0,1.7,1018.63
JAL_MAE_061,94,6,1,6,0,2.0,1028.38
JAL_MAE_061,95,3,0,6,0,1.8,1038.05
JAL_MAE_061,96,5,6,6,1,1.99,1047.82
JAL_MAE_061,97,4,5,6,0,2.07,1057.56
JAL_MAE_061,98,1,0,1,0,2.39,1067.59
JAL_MAE_061,99,1,5,1,0,4.01,1079.01
JAL_MAE_061,100,0,0,0,1,3.58,1207.9
JAL_MAE_061,101,0,0,0,1,1.36,1214.52
JAL_MAE_061,102,2,5,5,1,1.33,1221.11
JAL_MAE_061,103,2,5,5,1,1.4,1227.76
JAL_MAE_061,104,3,5,6,0,1.2,1234.22
JAL_MAE_061,105,0,0,0,1,1.9,1241.41
JAL_MAE_061,106,4,6,6,1,3.75,1250.42
JAL_MAE_061,107,1,1,1,1,1.85,1257.56
JAL_MAE_061,108,1,0,1,0,1.47,1264.32
JAL_MAE_061,109,2,5,5,1,2.24,1271.83
JAL_MAE_061,110,0,0,0,1,1.75,1278.88
JAL_MAE_061,111,1,1,1,1,3.11,1287.23
JAL_MAE_061,112,3,0,6,0,1.63,1294.15
JAL_MAE_061,113,6,6,6,1,1.94,1301.38
JAL_MAE_061,114,6,6,6,1,1.6,1308.22
JAL_MAE_061,115,1,0,1,0,2.04,1315.55
JAL_MAE_061,116,2,5,5,1,1.5,1322.36
JAL_MAE_061,117,6,1,6,0,2.57,1330.21
JAL_MAE_061,118,5,6,6,1,1.83,1337.31
JAL_MAE_061,119,4,6,6,1,1.53,1344.12
JAL_MAE_061,120,3,6,6,1,1.82,1351.23
JAL_MAE_061,121,0,0,0,1,1.51,1358.02
JAL_MAE_061,122,4,5,6,0,1.57,1364.87
JAL_MAE_061,123,4,6,6,1,1.43,1371.55
JAL_MAE_061,124,0,0,0,1,2.15,1378.96
JAL_MAE_061,125,0,0,0,1,1.33,1385.57
JAL_MAE_061,126,2,1,5,0,2.49,1393.35
JAL_MAE_061,127,4,6,6,1,1.85,1400.48
JAL_MAE_061,128,3,5,6,0,2.74,1408.5
JAL_MAE_061,129,0,0,0,1,1.83,1415.62
JAL_MAE_061,130,4,5,6,0,2.71,1423.64
JAL_MAE_061,131,3,1,6,0,3.0,1431.91
JAL_MAE_061,132,5,6,6,1,1.83,1439.01
JAL_MAE_061,133,2,1,5,0,3.7,1447.99
JAL_MAE_061,134,3,1,6,0,2.28,1455.56
JAL_MAE_061,135,4,5,6,0,1.58,1462.41
JAL_MAE_061,136,2,5,5,1,1.69,1469.37
JAL_MAE_061,137,3,5,6,0,1.77,1476.41
JAL_MAE_061,138,6,6,6,1,1.42,1483.12
JAL_MAE_061,139,0,0,0,1,1.9,1490.3
JAL_MAE_061,140,5,6,6,1,1.4,1496.98
JAL_MAE_061,141,3,5,6,0,1.59,1503.85
JAL_MAE_061,142,6,6,6,1,2.15,1511.28
JAL_MAE_061,143,5,6,6,1,1.24,1517.8
JAL_MAE_061,144,3,6,6,1,1.3,1524.38
JAL_MAE_061,145,0,0,0,1,2.1,1531.76
JAL_MAE_061,146,1,1,1,1,1.92,1538.95
JAL_MAE_061,147,5,6,6,1,1.54,1545.78
JAL_MAE_061,148,1,0,1,0,2.64,1553.7
JAL_MAE_061,149,4,5,6,0,2.44,1561.42
JAL_MAE_061,150,6,1,6,0,3.71,1690.31
JAL_MAE_061,151,3,1,6,0,2.03,1697.51
JAL_MAE_061,152,1,1,1,1,1.8,1704.47
JAL_MAE_061,153,2,1,5,0,1.21,1710.85
JAL_MAE_061,154,0,0,0,1,1.56,1717.6
JAL_MAE_061,155,4,5,6,0,1.85,1724.62
JAL_MAE_061,156,5,5,6,0,1.52,1731.27
JAL_MAE_061,157,1,0,1,0,2.41,1738.84
JAL_MAE_061,158,5,6,6,1,1.91,1745.91
JAL_MAE_061,159,4,5,6,0,1.94,1753.03
JAL_MAE_061,160,4,5,6,0,1.3,1759.48
JAL_MAE_061,161,2,1,5,0,5.96,1770.61
JAL_MAE_061,162,4,5,6,0,2.25,1778.02
JAL_MAE_061,163,3,5,6,0,2.03,1785.2
JAL_MAE_061,164,4,5,6,0,2.3,1792.68
JAL_MAE_061,165,2,0,5,0,2.88,1800.71
JAL_MAE_061,166,4,5,6,0,1.6,1807.49
JAL_MAE_061,167,2,0,5,0,2.49,1815.15
JAL_MAE_061,168,0,0,0,1,1.68,1821.98
JAL_MAE_061,169,4,5,6,0,3.57,1830.74
JAL_MAE_061,170,6,5,6,0,2.06,1837.96
JAL_MAE_061,171,2,5,5,1,1.22,1844.34
