id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
JOU_FRA_024,999,2,5,5,1,2.49,140.7
JOU_FRA_024,999,3,1,6,0,3.15,151.23
JOU_FRA_024,999,1,5,1,0,3.95,162.29
JOU_FRA_024,0,0,5,0,0,3.96,194.24
JOU_FRA_024,1,3,1,6,0,0.82,202.7
JOU_FRA_024,2,6,6,6,1,0.46,210.76
JOU_FRA_024,3,0,0,0,1,1.37,219.82
JOU_FRA_024,4,3,6,6,1,1.37,228.9
JOU_FRA_024,5,0,5,0,0,0.77,237.53
JOU_FRA_024,6,1,6,1,0,0.77,245.78
JOU_FRA_024,7,4,1,6,0,1.24,254.4
JOU_FRA_024,8,0,6,0,0,0.72,262.64
JOU_FRA_024,9,3,1,6,0,0.82,271.24
JOU_FRA_024,10,2,1,5,0,0.72,279.86
JOU_FRA_024,11,1,1,1,1,0.96,288.68
JOU_FRA_024,12,5,0,6,0,1.44,297.79
JOU_FRA_024,13,3,0,6,0,0.58,305.78
JOU_FRA_024,14,1,0,1,0,0.32,313.81
JOU_FRA_024,15,1,0,1,0,0.51,321.64
JOU_FRA_024,16,2,0,5,0,0.32,329.42
JOU_FRA_024,17,2,0,5,0,0.46,337.26
JOU_FRA_024,18,0,0,0,1,0.47,345.59
JOU_FRA_024,19,5,1,6,0,0.74,353.75
JOU_FRA_024,20,2,1,5,0,0.58,362.18
JOU_FRA_024,21,1,0,1,0,0.53,370.13
JOU_FRA_024,22,3,0,6,0,0.55,378.41
JOU_FRA_024,23,0,0,0,1,0.38,386.49
JOU_FRA_024,24,4,1,6,0,0.52,394.62
JOU_FRA_024,25,2,1,5,0,6.32,408.57
JOU_FRA_024,26,2,0,5,0,0.71,416.96
JOU_FRA_024,27,4,0,6,0,0.76,425.36
JOU_FRA_024,28,0,0,0,1,0.43,433.41
JOU_FRA_024,29,2,0,5,0,0.48,441.54
JOU_FRA_024,30,4,1,6,0,0.51,449.67
JOU_FRA_024,31,0,0,0,1,0.62,457.77
JOU_FRA_024,32,6,0,6,0,0.61,466.08
JOU_FRA_024,33,4,0,6,0,0.58,474.5
JOU_FRA_024,34,5,0,6,0,0.73,483.1
JOU_FRA_024,35,5,0,6,0,0.7,491.47
JOU_FRA_024,36,5,5,6,0,0.8,499.75
JOU_FRA_024,37,5,1,6,0,0.79,508.26
JOU_FRA_024,38,6,6,6,1,1.17,516.82
JOU_FRA_024,39,1,0,1,0,0.71,525.23
JOU_FRA_024,40,0,0,0,1,0.75,533.64
JOU_FRA_024,41,0,0,0,1,0.3,541.6
JOU_FRA_024,42,2,0,5,0,0.64,549.9
JOU_FRA_024,43,2,0,5,0,0.42,557.94
JOU_FRA_024,44,5,1,6,0,0.66,566.41
JOU_FRA_024,45,0,0,0,1,0.7,574.82
JOU_FRA_024,46,3,0,6,0,1.14,583.62
JOU_FRA_024,47,0,0,0,1,0.6,591.59
JOU_FRA_024,48,0,0,0,1,0.68,600.18
JOU_FRA_024,49,4,5,6,0,0.55,608.46
JOU_FRA_024,50,1,0,1,0,0.36,616.43
JOU_FRA_024,51,1,1,1,1,0.62,624.81
JOU_FRA_024,52,3,0,6,0,0.51,633.0
JOU_FRA_024,53,1,0,1,0,0.53,641.2
JOU_FRA_024,54,2,0,5,0,0.53,649.48
JOU_FRA_024,55,6,1,6,0,0.7,657.86
JOU_FRA_024,56,2,0,5,0,0.5,666.0
JOU_FRA_024,57,0,0,0,1,0.66,674.4
JOU_FRA_024,58,3,0,6,0,0.72,682.78
JOU_FRA_024,59,1,0,1,0,0.56,691.2
JOU_FRA_024,60,3,0,6,0,0.56,699.57
JOU_FRA_024,61,3,0,6,0,0.58,707.84
JOU_FRA_024,62,3,1,6,0,0.49,715.74
JOU_FRA_024,63,1,0,1,0,0.73,724.19
JOU_FRA_024,64,0,0,0,1,0.55,732.43
JOU_FRA_024,65,4,5,6,0,0.87,741.02
JOU_FRA_024,66,3,1,6,0,0.93,749.62
JOU_FRA_024,67,2,0,5,0,0.7,757.74
JOU_FRA_024,68,5,1,6,0,0.99,766.1
JOU_FRA_024,69,2,0,5,0,3.02,776.81
JOU_FRA_024,70,5,5,6,0,0.72,784.91
JOU_FRA_024,71,6,1,6,0,0.96,793.54
JOU_FRA_024,72,2,0,5,0,0.74,801.68
JOU_FRA_024,73,0,0,0,1,0.57,809.91
JOU_FRA_024,74,1,0,1,0,0.68,818.28
JOU_FRA_024,75,2,1,5,0,0.73,826.71
JOU_FRA_024,76,2,0,5,0,0.48,834.92
JOU_FRA_024,77,1,0,1,0,1.24,843.8
JOU_FRA_024,78,4,5,6,0,0.7,852.14
JOU_FRA_024,79,2,1,5,0,0.63,860.44
JOU_FRA_024,80,2,0,5,0,4.71,873.0
JOU_FRA_024,81,0,0,0,1,1.6,881.98
