id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
JOU_MAT_043,999,2,1,5,0,1.32,79.51
JOU_MAT_043,999,3,5,6,0,1.97,88.81
JOU_MAT_043,999,1,1,1,1,7.86,103.77
JOU_MAT_043,0,0,1,0,0,1.26,128.32
JOU_MAT_043,1,3,1,6,0,0.95,136.9
JOU_MAT_043,2,6,5,6,0,0.61,145.1
JOU_MAT_043,3,0,1,0,0,1.0,153.77
JOU_MAT_043,4,3,0,6,0,1.14,162.57
JOU_MAT_043,5,0,1,0,0,0.67,171.04
JOU_MAT_043,6,1,0,1,0,0.66,179.15
JOU_MAT_043,7,4,1,6,0,0.75,187.24
JOU_MAT_043,8,0,1,0,0,1.36,196.07
JOU_MAT_043,9,3,0,6,0,0.95,204.75
JOU_MAT_043,10,2,0,5,0,2.09,214.67
JOU_MAT_043,11,1,0,1,0,1.62,224.1
JOU_MAT_043,12,5,5,6,0,1.2,232.95
JOU_MAT_043,13,3,1,6,0,0.87,241.23
JOU_MAT_043,14,1,0,1,0,1.21,250.1
JOU_MAT_043,15,1,0,1,0,1.16,258.57
JOU_MAT_043,16,2,0,5,0,1.77,267.83
JOU_MAT_043,17,2,1,5,0,0.89,276.09
JOU_MAT_043,18,0,0,0,1,1.04,284.94
JOU_MAT_043,19,5,1,6,0,0.68,292.99
JOU_MAT_043,20,2,5,5,1,1.18,301.97
JOU_MAT_043,21,1,0,1,0,0.91,310.29
JOU_MAT_043,22,3,1,6,0,0.95,318.93
JOU_MAT_043,23,0,0,0,1,1.09,327.69
JOU_MAT_043,24,4,1,6,0,0.71,336.0
JOU_MAT_043,25,2,5,5,1,1.11,344.72
JOU_MAT_043,26,2,0,5,0,0.87,353.25
JOU_MAT_043,27,4,1,6,0,0.66,361.54
JOU_MAT_043,28,0,0,0,1,1.22,370.33
JOU_MAT_043,29,2,0,5,0,0.89,378.82
JOU_MAT_043,30,4,0,6,0,1.33,387.75
JOU_MAT_043,31,0,0,0,1,0.69,395.8
JOU_MAT_043,32,6,6,6,1,0.67,404.15
JOU_MAT_043,33,4,1,6,0,0.79,412.76
JOU_MAT_043,34,5,1,6,0,0.83,421.4
JOU_MAT_043,35,5,1,6,0,0.53,429.55
JOU_MAT_043,36,5,5,6,0,0.92,437.93
JOU_MAT_043,37,5,5,6,0,0.48,446.08
JOU_MAT_043,38,6,1,6,0,1.19,454.67
JOU_MAT_043,39,1,1,1,1,0.53,462.87
JOU_MAT_043,40,0,0,0,1,0.98,471.42
JOU_MAT_043,41,0,0,0,1,0.81,479.84
JOU_MAT_043,42,2,0,5,0,0.71,488.16
JOU_MAT_043,43,2,0,5,0,0.69,496.42
JOU_MAT_043,44,5,6,6,1,0.41,504.57
JOU_MAT_043,45,0,0,0,1,0.6,512.83
JOU_MAT_043,46,3,5,6,0,0.63,521.13
JOU_MAT_043,47,0,0,0,1,0.83,529.28
JOU_MAT_043,48,0,0,0,1,1.27,538.39
JOU_MAT_043,49,4,5,6,0,0.6,546.68
JOU_MAT_043,50,1,0,1,0,1.12,555.4
JOU_MAT_043,51,1,0,1,0,1.86,564.97
JOU_MAT_043,52,3,0,6,0,0.81,573.44
JOU_MAT_043,53,1,1,1,1,1.24,582.29
JOU_MAT_043,54,2,1,5,0,0.67,590.65
JOU_MAT_043,55,6,5,6,0,0.73,599.01
JOU_MAT_043,56,2,0,5,0,1.31,607.96
JOU_MAT_043,57,0,0,0,1,0.64,616.31
JOU_MAT_043,58,3,1,6,0,0.55,624.5
JOU_MAT_043,59,1,1,1,1,0.71,633.03
JOU_MAT_043,60,3,0,6,0,2.09,642.91
JOU_MAT_043,61,3,0,6,0,1.14,651.71
JOU_MAT_043,62,3,5,6,0,0.69,659.81
JOU_MAT_043,63,1,0,1,0,0.82,668.27
JOU_MAT_043,64,0,0,0,1,0.75,676.66
JOU_MAT_043,65,4,6,6,1,0.46,684.76
JOU_MAT_043,66,3,5,6,0,0.86,693.26
