id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
JOU_PIE_070,100,29,45,29,29,1,common,0,2.95,87.21
JOU_PIE_070,101,52,66,52,52,1,common,0,2.59,94.57
JOU_PIE_070,102,44,53,44,44,1,common,0,1.31,100.62
JOU_PIE_070,0,24,44,24,24,1,common,1,1.68,121.7
JOU_PIE_070,1,29,23,23,23,1,common,2,1.37,125.81
JOU_PIE_070,2,12,27,12,12,1,common,3,0.77,129.31
JOU_PIE_070,3,74,65,65,65,1,common,4,1.0,133.06
JOU_PIE_070,4,90,75,75,75,1,common,5,0.74,136.57
JOU_PIE_070,5,18,12,12,12,1,common,6,0.69,139.98
JOU_PIE_070,6,9,16,9,9,1,common,7,0.44,143.16
JOU_PIE_070,7,40,25,40,40,1,common,8,2.94,148.83
JOU_PIE_070,8,60,75,60,60,1,common,9,1.07,152.67
JOU_PIE_070,9,43,25,25,25,1,common,10,0.74,156.16
JOU_PIE_070,10,26,15,15,15,1,common,11,0.7,159.58
JOU_PIE_070,11,71,54,54,54,1,common,12,0.88,163.19
JOU_PIE_070,12,29,46,29,29,1,common,13,1.02,166.94
JOU_PIE_070,13,53,33,53,33,0,common,13,1.53,171.21
JOU_PIE_070,14,52,38,38,38,1,common,14,1.1,175.04
JOU_PIE_070,15,44,24,24,24,1,common,15,0.57,178.35
JOU_PIE_070,16,13,12,12,12,1,common,16,0.55,181.63
JOU_PIE_070,17,58,64,58,58,1,common,17,1.54,185.96
JOU_PIE_070,18,13,31,13,13,1,common,18,0.9,189.61
JOU_PIE_070,19,88,98,88,88,1,common,19,0.99,193.37
JOU_PIE_070,20,31,43,43,31,0,common,19,2.46,198.57
JOU_PIE_070,21,36,25,36,25,0,common,19,3.15,204.41
JOU_PIE_070,22,29,42,29,29,1,common,20,0.92,208.05
JOU_PIE_070,23,32,20,20,20,1,common,21,1.32,212.1
JOU_PIE_070,24,36,19,36,36,1,common,22,1.17,216.0
JOU_PIE_070,25,48,36,36,36,1,common,23,1.01,219.78
JOU_PIE_070,26,33,13,13,13,1,common,24,0.8,223.29
JOU_PIE_070,27,35,45,35,35,1,common,25,1.37,227.43
JOU_PIE_070,28,24,35,24,24,1,common,26,0.63,230.79
JOU_PIE_070,29,45,28,28,28,1,common,27,0.71,234.24
JOU_PIE_070,30,30,13,13,13,1,common,28,0.63,237.59
JOU_PIE_070,31,36,17,36,36,1,common,29,3.17,243.53
JOU_PIE_070,32,74,62,62,62,1,common,30,1.15,247.46
JOU_PIE_070,33,26,31,31,26,0,common,30,1.37,251.57
JOU_PIE_070,34,38,28,28,28,1,common,31,1.06,255.39
JOU_PIE_070,35,72,81,81,72,0,common,31,2.47,260.62
JOU_PIE_070,36,21,16,16,16,1,common,32,0.75,264.12
JOU_PIE_070,37,36,21,36,36,1,common,33,1.77,268.62
JOU_PIE_070,38,16,36,36,16,0,common,33,2.3,273.65
JOU_PIE_070,39,16,8,8,8,1,common,34,1.46,277.84
JOU_PIE_070,40,18,12,12,12,1,common,35,0.59,281.16
JOU_PIE_070,41,76,67,67,67,1,common,36,0.87,284.81
JOU_PIE_070,42,92,84,84,84,1,common,37,1.06,288.64
JOU_PIE_070,43,34,14,14,14,1,common,38,0.68,292.04
JOU_PIE_070,44,14,9,9,9,1,common,39,0.68,295.44
JOU_PIE_070,45,103,83,83,83,1,common,40,1.6,299.8
JOU_PIE_070,46,33,23,23,23,1,common,41,1.65,304.17
JOU_PIE_070,47,19,28,28,28,1,common,42,0.8,307.74
JOU_PIE_070,48,30,41,30,30,1,common,43,0.96,311.4
JOU_PIE_070,49,53,35,35,35,1,common,44,0.94,315.09
JOU_PIE_070,50,33,34,34,33,0,pro,44,1.45,319.26
JOU_PIE_070,51,81,86,81,81,1,pro,45,1.16,323.19
JOU_PIE_070,52,52,33,52,33,0,pro,45,1.58,327.53
JOU_PIE_070,53,30,44,44,30,0,pro,45,1.24,331.52
JOU_PIE_070,54,30,35,35,30,0,pro,45,1.81,336.06
JOU_PIE_070,55,52,20,52,52,1,pro,46,0.8,339.61
