id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
JOU_PIE_070,999,2,5,5,1,2.05,80.9
JOU_PIE_070,999,3,6,6,1,1.78,90.06
JOU_PIE_070,999,1,5,1,0,1.56,98.72
JOU_PIE_070,0,0,0,0,1,2.98,133.39
JOU_PIE_070,1,3,1,6,0,1.31,142.33
JOU_PIE_070,2,6,5,6,0,1.52,151.47
JOU_PIE_070,3,0,0,0,1,1.6,160.75
JOU_PIE_070,4,3,0,6,0,1.92,170.32
JOU_PIE_070,5,0,1,0,0,1.09,179.31
JOU_PIE_070,6,1,0,1,0,1.5,188.25
JOU_PIE_070,7,4,1,6,0,1.35,196.94
JOU_PIE_070,8,0,0,0,1,1.7,206.12
JOU_PIE_070,9,3,6,6,1,1.19,215.08
JOU_PIE_070,10,2,0,5,0,0.97,223.88
JOU_PIE_070,11,1,0,1,0,1.0,232.67
JOU_PIE_070,12,5,1,6,0,1.27,241.59
JOU_PIE_070,13,3,1,6,0,1.24,250.25
JOU_PIE_070,14,1,0,1,0,1.55,259.44
JOU_PIE_070,15,1,1,1,1,1.33,268.12
JOU_PIE_070,16,2,0,5,0,1.57,277.15
JOU_PIE_070,17,2,1,5,0,1.07,285.63
JOU_PIE_070,18,0,0,0,1,1.65,295.12
JOU_PIE_070,19,5,0,6,0,0.97,303.49
JOU_PIE_070,20,2,1,5,0,1.25,312.56
JOU_PIE_070,21,1,0,1,0,0.9,320.85
JOU_PIE_070,22,3,1,6,0,0.98,329.55
JOU_PIE_070,23,0,1,0,0,0.81,338.05
JOU_PIE_070,24,4,1,6,0,0.88,346.52
JOU_PIE_070,25,2,5,5,1,1.19,355.32
JOU_PIE_070,26,2,0,5,0,1.77,364.74
JOU_PIE_070,27,4,1,6,0,1.01,373.36
JOU_PIE_070,28,0,0,0,1,0.93,381.87
JOU_PIE_070,29,2,0,5,0,1.64,391.15
JOU_PIE_070,30,4,1,6,0,1.93,400.67
JOU_PIE_070,31,0,0,0,1,1.07,409.11
JOU_PIE_070,32,6,1,6,0,0.9,417.72
JOU_PIE_070,33,4,0,6,0,0.78,426.3
JOU_PIE_070,34,5,0,6,0,0.78,434.92
JOU_PIE_070,35,5,5,6,0,1.81,444.35
JOU_PIE_070,36,5,5,6,0,1.0,452.83
JOU_PIE_070,37,5,0,6,0,1.34,461.88
JOU_PIE_070,38,6,1,6,0,1.29,470.6
JOU_PIE_070,39,1,0,1,0,0.87,479.16
JOU_PIE_070,40,0,0,0,1,2.17,488.96
JOU_PIE_070,41,0,0,0,1,1.04,497.62
JOU_PIE_070,42,2,0,5,0,1.82,507.08
JOU_PIE_070,43,2,0,5,0,0.93,515.61
JOU_PIE_070,44,5,5,6,0,1.11,524.52
JOU_PIE_070,45,0,0,0,1,0.8,532.99
JOU_PIE_070,46,3,5,6,0,1.45,542.13
JOU_PIE_070,47,0,0,0,1,1.56,551.05
JOU_PIE_070,48,0,0,0,1,0.77,559.66
JOU_PIE_070,49,4,5,6,0,1.36,568.74
JOU_PIE_070,50,1,0,1,0,0.99,577.36
