id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
KAM_ALE_027,999,2,1,5,0,4.24,180.57
KAM_ALE_027,999,3,1,6,0,3.57,191.51
KAM_ALE_027,999,1,1,1,1,6.27,204.86
KAM_ALE_027,0,0,0,0,1,5.49,241.18
KAM_ALE_027,1,3,0,6,0,9.43,258.26
KAM_ALE_027,2,6,1,6,0,2.13,267.99
KAM_ALE_027,3,0,0,0,1,7.55,283.21
KAM_ALE_027,4,3,0,6,0,2.17,293.03
KAM_ALE_027,5,0,0,0,1,4.34,305.25
KAM_ALE_027,6,1,0,1,0,3.3,316.01
KAM_ALE_027,7,4,0,6,0,2.85,326.23
KAM_ALE_027,8,0,0,0,1,2.97,336.68
KAM_ALE_027,9,3,5,6,0,1.86,346.25
KAM_ALE_027,10,2,1,5,0,6.94,361.07
KAM_ALE_027,11,1,0,1,0,3.25,372.15
KAM_ALE_027,12,5,1,6,0,3.47,383.3
KAM_ALE_027,13,3,0,6,0,7.09,397.78
KAM_ALE_027,14,1,0,1,0,2.53,407.98
KAM_ALE_027,15,1,0,1,0,14.49,429.81
KAM_ALE_027,16,2,0,5,0,7.08,444.38
KAM_ALE_027,17,2,1,5,0,3.74,455.54
KAM_ALE_027,18,0,0,0,1,3.52,466.93
KAM_ALE_027,19,5,1,6,0,4.76,479.1
KAM_ALE_027,20,2,1,5,0,5.91,492.89
KAM_ALE_027,21,1,5,1,0,2.05,502.37
KAM_ALE_027,22,3,1,6,0,15.58,525.69
KAM_ALE_027,23,0,0,0,1,2.73,536.16
KAM_ALE_027,24,4,1,6,0,3.28,547.06
KAM_ALE_027,25,2,1,5,0,2.33,557.03
KAM_ALE_027,26,2,1,5,0,6.87,571.57
KAM_ALE_027,27,4,0,6,0,2.2,581.41
KAM_ALE_027,28,0,0,0,1,2.75,591.77
KAM_ALE_027,29,2,0,5,0,1.84,601.27
KAM_ALE_027,30,4,0,6,0,3.73,612.62
KAM_ALE_027,31,0,0,0,1,23.93,643.95
KAM_ALE_027,32,6,5,6,0,1.32,652.99
KAM_ALE_027,33,4,1,6,0,6.32,667.19
KAM_ALE_027,34,5,1,6,0,5.27,680.3
KAM_ALE_027,35,5,0,6,0,25.08,713.03
KAM_ALE_027,36,5,5,6,0,1.23,721.76
KAM_ALE_027,37,5,5,6,0,1.63,731.08
KAM_ALE_027,38,6,5,6,0,2.62,741.1
KAM_ALE_027,39,1,0,1,0,28.04,776.87
KAM_ALE_027,40,0,0,0,1,1.74,786.27
KAM_ALE_027,41,0,1,0,0,2.24,796.14
KAM_ALE_027,42,2,0,5,0,2.62,806.38
KAM_ALE_027,43,2,0,5,0,6.05,820.05
KAM_ALE_027,44,5,0,6,0,4.6,832.45
KAM_ALE_027,45,0,0,0,1,6.89,847.03
KAM_ALE_027,46,3,5,6,0,3.53,858.24
KAM_ALE_027,47,0,0,0,1,2.61,868.2
KAM_ALE_027,48,0,0,0,1,4.36,880.41
KAM_ALE_027,49,4,5,6,0,2.62,890.76
KAM_ALE_027,50,1,0,1,0,3.99,902.4
KAM_ALE_027,51,1,0,1,0,5.88,916.03
KAM_ALE_027,52,3,0,6,0,20.07,943.79
KAM_ALE_027,53,1,0,1,0,2.9,954.34
KAM_ALE_027,54,2,0,5,0,2.59,964.7
KAM_ALE_027,55,6,5,6,0,9.36,981.71
KAM_ALE_027,56,2,0,5,0,5.4,994.77
KAM_ALE_027,57,0,0,0,1,4.86,1007.37
KAM_ALE_027,58,3,1,6,0,19.88,1034.93
KAM_ALE_027,59,1,0,1,0,2.27,1045.1
KAM_ALE_027,60,3,0,6,0,5.89,1058.85
KAM_ALE_027,61,3,1,6,0,7.2,1073.72
KAM_ALE_027,62,3,0,6,0,6.25,1087.39
KAM_ALE_027,63,1,0,1,0,19.7,1114.81
