id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
LAA_ATH_055,100,29,45,29,29,1,common,0,5.01,50.08
LAA_ATH_055,101,52,66,52,52,1,common,0,2.63,57.47
LAA_ATH_055,102,44,53,44,44,1,common,0,2.2,64.44
LAA_ATH_055,0,44,24,24,24,1,common,1,3.2,86.45
LAA_ATH_055,1,29,23,29,23,0,common,1,3.19,92.38
LAA_ATH_055,2,27,12,12,12,1,common,2,2.63,97.73
LAA_ATH_055,3,65,74,65,65,1,common,3,2.97,103.47
LAA_ATH_055,4,75,90,90,75,0,common,3,2.78,108.99
LAA_ATH_055,5,18,12,12,12,1,common,4,2.03,113.73
LAA_ATH_055,6,16,9,9,9,1,common,5,1.15,117.6
LAA_ATH_055,7,25,40,40,40,1,common,6,2.16,122.56
LAA_ATH_055,8,60,75,60,60,1,common,7,1.83,127.16
LAA_ATH_055,9,25,43,25,25,1,common,8,2.21,132.13
LAA_ATH_055,10,15,26,26,15,0,common,8,1.88,136.75
LAA_ATH_055,11,71,54,54,54,1,common,9,1.44,140.94
LAA_ATH_055,12,29,46,29,29,1,common,10,3.03,146.68
LAA_ATH_055,13,33,53,33,33,1,common,11,2.08,151.5
LAA_ATH_055,14,38,52,38,38,1,common,12,1.49,155.75
LAA_ATH_055,15,24,44,24,24,1,common,13,1.38,159.9
LAA_ATH_055,16,13,12,13,12,0,common,13,2.86,165.49
LAA_ATH_055,17,58,64,58,58,1,common,14,2.24,170.51
LAA_ATH_055,18,13,31,13,13,1,common,15,1.38,174.63
LAA_ATH_055,19,88,98,98,88,0,common,15,2.17,179.59
LAA_ATH_055,20,43,31,31,31,1,common,16,1.51,183.86
LAA_ATH_055,21,36,25,36,25,0,common,16,1.97,188.57
LAA_ATH_055,22,29,42,42,29,0,common,16,1.88,193.17
LAA_ATH_055,23,32,20,20,20,1,common,17,1.24,197.15
LAA_ATH_055,24,36,19,19,36,0,common,17,1.87,201.76
LAA_ATH_055,25,36,48,36,36,1,common,18,1.51,206.01
LAA_ATH_055,26,33,13,13,13,1,common,19,2.25,211.0
LAA_ATH_055,27,45,35,35,35,1,common,20,1.21,214.99
LAA_ATH_055,28,35,24,24,24,1,common,21,1.68,219.42
LAA_ATH_055,29,45,28,28,28,1,common,22,0.99,223.13
LAA_ATH_055,30,30,13,13,13,1,common,23,2.27,228.19
LAA_ATH_055,31,17,36,36,36,1,common,24,1.81,232.75
LAA_ATH_055,32,74,62,74,62,0,common,24,2.35,237.85
LAA_ATH_055,33,31,26,26,26,1,common,25,1.48,242.07
LAA_ATH_055,34,38,28,28,28,1,common,26,0.89,245.72
LAA_ATH_055,35,81,72,72,72,1,common,27,1.34,249.84
LAA_ATH_055,36,21,16,21,16,0,common,27,1.56,254.14
LAA_ATH_055,37,36,21,36,36,1,common,28,1.64,258.52
LAA_ATH_055,38,16,36,16,16,1,common,29,1.49,262.74
LAA_ATH_055,39,8,16,8,8,1,common,30,1.81,267.3
LAA_ATH_055,40,18,12,12,12,1,common,31,1.41,271.43
LAA_ATH_055,41,76,67,67,67,1,common,32,1.07,275.28
LAA_ATH_055,42,92,84,84,84,1,common,33,1.12,279.17
LAA_ATH_055,43,34,14,14,14,1,common,34,0.76,282.7
LAA_ATH_055,44,9,14,9,9,1,common,35,1.82,287.25
LAA_ATH_055,45,83,103,83,83,1,common,36,1.71,291.73
LAA_ATH_055,46,33,23,23,23,1,common,37,1.46,295.93
LAA_ATH_055,47,19,28,28,28,1,common,38,1.37,300.05
LAA_ATH_055,48,41,30,30,30,1,common,39,0.91,303.68
LAA_ATH_055,49,53,35,35,35,1,common,40,0.82,307.24
LAA_ATH_055,50,34,33,33,33,1,pro,41,0.75,310.72
LAA_ATH_055,51,81,86,86,81,0,pro,41,1.93,315.42
LAA_ATH_055,52,52,33,33,33,1,pro,42,1.1,319.25
LAA_ATH_055,53,30,44,30,30,1,pro,43,1.4,323.4
LAA_ATH_055,54,30,35,35,30,0,pro,43,1.06,327.17
LAA_ATH_055,55,20,52,52,52,1,pro,44,1.21,331.12
LAA_ATH_055,56,52,31,31,52,0,pro,44,3.23,337.11
LAA_ATH_055,57,32,24,32,24,0,pro,44,1.42,341.27
LAA_ATH_055,58,60,35,60,60,1,pro,45,1.66,345.67
LAA_ATH_055,59,32,27,27,32,0,pro,45,1.29,349.7
LAA_ATH_055,60,31,20,20,20,1,pro,46,1.07,353.48
LAA_ATH_055,61,23,29,29,23,0,pro,46,1.0,357.25
LAA_ATH_055,62,24,14,24,24,1,pro,47,1.98,361.98
LAA_ATH_055,63,51,32,32,32,1,pro,48,1.21,365.95
LAA_ATH_055,64,11,30,11,11,1,pro,49,1.34,370.03
LAA_ATH_055,65,53,72,53,53,1,pro,50,1.43,374.22
LAA_ATH_055,66,51,41,41,41,1,pro,51,1.07,378.08
LAA_ATH_055,67,42,26,26,26,1,pro,52,0.88,381.7
LAA_ATH_055,68,48,23,48,48,1,pro,53,1.24,385.66
LAA_ATH_055,69,30,56,30,56,0,pro,53,1.71,390.09
LAA_ATH_055,70,62,43,43,43,1,pro,54,1.11,393.96
LAA_ATH_055,71,44,50,44,44,1,pro,55,1.09,397.81
LAA_ATH_055,72,20,14,20,20,1,pro,56,1.22,401.79
LAA_ATH_055,73,32,26,26,26,1,pro,57,0.95,405.45
LAA_ATH_055,74,19,39,19,19,1,pro,58,1.21,409.37
LAA_ATH_055,75,24,14,24,24,1,pro,59,1.34,413.44
LAA_ATH_055,76,55,70,55,55,1,pro,60,1.25,417.47
LAA_ATH_055,77,6,15,6,6,1,pro,61,1.36,421.55
LAA_ATH_055,78,44,31,31,31,1,pro,62,1.08,425.4
LAA_ATH_055,79,60,28,60,60,1,pro,63,1.64,429.8
LAA_ATH_055,80,20,31,20,20,1,pro,64,1.46,434.0
LAA_ATH_055,81,23,36,36,36,1,pro,65,1.69,438.43
LAA_ATH_055,82,63,80,63,63,1,pro,66,1.36,442.6
LAA_ATH_055,83,8,28,8,8,1,pro,67,0.7,446.02
LAA_ATH_055,84,32,21,32,32,1,pro,68,1.68,450.46
LAA_ATH_055,85,41,29,29,29,1,pro,69,1.28,454.44
LAA_ATH_055,86,40,22,40,40,1,pro,70,1.21,458.4
LAA_ATH_055,87,27,14,14,14,1,pro,71,1.91,463.07
LAA_ATH_055,88,48,32,48,48,1,pro,72,2.29,468.15
LAA_ATH_055,89,29,42,29,29,1,pro,73,1.32,472.22
LAA_ATH_055,90,81,92,81,81,1,pro,74,1.12,476.13
LAA_ATH_055,91,20,22,20,20,1,pro,75,1.09,479.93
LAA_ATH_055,92,32,45,32,32,1,pro,76,0.86,483.52
LAA_ATH_055,93,33,49,49,33,0,pro,76,2.05,488.29
LAA_ATH_055,94,41,58,41,41,1,pro,77,1.06,492.15
LAA_ATH_055,95,22,36,36,36,1,pro,78,1.15,496.04
LAA_ATH_055,96,77,83,77,77,1,pro,79,0.9,499.7
LAA_ATH_055,97,62,68,62,62,1,pro,80,1.55,504.02
LAA_ATH_055,98,17,22,22,17,0,pro,80,1.37,508.11
LAA_ATH_055,99,18,29,18,18,1,pro,81,1.31,512.14
