id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
LAN_PIE_012,999,2,0,5,0,3.14,49.6
LAN_PIE_012,999,3,1,6,0,0.47,57.41
LAN_PIE_012,999,1,1,1,1,0.29,64.79
LAN_PIE_012,0,0,0,0,1,2.0,89.51
LAN_PIE_012,1,3,0,6,0,0.79,97.9
LAN_PIE_012,2,6,0,6,0,0.55,106.02
LAN_PIE_012,3,0,0,0,1,0.67,114.33
LAN_PIE_012,4,3,0,6,0,0.32,122.28
LAN_PIE_012,5,0,0,0,1,0.0,130.09
LAN_PIE_012,6,1,0,1,0,0.67,138.19
LAN_PIE_012,7,4,0,6,0,0.67,146.2
LAN_PIE_012,8,0,0,0,1,0.33,153.99
LAN_PIE_012,9,3,5,6,0,0.61,162.3
LAN_PIE_012,10,2,0,5,0,0.48,170.62
LAN_PIE_012,11,1,0,1,0,0.47,178.93
LAN_PIE_012,12,5,0,6,0,-0.0,186.59
LAN_PIE_012,13,3,0,6,0,1.09,195.05
LAN_PIE_012,14,1,0,1,0,1.53,204.2
LAN_PIE_012,15,1,0,1,0,0.18,211.72
LAN_PIE_012,16,2,0,5,0,1.34,220.51
LAN_PIE_012,17,2,0,5,0,0.34,228.25
LAN_PIE_012,18,0,0,0,1,0.62,236.69
LAN_PIE_012,19,5,1,6,0,0.58,244.65
LAN_PIE_012,20,2,0,5,0,0.7,253.17
LAN_PIE_012,21,1,1,1,1,0.46,261.04
LAN_PIE_012,22,3,0,6,0,2.07,270.8
LAN_PIE_012,23,0,5,0,0,2.16,280.67
LAN_PIE_012,24,4,1,6,0,0.4,288.67
LAN_PIE_012,25,2,0,5,0,0.41,296.69
LAN_PIE_012,26,2,0,5,0,0.78,305.15
LAN_PIE_012,27,4,1,6,0,0.75,313.53
LAN_PIE_012,28,0,1,0,0,0.83,321.98
LAN_PIE_012,29,2,0,5,0,0.71,330.32
LAN_PIE_012,30,4,0,6,0,0.91,338.83
LAN_PIE_012,31,0,0,0,1,0.31,346.52
LAN_PIE_012,32,6,5,6,0,0.72,354.95
LAN_PIE_012,33,4,0,6,0,2.11,364.89
LAN_PIE_012,34,5,1,6,0,0.44,373.15
LAN_PIE_012,35,5,0,6,0,0.65,381.39
LAN_PIE_012,36,5,0,6,0,1.55,390.44
LAN_PIE_012,37,5,1,6,0,0.54,398.64
LAN_PIE_012,38,6,6,6,1,0.9,406.93
LAN_PIE_012,39,1,1,1,1,1.87,416.5
LAN_PIE_012,40,0,0,0,1,0.45,424.54
LAN_PIE_012,41,0,0,0,1,0.69,432.88
LAN_PIE_012,42,2,0,5,0,0.67,441.19
LAN_PIE_012,43,2,0,5,0,0.56,449.3
LAN_PIE_012,44,5,0,6,0,0.76,457.86
LAN_PIE_012,45,0,0,0,1,0.39,465.91
LAN_PIE_012,46,3,0,6,0,0.8,474.37
LAN_PIE_012,47,0,0,0,1,0.62,482.34
LAN_PIE_012,48,0,0,0,1,1.79,491.97
LAN_PIE_012,49,4,1,6,0,0.28,499.95
LAN_PIE_012,50,1,0,1,0,0.5,508.08
LAN_PIE_012,51,1,1,1,1,0.61,516.41
LAN_PIE_012,52,3,1,6,0,1.96,526.05
LAN_PIE_012,53,1,0,1,0,0.67,534.39
LAN_PIE_012,54,2,0,5,0,0.59,542.75
LAN_PIE_012,55,6,1,6,0,0.54,550.92
LAN_PIE_012,56,2,0,5,0,0.5,559.1
LAN_PIE_012,57,0,0,0,1,0.81,567.63
LAN_PIE_012,58,3,0,6,0,0.37,575.66
LAN_PIE_012,59,1,0,1,0,5.67,589.17
LAN_PIE_012,60,3,0,6,0,3.88,600.88
LAN_PIE_012,61,3,1,6,0,0.34,608.87
LAN_PIE_012,62,3,1,6,0,0.39,616.66
LAN_PIE_012,63,1,0,1,0,0.72,625.04
LAN_PIE_012,64,0,0,0,1,0.62,633.32
LAN_PIE_012,65,4,5,6,0,1.56,642.6
LAN_PIE_012,66,3,1,6,0,0.85,651.13
LAN_PIE_012,67,2,1,5,0,1.39,659.93
LAN_PIE_012,68,5,1,6,0,0.47,667.77
LAN_PIE_012,69,2,0,5,0,0.72,676.17
LAN_PIE_012,70,5,0,6,0,0.75,684.3
LAN_PIE_012,71,6,1,6,0,0.73,692.68
LAN_PIE_012,72,2,0,5,0,1.84,701.93
LAN_PIE_012,73,0,0,0,1,0.78,710.33
LAN_PIE_012,74,1,0,1,0,1.32,719.36
LAN_PIE_012,75,2,1,5,0,0.65,727.66
LAN_PIE_012,76,2,1,5,0,0.49,735.87
LAN_PIE_012,77,1,0,1,0,0.46,743.96
LAN_PIE_012,78,4,1,6,0,0.43,752.03
LAN_PIE_012,79,2,0,5,0,0.51,760.18
LAN_PIE_012,80,2,0,5,0,0.63,768.64
LAN_PIE_012,81,0,0,0,1,0.52,776.55
LAN_PIE_012,82,4,1,6,0,0.26,784.28
LAN_PIE_012,83,4,1,6,0,6.27,798.15
LAN_PIE_012,84,2,0,5,0,0.63,806.1
LAN_PIE_012,85,4,1,6,0,0.43,813.93
LAN_PIE_012,86,3,1,6,0,0.67,822.43
LAN_PIE_012,87,1,0,1,0,0.62,830.72
LAN_PIE_012,88,0,0,0,1,0.39,838.76
LAN_PIE_012,89,0,0,0,1,0.94,847.41
LAN_PIE_012,90,0,0,0,1,1.1,855.92
LAN_PIE_012,91,1,0,1,0,0.63,864.38
LAN_PIE_012,92,5,1,6,0,0.52,872.5
LAN_PIE_012,93,4,1,6,0,0.45,880.34
LAN_PIE_012,94,6,1,6,0,0.48,888.51
LAN_PIE_012,95,3,1,6,0,0.46,896.81
LAN_PIE_012,96,5,1,6,0,0.71,905.23
LAN_PIE_012,97,4,0,6,0,0.55,913.44
LAN_PIE_012,98,1,1,1,1,1.75,922.77
LAN_PIE_012,99,1,1,1,1,0.68,930.84
LAN_PIE_012,100,0,0,0,1,3.06,1059.18
LAN_PIE_012,101,0,0,0,1,0.6,1065.03
LAN_PIE_012,102,2,5,5,1,0.42,1070.7
LAN_PIE_012,103,2,5,5,1,2.55,1078.47
LAN_PIE_012,104,3,5,6,0,2.55,1086.27
LAN_PIE_012,105,0,0,0,1,0.57,1092.08
LAN_PIE_012,106,4,5,6,0,1.22,1098.56
LAN_PIE_012,107,1,0,1,0,3.0,1106.83
LAN_PIE_012,108,1,0,1,0,0.97,1113.01
LAN_PIE_012,109,2,5,5,1,2.23,1120.51
LAN_PIE_012,110,0,0,0,1,2.01,1127.79
LAN_PIE_012,111,1,1,1,1,0.97,1134.01
LAN_PIE_012,112,3,0,6,0,1.62,1140.88
LAN_PIE_012,113,6,5,6,0,1.86,1148.02
LAN_PIE_012,114,6,1,6,0,1.56,1154.84
LAN_PIE_012,115,1,0,1,0,1.95,1162.06
LAN_PIE_012,116,2,5,5,1,1.73,1169.02
LAN_PIE_012,117,6,6,6,1,1.61,1175.9
LAN_PIE_012,118,5,6,6,1,1.92,1183.07
LAN_PIE_012,119,4,6,6,1,1.25,1189.56
LAN_PIE_012,120,3,1,6,0,0.76,1195.57
LAN_PIE_012,121,0,0,0,1,0.85,1201.68
LAN_PIE_012,122,4,1,6,0,1.1,1208.03
LAN_PIE_012,123,4,1,6,0,1.67,1214.93
LAN_PIE_012,124,0,0,0,1,0.9,1221.09
LAN_PIE_012,125,0,0,0,1,0.75,1227.07
LAN_PIE_012,126,2,5,5,1,1.19,1233.52
LAN_PIE_012,127,4,6,6,1,0.43,1239.25
LAN_PIE_012,128,3,1,6,0,1.6,1246.11
LAN_PIE_012,129,0,0,0,1,1.13,1252.51
LAN_PIE_012,130,4,5,6,0,2.69,1260.43
LAN_PIE_012,131,3,0,6,0,0.44,1266.15
LAN_PIE_012,132,5,1,6,0,1.12,1272.51
LAN_PIE_012,133,2,0,5,0,0.47,1278.21
LAN_PIE_012,134,3,1,6,0,0.94,1284.4
LAN_PIE_012,135,4,1,6,0,4.6,1294.25
LAN_PIE_012,136,2,1,5,0,1.5,1301.0
LAN_PIE_012,137,3,5,6,0,0.91,1307.14
LAN_PIE_012,138,6,1,6,0,0.58,1312.96
LAN_PIE_012,139,0,0,0,1,1.17,1319.37
LAN_PIE_012,140,5,0,6,0,0.67,1325.31
LAN_PIE_012,141,3,5,6,0,1.25,1331.85
LAN_PIE_012,142,6,1,6,0,0.97,1338.05
LAN_PIE_012,143,5,5,6,0,1.32,1344.61
LAN_PIE_012,144,3,5,6,0,0.48,1350.36
LAN_PIE_012,145,0,0,0,1,0.87,1356.48
LAN_PIE_012,146,1,0,1,0,1.55,1363.28
LAN_PIE_012,147,5,6,6,1,1.36,1369.87
LAN_PIE_012,148,1,0,1,0,0.62,1375.77
LAN_PIE_012,149,4,0,6,0,1.58,1382.61
LAN_PIE_012,150,6,0,6,0,1.9,1509.69
LAN_PIE_012,151,3,0,6,0,0.71,1515.53
LAN_PIE_012,152,1,1,1,1,0.49,1521.18
LAN_PIE_012,153,2,0,5,0,1.14,1527.48
LAN_PIE_012,154,0,0,0,1,0.77,1533.4
LAN_PIE_012,155,4,0,6,0,0.67,1539.21
LAN_PIE_012,156,5,6,6,1,1.33,1545.68
LAN_PIE_012,157,1,0,1,0,1.08,1551.91
LAN_PIE_012,158,5,6,6,1,0.38,1557.43
LAN_PIE_012,159,4,1,6,0,1.49,1564.06
LAN_PIE_012,160,4,0,6,0,1.02,1570.22
LAN_PIE_012,161,2,1,5,0,0.44,1575.82
LAN_PIE_012,162,4,5,6,0,1.66,1582.65
LAN_PIE_012,163,3,0,6,0,1.36,1589.15
LAN_PIE_012,164,4,1,6,0,0.83,1595.13
LAN_PIE_012,165,2,1,5,0,1.55,1601.82
LAN_PIE_012,166,4,1,6,0,0.76,1607.74
LAN_PIE_012,167,2,1,5,0,0.59,1613.49
LAN_PIE_012,168,0,0,0,1,0.85,1619.49
LAN_PIE_012,169,4,5,6,0,2.52,1627.19
LAN_PIE_012,170,6,0,6,0,1.68,1633.99
LAN_PIE_012,171,2,1,5,0,0.39,1639.54
LAN_PIE_012,172,6,1,6,0,0.4,1645.08
LAN_PIE_012,173,1,0,1,0,1.51,1651.71
LAN_PIE_012,174,6,0,6,0,1.14,1658.03
LAN_PIE_012,175,3,6,6,1,1.1,1664.28
LAN_PIE_012,176,1,1,1,1,1.85,1671.3
LAN_PIE_012,177,0,0,0,1,1.22,1677.69
LAN_PIE_012,178,5,6,6,1,1.22,1684.07
LAN_PIE_012,179,0,0,0,1,1.33,1690.55
LAN_PIE_012,180,0,0,0,1,0.97,1696.69
LAN_PIE_012,181,3,1,6,0,0.23,1702.09
LAN_PIE_012,182,1,0,1,0,1.68,1708.92
LAN_PIE_012,183,6,0,6,0,1.26,1715.33
LAN_PIE_012,184,2,0,5,0,1.67,1722.16
LAN_PIE_012,185,6,6,6,1,1.35,1728.65
LAN_PIE_012,186,6,1,6,0,1.14,1734.97
LAN_PIE_012,187,5,0,6,0,1.9,1742.02
LAN_PIE_012,188,3,1,6,0,0.81,1747.98
LAN_PIE_012,189,6,0,6,0,1.93,1755.05
LAN_PIE_012,190,3,0,6,0,1.54,1761.75
LAN_PIE_012,191,0,0,0,1,0.79,1767.68
LAN_PIE_012,192,1,0,1,0,0.74,1773.58
LAN_PIE_012,193,2,1,5,0,0.44,1779.17
LAN_PIE_012,194,2,0,5,0,0.53,1784.87
LAN_PIE_012,195,0,0,0,1,1.54,1791.58
LAN_PIE_012,196,6,6,6,1,0.83,1797.57
LAN_PIE_012,197,2,1,5,0,0.94,1803.66
LAN_PIE_012,198,1,0,1,0,0.6,1809.42
LAN_PIE_012,199,0,0,0,1,1.87,1816.44
