id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
LEU_SEV_007,999,2,1,5,0,9.16,53.67
LEU_SEV_007,999,3,5,6,0,2.81,63.84
LEU_SEV_007,999,1,1,1,1,8.12,79.05
LEU_SEV_007,0,0,0,0,1,2.91,106.51
LEU_SEV_007,1,3,5,6,0,1.55,115.69
LEU_SEV_007,2,6,5,6,0,1.64,124.92
LEU_SEV_007,3,0,1,0,0,4.13,136.71
LEU_SEV_007,4,3,0,6,0,3.44,147.8
LEU_SEV_007,5,0,1,0,0,1.21,156.86
LEU_SEV_007,6,1,0,1,0,1.6,165.91
LEU_SEV_007,7,4,0,6,0,0.61,173.89
LEU_SEV_007,8,0,0,0,1,0.91,182.28
LEU_SEV_007,9,3,0,6,0,1.18,191.18
LEU_SEV_007,10,2,1,5,0,1.79,200.82
LEU_SEV_007,11,1,0,1,0,4.52,213.17
LEU_SEV_007,12,5,1,6,0,1.27,222.12
LEU_SEV_007,13,3,1,6,0,1.49,230.99
LEU_SEV_007,14,1,1,1,1,2.78,241.43
LEU_SEV_007,15,1,0,1,0,2.24,250.98
LEU_SEV_007,16,2,0,5,0,1.69,260.16
LEU_SEV_007,17,2,0,5,0,0.93,268.48
LEU_SEV_007,18,0,0,0,1,1.28,277.66
LEU_SEV_007,19,5,1,6,0,1.54,286.61
LEU_SEV_007,20,2,1,5,0,1.19,295.71
LEU_SEV_007,21,1,5,1,0,1.33,304.47
LEU_SEV_007,22,3,0,6,0,2.21,314.37
LEU_SEV_007,23,0,0,0,1,2.34,324.4
LEU_SEV_007,24,4,1,6,0,1.37,333.4
LEU_SEV_007,25,2,1,5,0,1.16,342.16
LEU_SEV_007,26,2,0,5,0,2.21,352.07
LEU_SEV_007,27,4,0,6,0,0.98,360.7
LEU_SEV_007,28,0,1,0,0,1.78,370.1
LEU_SEV_007,29,2,0,5,0,1.09,378.86
LEU_SEV_007,30,4,1,6,0,1.22,387.7
LEU_SEV_007,31,0,0,0,1,1.87,396.94
LEU_SEV_007,32,6,5,6,0,1.59,406.22
LEU_SEV_007,33,4,0,6,0,2.25,416.32
LEU_SEV_007,34,5,5,6,0,1.42,425.54
LEU_SEV_007,35,5,1,6,0,1.42,434.6
LEU_SEV_007,36,5,1,6,0,1.09,443.16
