id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
MAA_FAR_025,999,2,5,5,1,6.34,102.86
MAA_FAR_025,999,3,1,6,0,3.33,113.56
MAA_FAR_025,999,1,0,1,0,3.71,124.37
MAA_FAR_025,0,0,5,0,0,9.24,158.84
MAA_FAR_025,1,3,6,6,1,2.38,168.92
MAA_FAR_025,2,6,5,6,0,6.07,182.6
MAA_FAR_025,3,0,5,0,0,1.83,192.09
MAA_FAR_025,4,3,0,6,0,1.0,200.75
MAA_FAR_025,5,0,5,0,0,1.22,209.77
MAA_FAR_025,6,1,1,1,1,0.72,217.97
MAA_FAR_025,7,4,0,6,0,0.98,226.32
MAA_FAR_025,8,0,1,0,0,2.36,236.16
MAA_FAR_025,9,3,1,6,0,1.13,245.06
MAA_FAR_025,10,2,1,5,0,2.54,255.42
MAA_FAR_025,11,1,6,1,0,0.62,263.87
MAA_FAR_025,12,5,6,6,1,0.47,272.04
MAA_FAR_025,13,3,6,6,1,0.67,280.09
MAA_FAR_025,14,1,1,1,1,1.07,288.79
MAA_FAR_025,15,1,5,1,0,1.04,297.19
MAA_FAR_025,16,2,5,5,1,1.83,306.5
MAA_FAR_025,17,2,1,5,0,1.49,315.37
MAA_FAR_025,18,0,0,0,1,1.13,324.36
MAA_FAR_025,19,5,1,6,0,2.0,333.75
MAA_FAR_025,20,2,5,5,1,0.45,342.04
MAA_FAR_025,21,1,5,1,0,1.57,351.0
MAA_FAR_025,22,3,5,6,0,0.9,359.67
MAA_FAR_025,23,0,6,0,0,0.58,368.0
MAA_FAR_025,24,4,0,6,0,1.78,377.41
MAA_FAR_025,25,2,5,5,1,1.7,386.77
MAA_FAR_025,26,2,5,5,1,1.52,395.96
MAA_FAR_025,27,4,6,6,1,1.17,404.77
MAA_FAR_025,28,0,6,0,0,0.52,412.91
MAA_FAR_025,29,2,0,5,0,0.57,421.14
MAA_FAR_025,30,4,0,6,0,0.62,429.37
MAA_FAR_025,31,0,0,0,1,0.97,437.71
MAA_FAR_025,32,6,0,6,0,0.56,445.96
MAA_FAR_025,33,4,0,6,0,0.65,454.43
MAA_FAR_025,34,5,0,6,0,0.46,462.77
MAA_FAR_025,35,5,0,6,0,0.47,470.88
MAA_FAR_025,36,5,1,6,0,1.44,479.78
MAA_FAR_025,37,5,1,6,0,0.93,488.38
MAA_FAR_025,38,6,5,6,0,0.86,496.63
MAA_FAR_025,39,1,5,1,0,1.01,505.35
MAA_FAR_025,40,0,0,0,1,0.75,513.72
MAA_FAR_025,41,0,0,0,1,0.87,522.26
MAA_FAR_025,42,2,0,5,0,1.31,531.21
MAA_FAR_025,43,2,0,5,0,0.66,539.45
MAA_FAR_025,44,5,0,6,0,0.5,547.77
MAA_FAR_025,45,0,0,0,1,0.52,555.96
MAA_FAR_025,46,3,1,6,0,0.48,564.09
MAA_FAR_025,47,0,1,0,0,1.22,572.66
MAA_FAR_025,48,0,1,0,0,1.29,581.83
MAA_FAR_025,49,4,1,6,0,0.48,589.97
MAA_FAR_025,50,1,0,1,0,0.33,597.94
MAA_FAR_025,51,1,1,1,1,1.28,606.93
MAA_FAR_025,52,3,5,6,0,1.02,615.62
MAA_FAR_025,53,1,1,1,1,0.52,623.76
MAA_FAR_025,54,2,0,5,0,0.51,632.03
MAA_FAR_025,55,6,1,6,0,0.63,640.34
MAA_FAR_025,56,2,0,5,0,0.49,648.48
MAA_FAR_025,57,0,0,0,1,0.81,657.03
MAA_FAR_025,58,3,0,6,0,0.43,665.13
MAA_FAR_025,59,1,0,1,0,0.51,673.51
MAA_FAR_025,60,3,0,6,0,0.52,681.88
MAA_FAR_025,61,3,0,6,0,0.46,690.07
MAA_FAR_025,62,3,0,6,0,0.52,697.98
MAA_FAR_025,63,1,0,1,0,0.3,705.98
MAA_FAR_025,64,0,0,0,1,0.38,714.02
MAA_FAR_025,65,4,0,6,0,0.55,722.29
MAA_FAR_025,66,3,0,6,0,0.42,730.38
MAA_FAR_025,67,2,0,5,0,0.81,738.61
MAA_FAR_025,68,5,1,6,0,1.01,746.97
MAA_FAR_025,69,2,0,5,0,0.5,755.17
MAA_FAR_025,70,5,1,6,0,0.56,763.15
MAA_FAR_025,71,6,0,6,0,1.43,772.22
MAA_FAR_025,72,2,0,5,0,0.43,780.07
MAA_FAR_025,73,0,0,0,1,0.78,788.5
MAA_FAR_025,74,1,0,1,0,0.56,796.77
MAA_FAR_025,75,2,1,5,0,0.46,804.88
MAA_FAR_025,76,2,1,5,0,0.32,813.03
MAA_FAR_025,77,1,1,1,1,1.35,822.08
MAA_FAR_025,78,4,1,6,0,0.36,830.14
MAA_FAR_025,79,2,0,5,0,1.34,839.1
MAA_FAR_025,80,2,0,5,0,0.67,847.62
MAA_FAR_025,81,0,0,0,1,0.47,855.47
MAA_FAR_025,82,4,5,6,0,3.04,865.95
MAA_FAR_025,83,4,5,6,0,0.88,874.5
MAA_FAR_025,84,2,5,5,1,0.36,882.21
MAA_FAR_025,85,4,5,6,0,0.52,890.13
MAA_FAR_025,86,3,5,6,0,0.45,898.42
MAA_FAR_025,87,1,0,1,0,1.49,907.62
MAA_FAR_025,88,0,0,0,1,0.4,915.68
MAA_FAR_025,89,0,0,0,1,0.34,923.68
MAA_FAR_025,90,0,1,0,0,1.02,932.12
MAA_FAR_025,91,1,1,1,1,1.35,941.3
MAA_FAR_025,92,5,1,6,0,0.84,949.77
MAA_FAR_025,93,4,5,6,0,0.85,958.01
MAA_FAR_025,94,6,5,6,0,0.45,966.2
MAA_FAR_025,95,3,5,6,0,0.51,974.56
MAA_FAR_025,96,5,1,6,0,1.46,983.79
MAA_FAR_025,97,4,1,6,0,0.46,991.91
MAA_FAR_025,98,1,1,1,1,0.88,1000.38
MAA_FAR_025,99,1,0,1,0,1.04,1008.82
MAA_FAR_025,100,0,1,0,0,4.61,1138.7
MAA_FAR_025,101,0,0,0,1,0.74,1144.67
MAA_FAR_025,102,2,1,5,0,1.5,1151.4
MAA_FAR_025,103,2,1,5,0,1.04,1157.72
MAA_FAR_025,104,3,6,6,1,0.93,1163.92
MAA_FAR_025,105,0,0,0,1,0.76,1169.95
MAA_FAR_025,106,4,5,6,0,3.52,1178.76
MAA_FAR_025,107,1,5,1,0,1.04,1185.04
MAA_FAR_025,108,1,0,1,0,0.56,1190.88
MAA_FAR_025,109,2,6,5,0,1.65,1197.77
MAA_FAR_025,110,0,0,0,1,0.73,1203.76
MAA_FAR_025,111,1,5,1,0,1.51,1210.52
MAA_FAR_025,112,3,5,6,0,1.51,1217.31
MAA_FAR_025,113,6,6,6,1,0.38,1222.94
MAA_FAR_025,114,6,6,6,1,0.57,1228.82
MAA_FAR_025,115,1,0,1,0,0.4,1234.47
MAA_FAR_025,116,2,1,5,0,1.09,1240.81
MAA_FAR_025,117,6,5,6,0,1.35,1247.46
MAA_FAR_025,118,5,6,6,1,1.53,1254.21
MAA_FAR_025,119,4,6,6,1,0.38,1259.87
MAA_FAR_025,120,3,6,6,1,0.45,1265.57
