id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
MAA_FAR_025,100,0,6,0,0,5.43,77.36
MAA_FAR_025,101,6,6,1,0,1.7,83.21
MAA_FAR_025,102,6,0,0,0,0.63,88.01
MAA_FAR_025,0,0,0,1,1,2.96,109.49
MAA_FAR_025,1,6,6,1,2,0.66,112.35
MAA_FAR_025,2,0,6,0,2,0.36,114.89
MAA_FAR_025,3,6,6,1,3,0.54,117.6
MAA_FAR_025,4,6,6,1,4,1.22,121.0
MAA_FAR_025,5,6,6,1,5,0.53,123.73
MAA_FAR_025,6,0,6,0,5,0.27,126.19
MAA_FAR_025,7,0,6,0,5,0.31,128.67
MAA_FAR_025,8,0,0,1,6,1.57,132.44
MAA_FAR_025,9,6,6,1,7,0.8,135.41
MAA_FAR_025,10,6,6,1,8,0.76,138.34
MAA_FAR_025,11,6,6,1,9,0.31,140.82
MAA_FAR_025,12,0,0,1,10,0.29,143.32
MAA_FAR_025,13,6,6,1,11,0.27,145.78
MAA_FAR_025,14,0,6,0,11,0.26,148.21
MAA_FAR_025,15,6,6,1,12,0.85,151.23
MAA_FAR_025,16,6,6,1,13,2.49,155.9
MAA_FAR_025,17,6,6,1,14,0.38,158.44
MAA_FAR_025,18,6,6,1,15,0.26,160.89
MAA_FAR_025,19,0,0,1,16,0.43,163.51
MAA_FAR_025,20,6,6,1,17,0.4,166.08
MAA_FAR_025,21,6,6,1,18,0.26,168.54
MAA_FAR_025,22,6,6,1,19,0.25,170.97
MAA_FAR_025,23,0,6,0,19,0.25,173.4
MAA_FAR_025,24,0,0,1,20,0.46,176.05
MAA_FAR_025,25,0,6,0,20,0.22,178.45
MAA_FAR_025,26,0,0,1,21,0.2,180.84
MAA_FAR_025,27,6,6,1,22,0.44,183.46
MAA_FAR_025,28,6,6,1,23,0.8,186.43
MAA_FAR_025,29,6,6,1,24,0.32,188.94
MAA_FAR_025,30,6,6,1,25,0.49,191.62
MAA_FAR_025,31,0,0,1,26,0.3,194.09
MAA_FAR_025,32,0,6,0,26,0.5,196.78
MAA_FAR_025,33,0,0,1,27,0.36,199.33
MAA_FAR_025,34,0,0,1,28,0.32,201.85
MAA_FAR_025,35,6,6,1,29,0.25,204.28
MAA_FAR_025,36,6,6,1,30,0.27,206.74
MAA_FAR_025,37,6,0,0,30,0.39,209.32
MAA_FAR_025,38,0,0,1,31,0.3,211.82
MAA_FAR_025,39,6,6,1,32,0.34,214.32
MAA_FAR_025,40,6,0,0,32,0.45,216.96
MAA_FAR_025,41,6,0,0,32,0.25,219.4
MAA_FAR_025,42,6,6,1,33,0.27,221.85
MAA_FAR_025,43,6,6,1,34,0.22,224.25
MAA_FAR_025,44,6,6,1,35,0.31,226.72
MAA_FAR_025,45,6,6,1,36,0.28,229.2
MAA_FAR_025,46,6,6,1,37,0.22,231.6
MAA_FAR_025,47,0,6,0,37,0.22,234.02
