id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
MAR_CEC_015,999,2,0,5,0,1.77,123.9
MAR_CEC_015,999,3,5,6,0,2.42,133.69
MAR_CEC_015,999,1,1,1,1,2.91,143.7
MAR_CEC_015,0,0,0,0,1,0.86,169.44
MAR_CEC_015,1,3,0,6,0,0.87,178.02
MAR_CEC_015,2,6,0,6,0,1.48,187.08
MAR_CEC_015,3,0,0,0,1,1.36,196.15
MAR_CEC_015,4,3,0,6,0,1.26,205.06
MAR_CEC_015,5,0,0,0,1,0.78,213.71
MAR_CEC_015,6,1,1,1,1,1.83,223.06
MAR_CEC_015,7,4,0,6,0,0.91,231.33
MAR_CEC_015,8,0,0,0,1,0.64,239.43
MAR_CEC_015,9,3,0,6,0,0.64,247.84
MAR_CEC_015,10,2,0,5,0,1.19,256.91
MAR_CEC_015,11,1,0,1,0,1.32,266.1
MAR_CEC_015,12,5,1,6,0,1.0,274.74
MAR_CEC_015,13,3,1,6,0,1.07,283.2
MAR_CEC_015,14,1,1,1,1,0.98,291.88
MAR_CEC_015,15,1,0,1,0,1.27,300.48
MAR_CEC_015,16,2,1,5,0,0.99,308.96
MAR_CEC_015,17,2,0,5,0,1.02,317.35
MAR_CEC_015,18,0,0,0,1,3.27,328.47
MAR_CEC_015,19,5,0,6,0,0.92,336.8
MAR_CEC_015,20,2,0,5,0,2.01,346.65
MAR_CEC_015,21,1,0,1,0,1.18,355.24
MAR_CEC_015,22,3,0,6,0,1.11,364.08
MAR_CEC_015,23,0,0,0,1,0.99,372.78
MAR_CEC_015,24,4,6,6,1,1.68,382.11
MAR_CEC_015,25,2,1,5,0,1.32,391.03
MAR_CEC_015,26,2,0,5,0,1.39,400.12
MAR_CEC_015,27,4,0,6,0,0.92,408.68
MAR_CEC_015,28,0,0,0,1,1.33,417.64
MAR_CEC_015,29,2,0,5,0,1.18,426.49
MAR_CEC_015,30,4,0,6,0,1.14,435.25
MAR_CEC_015,31,0,0,0,1,1.17,443.79
MAR_CEC_015,32,6,0,6,0,1.09,452.62
MAR_CEC_015,33,4,0,6,0,1.31,461.81
MAR_CEC_015,34,5,5,6,0,1.09,470.72
MAR_CEC_015,35,5,0,6,0,1.58,479.92
MAR_CEC_015,36,5,1,6,0,1.77,489.13
MAR_CEC_015,37,5,0,6,0,1.4,498.24
MAR_CEC_015,38,6,0,6,0,1.28,506.94
MAR_CEC_015,39,1,0,1,0,1.33,516.01
MAR_CEC_015,40,0,1,0,0,1.72,525.4
MAR_CEC_015,41,0,0,0,1,1.15,534.18
MAR_CEC_015,42,2,0,5,0,1.27,543.1
MAR_CEC_015,43,2,0,5,0,1.16,551.82
MAR_CEC_015,44,5,0,6,0,1.33,560.98
MAR_CEC_015,45,0,0,0,1,1.15,569.81
MAR_CEC_015,46,3,0,6,0,1.62,579.12
MAR_CEC_015,47,0,0,0,1,1.2,587.67
MAR_CEC_015,48,0,0,0,1,1.14,596.67
MAR_CEC_015,49,4,0,6,0,1.15,605.56
MAR_CEC_015,50,1,0,1,0,1.14,614.36
MAR_CEC_015,51,1,1,1,1,1.11,623.23
MAR_CEC_015,52,3,0,6,0,1.15,632.1
MAR_CEC_015,53,1,0,1,0,1.08,640.84
MAR_CEC_015,54,2,0,5,0,1.14,649.75
MAR_CEC_015,55,6,1,6,0,0.93,658.36
MAR_CEC_015,56,2,0,5,0,1.13,667.17
MAR_CEC_015,57,0,0,0,1,1.4,676.29
MAR_CEC_015,58,3,1,6,0,1.19,685.15
MAR_CEC_015,59,1,0,1,0,1.04,694.05
MAR_CEC_015,60,3,0,6,0,1.02,702.9
MAR_CEC_015,61,3,0,6,0,1.15,711.72
MAR_CEC_015,62,3,0,6,0,1.27,720.39
MAR_CEC_015,63,1,0,1,0,1.0,729.05
MAR_CEC_015,64,0,0,0,1,0.98,737.68
MAR_CEC_015,65,4,0,6,0,1.16,746.53
MAR_CEC_015,66,3,1,6,0,1.04,755.26
MAR_CEC_015,67,2,0,5,0,1.05,763.68
MAR_CEC_015,68,5,5,6,0,1.97,773.0
MAR_CEC_015,69,2,0,5,0,0.96,781.66
MAR_CEC_015,70,5,0,6,0,1.2,790.27
MAR_CEC_015,71,6,1,6,0,1.1,799.0
MAR_CEC_015,72,2,0,5,0,0.96,807.36
MAR_CEC_015,73,0,0,0,1,1.02,816.02
MAR_CEC_015,74,1,0,1,0,1.21,824.94
MAR_CEC_015,75,2,5,5,1,1.41,833.99
MAR_CEC_015,76,2,1,5,0,4.16,845.89
MAR_CEC_015,77,1,0,1,0,1.21,854.8
MAR_CEC_015,78,4,1,6,0,1.12,863.61
MAR_CEC_015,79,2,5,5,1,1.12,872.38
MAR_CEC_015,80,2,0,5,0,1.56,881.82
MAR_CEC_015,81,0,0,0,1,1.62,890.85
MAR_CEC_015,82,4,0,6,0,22.22,920.54
MAR_CEC_015,83,4,0,6,0,0.54,928.74
MAR_CEC_015,84,2,6,5,0,1.13,937.24
MAR_CEC_015,85,4,1,6,0,0.91,945.56
MAR_CEC_015,86,3,0,6,0,0.85,954.32
MAR_CEC_015,87,1,0,1,0,0.66,962.65
MAR_CEC_015,88,0,0,0,1,0.56,970.88
MAR_CEC_015,89,0,0,0,1,0.52,979.11
MAR_CEC_015,90,0,0,0,1,0.43,986.97
MAR_CEC_015,91,1,1,1,1,1.34,996.14
MAR_CEC_015,92,5,1,6,0,0.79,1004.58
MAR_CEC_015,93,4,1,6,0,0.75,1012.75
MAR_CEC_015,94,6,0,6,0,0.73,1021.27
MAR_CEC_015,95,3,0,6,0,1.6,1030.72
MAR_CEC_015,96,5,0,6,0,1.03,1039.5
MAR_CEC_015,97,4,1,6,0,1.58,1048.73
MAR_CEC_015,98,1,0,1,0,1.63,1057.95
MAR_CEC_015,99,1,0,1,0,3.27,1068.64
MAR_CEC_015,100,0,0,0,1,1.25,1195.17
MAR_CEC_015,101,0,0,0,1,0.48,1200.94
MAR_CEC_015,102,2,5,5,1,1.84,1208.03
MAR_CEC_015,103,2,5,5,1,0.38,1213.66
MAR_CEC_015,104,3,5,6,0,0.58,1219.53
MAR_CEC_015,105,0,0,0,1,0.36,1225.15
MAR_CEC_015,106,4,6,6,1,0.66,1231.08
MAR_CEC_015,107,1,5,1,0,2.22,1238.59
MAR_CEC_015,108,1,0,1,0,0.51,1244.37
MAR_CEC_015,109,2,5,5,1,1.42,1251.05
MAR_CEC_015,110,0,0,0,1,0.81,1257.12
MAR_CEC_015,111,1,1,1,1,0.44,1262.83
MAR_CEC_015,112,3,1,6,0,0.83,1268.94
MAR_CEC_015,113,6,6,6,1,0.8,1275.01
MAR_CEC_015,114,6,5,6,0,1.29,1281.55
