id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
MAR_CEC_ 015,100,6,6,1,0,0.49,236.97
MAR_CEC_ 015,101,6,6,1,0,1.01,242.14
MAR_CEC_ 015,102,0,0,1,0,1.18,247.49
MAR_CEC_ 015,0,0,0,1,1,0.46,267.42
MAR_CEC_ 015,1,0,6,0,1,0.51,270.14
MAR_CEC_ 015,2,6,6,1,2,0.27,272.6
MAR_CEC_ 015,3,0,6,0,2,0.51,275.33
MAR_CEC_ 015,4,0,6,0,2,0.26,277.78
MAR_CEC_ 015,5,6,6,1,3,0.39,280.37
MAR_CEC_ 015,6,0,6,0,3,0.64,283.19
MAR_CEC_ 015,7,6,6,1,4,0.37,285.75
MAR_CEC_ 015,8,0,0,1,5,0.31,288.25
MAR_CEC_ 015,9,0,6,0,5,0.37,290.8
MAR_CEC_ 015,10,0,6,0,5,1.69,294.69
MAR_CEC_ 015,11,6,6,1,6,0.38,297.26
MAR_CEC_ 015,12,0,0,1,7,0.31,299.77
MAR_CEC_ 015,13,6,6,1,8,0.79,302.77
MAR_CEC_ 015,14,6,6,1,9,0.22,305.2
MAR_CEC_ 015,15,6,6,1,10,0.25,307.65
MAR_CEC_ 015,16,0,6,0,10,0.63,310.46
MAR_CEC_ 015,17,6,6,1,11,1.56,314.21
MAR_CEC_ 015,18,0,6,0,11,0.53,316.92
MAR_CEC_ 015,19,0,0,1,12,0.88,320.0
MAR_CEC_ 015,20,6,6,1,13,0.41,322.54
MAR_CEC_ 015,21,0,6,0,13,0.4,325.12
MAR_CEC_ 015,22,6,6,1,14,0.31,327.62
MAR_CEC_ 015,23,0,6,0,14,0.44,330.22
MAR_CEC_ 015,24,0,0,1,15,0.23,332.62
MAR_CEC_ 015,25,0,6,0,15,2.28,337.06
MAR_CEC_ 015,26,0,0,1,16,0.15,339.37
MAR_CEC_ 015,27,6,6,1,17,0.24,341.81
MAR_CEC_ 015,28,6,6,1,18,0.17,344.15
MAR_CEC_ 015,29,6,6,1,19,0.21,346.56
MAR_CEC_ 015,30,0,6,0,19,0.42,349.17
MAR_CEC_ 015,31,0,0,1,20,0.06,351.42
MAR_CEC_ 015,32,0,6,0,20,4.79,358.39
MAR_CEC_ 015,33,0,0,1,21,0.16,360.74
MAR_CEC_ 015,34,0,0,1,22,0.18,363.13
MAR_CEC_ 015,35,6,6,1,23,0.21,365.51
MAR_CEC_ 015,36,6,6,1,24,0.16,367.84
MAR_CEC_ 015,37,0,0,1,25,0.19,370.21
MAR_CEC_ 015,38,0,0,1,26,0.16,372.55
MAR_CEC_ 015,39,6,6,1,27,0.21,374.93
MAR_CEC_ 015,40,0,0,1,28,0.18,377.3
MAR_CEC_ 015,41,0,0,1,29,0.16,379.69
MAR_CEC_ 015,42,6,6,1,30,0.21,382.07
MAR_CEC_ 015,43,6,6,1,31,0.15,384.42
MAR_CEC_ 015,44,6,6,1,32,0.2,386.81
MAR_CEC_ 015,45,6,6,1,33,0.17,389.17
MAR_CEC_ 015,46,6,6,1,34,0.21,391.56
MAR_CEC_ 015,47,6,6,1,35,0.17,393.92
MAR_CEC_ 015,48,0,0,1,36,0.18,396.29
MAR_CEC_ 015,49,0,0,1,37,0.2,398.68
MAR_CEC_ 015,50,0,0,1,38,0.22,401.1
MAR_CEC_ 015,51,6,6,1,39,0.19,403.48
MAR_CEC_ 015,52,6,6,1,40,0.15,405.82
MAR_CEC_ 015,53,6,6,1,41,0.23,408.24
MAR_CEC_ 015,54,6,6,1,42,0.2,410.61
MAR_CEC_ 015,55,6,6,1,43,0.2,413.02
MAR_CEC_ 015,56,6,6,1,44,0.05,415.28
MAR_CEC_ 015,57,6,6,1,45,0.19,417.68
MAR_CEC_ 015,58,6,6,1,46,0.23,420.11
MAR_CEC_ 015,59,6,6,1,47,0.2,422.51
MAR_CEC_ 015,60,6,6,1,48,0.09,424.8
MAR_CEC_ 015,61,6,6,1,49,0.18,427.17
MAR_CEC_ 015,62,6,6,1,50,0.15,429.51
MAR_CEC_ 015,63,6,6,1,51,0.2,431.9
MAR_CEC_ 015,64,6,6,1,52,0.21,434.31
MAR_CEC_ 015,65,0,6,0,52,0.17,436.67
MAR_CEC_ 015,66,0,6,0,52,0.18,439.03
MAR_CEC_ 015,67,0,0,1,53,0.24,441.49
MAR_CEC_ 015,68,0,0,1,54,0.17,443.85
MAR_CEC_ 015,69,6,6,1,55,0.17,446.22
MAR_CEC_ 015,70,6,6,1,56,0.17,448.59
MAR_CEC_ 015,71,6,6,1,57,0.2,450.98
MAR_CEC_ 015,72,0,6,0,57,0.16,453.33
MAR_CEC_ 015,73,0,0,1,58,0.43,455.98
MAR_CEC_ 015,74,0,0,1,59,0.71,458.91
MAR_CEC_ 015,75,6,6,1,60,0.3,461.39
MAR_CEC_ 015,76,6,6,1,61,0.18,463.76
MAR_CEC_ 015,77,0,6,0,61,0.31,466.26
MAR_CEC_ 015,78,6,6,1,62,0.17,468.6
MAR_CEC_ 015,79,0,6,0,62,1.59,472.38
MAR_CEC_ 015,80,0,6,0,62,1.74,476.33
MAR_CEC_ 015,81,0,0,1,63,0.33,478.87
MAR_CEC_ 015,82,6,6,1,64,0.22,481.29
MAR_CEC_ 015,83,6,6,1,65,0.22,483.71
MAR_CEC_ 015,84,0,0,1,66,0.31,486.23
MAR_CEC_ 015,85,6,6,1,67,0.23,488.67
MAR_CEC_ 015,86,6,6,1,68,0.15,491.02
MAR_CEC_ 015,87,6,6,1,69,1.31,494.55
MAR_CEC_ 015,88,0,6,0,69,0.44,497.21
MAR_CEC_ 015,89,6,6,1,70,0.18,499.58
MAR_CEC_ 015,90,6,0,0,70,0.16,501.95
MAR_CEC_ 015,91,6,6,1,71,0.16,504.33
MAR_CEC_ 015,92,0,6,0,71,0.21,506.75
MAR_CEC_ 015,93,6,6,1,72,0.16,509.11
MAR_CEC_ 015,94,6,6,1,73,0.44,511.75
MAR_CEC_ 015,95,6,6,1,74,0.41,514.34
MAR_CEC_ 015,96,6,6,1,75,0.19,516.72
MAR_CEC_ 015,97,0,0,1,76,0.18,519.11
MAR_CEC_ 015,98,0,0,1,77,0.91,522.21
MAR_CEC_ 015,99,0,6,0,77,0.69,525.11
