id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
MAR_NIC_033,999,2,5,5,1,4.79,245.88
MAR_NIC_033,999,3,1,6,0,5.85,259.12
MAR_NIC_033,999,1,0,1,0,1.28,267.49
MAR_NIC_033,0,0,1,0,0,2.4,294.16
MAR_NIC_033,1,3,5,6,0,1.91,303.75
MAR_NIC_033,2,6,5,6,0,1.42,312.81
MAR_NIC_033,3,0,0,0,1,0.63,321.13
MAR_NIC_033,4,3,1,6,0,1.97,330.77
MAR_NIC_033,5,0,1,0,0,6.08,344.69
MAR_NIC_033,6,1,0,1,0,1.12,353.28
MAR_NIC_033,7,4,1,6,0,0.86,361.49
MAR_NIC_033,8,0,0,0,1,0.88,369.8
MAR_NIC_033,9,3,5,6,0,0.91,378.43
MAR_NIC_033,10,2,1,5,0,0.91,387.22
MAR_NIC_033,11,1,0,1,0,1.91,396.97
MAR_NIC_033,12,5,1,6,0,1.02,405.65
MAR_NIC_033,13,3,1,6,0,0.96,414.02
MAR_NIC_033,14,1,0,1,0,1.26,422.92
MAR_NIC_033,15,1,0,1,0,1.82,432.08
MAR_NIC_033,16,2,0,5,0,0.67,440.23
MAR_NIC_033,17,2,1,5,0,0.45,448.05
MAR_NIC_033,18,0,0,0,1,0.99,456.89
MAR_NIC_033,19,5,0,6,0,1.14,465.42
MAR_NIC_033,20,2,1,5,0,0.96,474.18
MAR_NIC_033,21,1,0,1,0,0.73,482.33
MAR_NIC_033,22,3,0,6,0,1.42,491.43
MAR_NIC_033,23,0,0,0,1,1.2,500.33
MAR_NIC_033,24,4,0,6,0,5.09,513.02
MAR_NIC_033,25,2,1,5,0,1.3,521.92
MAR_NIC_033,26,2,0,5,0,3.2,532.81
MAR_NIC_033,27,4,0,6,0,0.61,541.09
MAR_NIC_033,28,0,0,0,1,0.49,549.15
MAR_NIC_033,29,2,0,5,0,0.98,557.76
MAR_NIC_033,30,4,1,6,0,0.54,565.88
MAR_NIC_033,31,0,0,0,1,0.49,573.75
MAR_NIC_033,32,6,5,6,0,1.94,583.44
MAR_NIC_033,33,4,1,6,0,0.88,592.16
MAR_NIC_033,34,5,0,6,0,0.38,600.38
MAR_NIC_033,35,5,1,6,0,0.51,608.51
MAR_NIC_033,36,5,5,6,0,0.87,616.83
MAR_NIC_033,37,5,1,6,0,0.68,625.21
MAR_NIC_033,38,6,1,6,0,1.96,634.61
MAR_NIC_033,39,1,0,1,0,2.44,644.74
MAR_NIC_033,40,0,1,0,0,1.02,653.39
MAR_NIC_033,41,0,0,0,1,0.89,661.92
MAR_NIC_033,42,2,0,5,0,0.37,669.9
MAR_NIC_033,43,2,0,5,0,0.47,677.94
MAR_NIC_033,44,5,1,6,0,0.83,686.57
MAR_NIC_033,45,0,0,0,1,0.69,694.94
MAR_NIC_033,46,3,1,6,0,0.49,703.11
MAR_NIC_033,47,0,0,0,1,0.71,711.21
MAR_NIC_033,48,0,0,0,1,0.45,719.51
MAR_NIC_033,49,4,0,6,0,0.66,727.89
MAR_NIC_033,50,1,0,1,0,0.84,736.39
MAR_NIC_033,51,1,1,1,1,0.82,744.94
MAR_NIC_033,52,3,0,6,0,0.72,753.35
MAR_NIC_033,53,1,0,1,0,1.03,762.01
MAR_NIC_033,54,2,0,5,0,1.98,771.73
MAR_NIC_033,55,6,5,6,0,1.36,780.77
MAR_NIC_033,56,2,0,5,0,0.82,789.3
MAR_NIC_033,57,0,0,0,1,0.37,797.42
MAR_NIC_033,58,3,5,6,0,1.16,806.26
MAR_NIC_033,59,1,0,1,0,0.8,814.9
MAR_NIC_033,60,3,0,6,0,1.07,823.79
MAR_NIC_033,61,3,1,6,0,0.78,832.26
MAR_NIC_033,62,3,1,6,0,0.69,840.37
MAR_NIC_033,63,1,0,1,0,1.72,849.79
MAR_NIC_033,64,0,0,0,1,0.55,858.02
