id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
MAZ_CER_017,999,2,5,5,1,2.41,157.41
MAZ_CER_017,999,3,6,6,1,1.54,166.34
MAZ_CER_017,999,1,5,1,0,4.29,177.72
MAZ_CER_017,0,0,5,0,0,10.98,213.32
MAZ_CER_017,1,3,1,6,0,3.61,224.56
MAZ_CER_017,2,6,5,6,0,3.74,235.9
MAZ_CER_017,3,0,6,0,0,1.11,244.66
MAZ_CER_017,4,3,5,6,0,2.05,254.38
MAZ_CER_017,5,0,1,0,0,2.05,264.28
MAZ_CER_017,6,1,0,1,0,1.67,273.42
MAZ_CER_017,7,4,0,6,0,1.88,282.66
MAZ_CER_017,8,0,0,0,1,1.36,291.51
MAZ_CER_017,9,3,5,6,0,7.55,306.83
MAZ_CER_017,10,2,0,5,0,2.41,317.11
MAZ_CER_017,11,1,1,1,1,11.99,336.94
MAZ_CER_017,12,5,5,6,0,2.29,346.89
MAZ_CER_017,13,3,0,6,0,1.67,355.95
MAZ_CER_017,14,1,0,1,0,1.66,365.28
MAZ_CER_017,15,1,1,1,1,1.16,373.78
MAZ_CER_017,16,2,0,5,0,1.46,382.68
MAZ_CER_017,17,2,1,5,0,1.7,391.76
MAZ_CER_017,18,0,0,0,1,1.17,400.8
MAZ_CER_017,19,5,0,6,0,0.96,409.16
MAZ_CER_017,20,2,1,5,0,1.99,419.08
MAZ_CER_017,21,1,0,1,0,1.2,427.66
MAZ_CER_017,22,3,1,6,0,5.81,441.23
MAZ_CER_017,23,0,1,0,0,2.05,451.0
MAZ_CER_017,24,4,1,6,0,1.38,459.99
MAZ_CER_017,25,2,1,5,0,0.96,468.58
MAZ_CER_017,26,2,0,5,0,1.01,477.28
MAZ_CER_017,27,4,0,6,0,2.43,487.38
MAZ_CER_017,28,0,1,0,0,1.5,496.48
MAZ_CER_017,29,2,0,5,0,1.03,505.17
MAZ_CER_017,30,4,1,6,0,1.14,513.92
MAZ_CER_017,31,0,0,0,1,1.02,522.36
MAZ_CER_017,32,6,5,6,0,1.76,531.83
MAZ_CER_017,33,4,1,6,0,1.04,540.71
MAZ_CER_017,34,5,1,6,0,1.08,549.63
MAZ_CER_017,35,5,0,6,0,1.34,558.64
MAZ_CER_017,36,5,0,6,0,1.27,567.4
MAZ_CER_017,37,5,1,6,0,1.05,576.15
MAZ_CER_017,38,6,1,6,0,1.28,584.84
MAZ_CER_017,39,1,1,1,1,1.16,593.72
MAZ_CER_017,40,0,0,0,1,0.95,602.31
MAZ_CER_017,41,0,0,0,1,1.35,611.29
MAZ_CER_017,42,2,0,5,0,0.98,619.94
MAZ_CER_017,43,2,0,5,0,2.4,629.93
MAZ_CER_017,44,5,5,6,0,1.25,639.01
MAZ_CER_017,45,0,0,0,1,1.38,648.07
MAZ_CER_017,46,3,0,6,0,0.98,656.77
MAZ_CER_017,47,0,0,0,1,1.48,665.6
MAZ_CER_017,48,0,0,0,1,1.28,674.78
MAZ_CER_017,49,4,1,6,0,1.31,683.78
MAZ_CER_017,50,1,0,1,0,1.11,692.54
MAZ_CER_017,51,1,0,1,0,1.13,701.42
MAZ_CER_017,52,3,0,6,0,0.79,709.9
MAZ_CER_017,53,1,1,1,1,1.27,718.79
MAZ_CER_017,54,2,0,5,0,0.7,727.25
MAZ_CER_017,55,6,5,6,0,1.76,736.67
MAZ_CER_017,56,2,0,5,0,1.0,745.31
MAZ_CER_017,57,0,0,0,1,2.12,755.16
MAZ_CER_017,58,3,1,6,0,3.03,765.88
MAZ_CER_017,59,1,1,1,1,1.91,775.65
MAZ_CER_017,60,3,0,6,0,9.99,793.47
MAZ_CER_017,61,3,1,6,0,6.42,807.56
MAZ_CER_017,62,3,1,6,0,6.19,821.1
MAZ_CER_017,63,1,0,1,0,1.72,830.52
MAZ_CER_017,64,0,0,0,1,0.84,838.96
MAZ_CER_017,65,4,6,6,1,0.41,847.1
MAZ_CER_017,66,3,0,6,0,0.91,855.72
MAZ_CER_017,67,2,5,5,1,4.28,867.37
MAZ_CER_017,68,5,5,6,0,1.16,875.87
MAZ_CER_017,69,2,0,5,0,1.25,884.81
MAZ_CER_017,70,5,1,6,0,0.79,893.0
MAZ_CER_017,71,6,1,6,0,0.99,901.6
MAZ_CER_017,72,2,0,5,0,1.27,910.25
MAZ_CER_017,73,0,0,0,1,7.13,925.02
MAZ_CER_017,74,1,0,1,0,0.73,933.49
MAZ_CER_017,75,2,5,5,1,1.94,943.08
MAZ_CER_017,76,2,5,5,1,2.4,953.2
MAZ_CER_017,77,1,0,1,0,2.61,963.46
MAZ_CER_017,78,4,1,6,0,0.95,972.08
MAZ_CER_017,79,2,0,5,0,0.69,980.42
MAZ_CER_017,80,2,0,5,0,0.92,989.23
MAZ_CER_017,81,0,0,0,1,1.94,998.58
MAZ_CER_017,82,4,0,6,0,3.33,1009.4
MAZ_CER_017,83,4,0,6,0,1.22,1018.22
MAZ_CER_017,84,2,1,5,0,0.96,1026.53
MAZ_CER_017,85,4,1,6,0,0.82,1034.77
MAZ_CER_017,86,3,1,6,0,1.13,1043.76
MAZ_CER_017,87,1,0,1,0,0.88,1052.31
MAZ_CER_017,88,0,1,0,0,25.25,1085.28
MAZ_CER_017,89,0,0,0,1,2.47,1095.45
MAZ_CER_017,90,0,0,0,1,1.86,1104.73
MAZ_CER_017,91,1,1,1,1,2.05,1114.6
MAZ_CER_017,92,5,5,6,0,15.03,1137.26
MAZ_CER_017,93,4,5,6,0,2.06,1146.73
MAZ_CER_017,94,6,6,6,1,1.45,1155.9
MAZ_CER_017,95,3,1,6,0,1.38,1165.12
MAZ_CER_017,96,5,1,6,0,11.92,1184.74
MAZ_CER_017,97,4,0,6,0,1.46,1193.86
MAZ_CER_017,98,1,0,1,0,1.0,1202.46
MAZ_CER_017,99,1,0,1,0,21.83,1231.71
MAZ_CER_017,100,0,0,0,1,1.54,1358.53
MAZ_CER_017,101,0,0,0,1,0.62,1364.37
MAZ_CER_017,102,2,5,5,1,1.45,1371.05
MAZ_CER_017,103,2,5,5,1,0.93,1377.21
MAZ_CER_017,104,3,6,6,1,0.89,1383.35
MAZ_CER_017,105,0,0,0,1,0.91,1389.45
MAZ_CER_017,106,4,6,6,1,1.12,1395.81
MAZ_CER_017,107,1,1,1,1,0.98,1402.05
MAZ_CER_017,108,1,0,1,0,2.04,1409.3
MAZ_CER_017,109,2,5,5,1,1.32,1415.84
MAZ_CER_017,110,0,5,0,0,6.32,1427.41
MAZ_CER_017,111,1,1,1,1,0.97,1433.59
MAZ_CER_017,112,3,5,6,0,2.3,1441.12
MAZ_CER_017,113,6,6,6,1,0.94,1447.33
MAZ_CER_017,114,6,6,6,1,0.32,1452.89
MAZ_CER_017,115,1,1,1,1,2.93,1461.05
MAZ_CER_017,116,2,1,5,0,2.6,1468.91
MAZ_CER_017,117,6,6,6,1,0.48,1474.65
MAZ_CER_017,118,5,6,6,1,0.66,1480.56
MAZ_CER_017,119,4,6,6,1,0.97,1486.73
MAZ_CER_017,120,3,5,6,0,1.47,1493.42
MAZ_CER_017,121,0,0,0,1,0.93,1499.6
MAZ_CER_017,122,4,6,6,1,4.76,1509.58
MAZ_CER_017,123,4,6,6,1,0.75,1515.57
MAZ_CER_017,124,0,5,0,0,11.24,1532.05
MAZ_CER_017,125,0,0,0,1,2.27,1539.57
MAZ_CER_017,126,2,5,5,1,5.46,1550.26
MAZ_CER_017,127,4,6,6,1,23.45,1578.97
MAZ_CER_017,128,3,5,6,0,1.55,1585.79
