id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
MEL_JUL_069,999,2,5,5,1,3.28,189.67
MEL_JUL_069,999,3,1,6,0,1.47,198.49
MEL_JUL_069,999,1,5,1,0,1.5,207.09
MEL_JUL_069,0,0,0,0,1,2.03,241.56
MEL_JUL_069,1,3,0,6,0,2.16,251.37
MEL_JUL_069,2,6,6,6,1,1.69,260.66
MEL_JUL_069,3,0,0,0,1,2.45,270.8
MEL_JUL_069,4,3,0,6,0,1.31,279.73
MEL_JUL_069,5,0,0,0,1,1.41,288.96
MEL_JUL_069,6,1,0,1,0,2.28,298.7
MEL_JUL_069,7,4,0,6,0,2.39,308.41
MEL_JUL_069,8,0,0,0,1,0.79,316.67
MEL_JUL_069,9,3,1,6,0,2.12,326.52
MEL_JUL_069,10,2,1,5,0,0.97,335.35
MEL_JUL_069,11,1,0,1,0,1.9,345.06
MEL_JUL_069,12,5,1,6,0,0.84,353.54
MEL_JUL_069,13,3,0,6,0,1.33,362.23
MEL_JUL_069,14,1,1,1,1,1.18,371.06
MEL_JUL_069,15,1,5,1,0,1.33,379.72
MEL_JUL_069,16,2,1,5,0,2.67,389.88
MEL_JUL_069,17,2,1,5,0,0.72,397.98
MEL_JUL_069,18,0,1,0,0,2.07,407.88
MEL_JUL_069,19,5,1,6,0,0.47,415.74
MEL_JUL_069,20,2,1,5,0,0.61,424.15
MEL_JUL_069,21,1,5,1,0,2.41,433.95
MEL_JUL_069,22,3,1,6,0,0.88,442.54
MEL_JUL_069,23,0,0,0,1,1.55,451.81
MEL_JUL_069,24,4,1,6,0,0.7,460.12
MEL_JUL_069,25,2,5,5,1,0.68,468.43
MEL_JUL_069,26,2,0,5,0,1.0,477.09
MEL_JUL_069,27,4,5,6,0,0.71,485.42
MEL_JUL_069,28,0,0,0,1,1.55,494.58
MEL_JUL_069,29,2,1,5,0,1.11,503.36
MEL_JUL_069,30,4,0,6,0,3.08,514.0
MEL_JUL_069,31,0,0,0,1,1.79,523.15
MEL_JUL_069,32,6,1,6,0,0.98,531.82
MEL_JUL_069,33,4,0,6,0,1.0,540.64
MEL_JUL_069,34,5,0,6,0,0.93,549.42
MEL_JUL_069,35,5,0,6,0,1.22,558.28
MEL_JUL_069,36,5,6,6,1,0.94,566.67
MEL_JUL_069,37,5,1,6,0,1.35,575.69
MEL_JUL_069,38,6,1,6,0,0.86,583.95
MEL_JUL_069,39,1,1,1,1,0.87,592.51
MEL_JUL_069,40,0,1,0,0,0.74,600.88
MEL_JUL_069,41,0,0,0,1,0.53,609.07
MEL_JUL_069,42,2,0,5,0,0.61,617.3
MEL_JUL_069,43,2,0,5,0,1.27,626.18
MEL_JUL_069,44,5,6,6,1,1.5,635.49
MEL_JUL_069,45,0,0,0,1,0.87,644.03
MEL_JUL_069,46,3,5,6,0,0.69,652.4
MEL_JUL_069,47,0,0,0,1,0.9,660.66
MEL_JUL_069,48,0,0,0,1,0.95,669.48
MEL_JUL_069,49,4,5,6,0,0.99,678.15
MEL_JUL_069,50,1,1,1,1,0.85,686.63
MEL_JUL_069,51,1,0,1,0,0.51,694.83
MEL_JUL_069,52,3,0,6,0,0.45,702.96
MEL_JUL_069,53,1,1,1,1,0.49,711.05
MEL_JUL_069,54,2,0,5,0,1.55,720.33
MEL_JUL_069,55,6,0,6,0,4.66,732.65
MEL_JUL_069,56,2,0,5,0,3.2,743.51
MEL_JUL_069,57,0,0,0,1,0.5,751.71
MEL_JUL_069,58,3,0,6,0,0.71,760.1
MEL_JUL_069,59,1,1,1,1,0.62,768.57
MEL_JUL_069,60,3,1,6,0,0.9,777.3
MEL_JUL_069,61,3,1,6,0,0.87,785.83
MEL_JUL_069,62,3,0,6,0,0.53,793.81
MEL_JUL_069,63,1,0,1,0,0.51,802.01
MEL_JUL_069,64,0,0,0,1,0.72,810.4
MEL_JUL_069,65,4,0,6,0,0.66,818.74
MEL_JUL_069,66,3,1,6,0,0.59,827.02
MEL_JUL_069,67,2,1,5,0,0.71,835.14
MEL_JUL_069,68,5,1,6,0,0.64,843.13
MEL_JUL_069,69,2,0,5,0,0.76,851.58
MEL_JUL_069,70,5,6,6,1,1.27,860.21
MEL_JUL_069,71,6,5,6,0,0.59,868.49
MEL_JUL_069,72,2,1,5,0,0.74,876.62
MEL_JUL_069,73,0,0,0,1,0.74,884.97
MEL_JUL_069,74,1,0,1,0,0.93,893.63
MEL_JUL_069,75,2,5,5,1,0.56,901.86
MEL_JUL_069,76,2,0,5,0,0.8,910.38
MEL_JUL_069,77,1,0,1,0,0.61,918.64
MEL_JUL_069,78,4,1,6,0,0.72,927.03
