id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
MKA_RIM_041,100,29,45,29,29,1,common,0,1.44,23.21
MKA_RIM_041,101,52,66,52,52,1,common,0,1.35,29.29
MKA_RIM_041,102,53,44,53,44,0,common,0,1.45,35.47
MKA_RIM_041,0,44,24,24,24,1,common,1,1.52,54.27
MKA_RIM_041,1,29,23,23,23,1,common,2,1.36,58.39
MKA_RIM_041,2,12,27,12,12,1,common,3,2.0,63.09
MKA_RIM_041,3,65,74,65,65,1,common,4,2.27,68.11
MKA_RIM_041,4,75,90,75,75,1,common,5,1.38,72.25
MKA_RIM_041,5,12,18,12,12,1,common,6,3.86,78.83
MKA_RIM_041,6,9,16,9,9,1,common,7,0.69,82.26
MKA_RIM_041,7,40,25,40,40,1,common,8,3.85,88.87
MKA_RIM_041,8,60,75,60,60,1,common,9,1.69,93.31
MKA_RIM_041,9,25,43,25,25,1,common,10,1.42,97.44
MKA_RIM_041,10,15,26,15,15,1,common,11,1.67,101.84
MKA_RIM_041,11,71,54,71,54,0,common,11,3.33,107.95
MKA_RIM_041,12,46,29,29,29,1,common,12,1.54,112.21
MKA_RIM_041,13,33,53,33,33,1,common,13,1.44,116.45
MKA_RIM_041,14,52,38,38,38,1,common,14,2.92,122.12
MKA_RIM_041,15,24,44,24,24,1,common,15,1.68,126.55
MKA_RIM_041,16,13,12,13,12,0,common,15,4.27,133.53
MKA_RIM_041,17,64,58,64,58,0,common,15,3.59,139.88
MKA_RIM_041,18,31,13,13,13,1,common,16,1.4,144.0
MKA_RIM_041,19,98,88,88,88,1,common,17,1.45,148.21
MKA_RIM_041,20,43,31,31,31,1,common,18,1.31,152.29
MKA_RIM_041,21,36,25,25,25,1,common,19,2.66,157.67
MKA_RIM_041,22,29,42,29,29,1,common,20,2.14,162.53
MKA_RIM_041,23,32,20,32,20,0,common,20,4.94,170.18
MKA_RIM_041,24,19,36,36,36,1,common,21,3.92,176.84
MKA_RIM_041,25,48,36,36,36,1,common,22,1.2,180.83
MKA_RIM_041,26,33,13,13,13,1,common,23,1.41,184.96
MKA_RIM_041,27,35,45,35,35,1,common,24,1.43,189.17
MKA_RIM_041,28,24,35,24,24,1,common,25,6.34,198.25
MKA_RIM_041,29,45,28,28,28,1,common,26,2.32,203.35
MKA_RIM_041,30,13,30,13,13,1,common,27,1.36,207.45
MKA_RIM_041,31,36,17,36,36,1,common,28,2.5,212.69
MKA_RIM_041,32,74,62,62,62,1,common,29,1.33,216.79
MKA_RIM_041,33,26,31,26,26,1,common,30,4.19,223.71
MKA_RIM_041,34,28,38,38,28,0,common,30,5.99,232.44
MKA_RIM_041,35,72,81,72,72,1,common,31,1.32,236.49
MKA_RIM_041,36,16,21,16,16,1,common,32,3.46,242.67
MKA_RIM_041,37,21,36,36,36,1,common,33,2.17,247.61
MKA_RIM_041,38,16,36,16,16,1,common,34,1.34,251.69
MKA_RIM_041,39,8,16,8,8,1,common,35,2.07,256.48
MKA_RIM_041,40,12,18,12,12,1,common,36,1.94,261.17
MKA_RIM_041,41,67,76,67,67,1,common,37,3.44,267.42
MKA_RIM_041,42,92,84,84,84,1,common,38,1.09,271.3
MKA_RIM_041,43,34,14,14,14,1,common,39,1.98,276.01
MKA_RIM_041,44,9,14,9,9,1,common,40,0.76,279.5
MKA_RIM_041,45,83,103,83,83,1,common,41,1.24,283.53
MKA_RIM_041,46,33,23,33,23,0,common,41,4.73,290.97
MKA_RIM_041,47,28,19,28,28,1,common,42,1.96,295.66
MKA_RIM_041,48,30,41,30,30,1,common,43,1.59,299.98
MKA_RIM_041,49,53,35,35,35,1,common,44,1.57,304.33
MKA_RIM_041,50,34,33,33,33,1,pro,45,2.57,309.62
MKA_RIM_041,51,86,81,86,81,0,pro,45,3.19,315.55
MKA_RIM_041,52,33,52,52,33,0,pro,45,2.95,321.22
MKA_RIM_041,53,44,30,30,30,1,pro,46,1.24,325.23
MKA_RIM_041,54,30,35,30,30,1,pro,47,2.67,330.63
MKA_RIM_041,55,20,52,52,52,1,pro,48,1.0,334.41
MKA_RIM_041,56,31,52,52,52,1,pro,49,1.93,339.09
MKA_RIM_041,57,24,32,24,24,1,pro,50,1.04,342.85
MKA_RIM_041,58,35,60,60,60,1,pro,51,2.98,348.57
MKA_RIM_041,59,27,32,32,32,1,pro,52,2.34,353.65
MKA_RIM_041,60,20,31,31,20,0,pro,52,3.39,359.78
MKA_RIM_041,61,29,23,23,23,1,pro,53,1.26,363.79
MKA_RIM_041,62,24,14,14,24,0,pro,53,3.32,369.85
MKA_RIM_041,63,32,51,32,32,1,pro,54,2.29,374.9
MKA_RIM_041,64,30,11,11,11,1,pro,55,0.87,378.53
MKA_RIM_041,65,72,53,53,53,1,pro,56,3.13,384.42
MKA_RIM_041,66,41,51,41,41,1,pro,57,1.24,388.4
MKA_RIM_041,67,26,42,26,26,1,pro,58,2.94,394.11
MKA_RIM_041,68,48,23,48,48,1,pro,59,3.59,400.45
MKA_RIM_041,69,30,56,30,56,0,pro,59,5.14,408.33
MKA_RIM_041,70,43,62,43,43,1,pro,60,2.2,413.31
MKA_RIM_041,71,44,50,44,44,1,pro,61,1.88,417.96
MKA_RIM_041,72,20,14,14,20,0,pro,61,5.86,426.57
MKA_RIM_041,73,26,32,26,26,1,pro,62,1.92,431.21
MKA_RIM_041,74,19,39,19,19,1,pro,63,0.84,434.8
MKA_RIM_041,75,14,24,14,24,0,pro,63,6.04,443.56
MKA_RIM_041,76,55,70,70,55,0,pro,63,4.35,450.66
MKA_RIM_041,77,6,15,6,6,1,pro,64,0.87,454.25
MKA_RIM_041,78,31,44,31,31,1,pro,65,1.83,458.81
MKA_RIM_041,79,28,60,60,60,1,pro,66,1.6,463.16
MKA_RIM_041,80,20,31,20,20,1,pro,67,4.35,470.22
MKA_RIM_041,81,36,23,23,36,0,pro,67,1.24,474.18
MKA_RIM_041,82,80,63,63,63,1,pro,68,2.61,479.57
MKA_RIM_041,83,28,8,8,8,1,pro,69,1.14,483.42
MKA_RIM_041,84,21,32,32,32,1,pro,70,3.58,489.79
MKA_RIM_041,85,41,29,29,29,1,pro,71,2.22,494.75
MKA_RIM_041,86,40,22,40,40,1,pro,72,3.69,501.17
MKA_RIM_041,87,27,14,14,14,1,pro,73,1.26,505.17
MKA_RIM_041,88,32,48,32,48,0,pro,73,4.22,512.14
MKA_RIM_041,89,29,42,29,29,1,pro,74,2.46,517.37
MKA_RIM_041,90,92,81,81,81,1,pro,75,1.46,521.66
MKA_RIM_041,91,22,20,20,20,1,pro,76,4.18,528.57
MKA_RIM_041,92,45,32,32,32,1,pro,77,1.12,532.43
MKA_RIM_041,93,49,33,33,33,1,pro,78,2.56,537.76
MKA_RIM_041,94,58,41,58,41,0,pro,78,2.58,543.11
MKA_RIM_041,95,22,36,36,36,1,pro,79,3.47,549.32
MKA_RIM_041,96,77,83,83,77,0,pro,79,2.26,554.37
MKA_RIM_041,97,68,62,62,62,1,pro,80,2.13,559.31
MKA_RIM_041,98,17,22,17,17,1,pro,81,3.53,565.58
MKA_RIM_041,99,18,29,18,18,1,pro,82,3.13,571.46
