id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
MKA_RIM_041,999,2,1,5,0,2.98,71.05
MKA_RIM_041,999,3,5,6,0,3.21,81.62
MKA_RIM_041,999,1,1,1,1,2.48,91.21
MKA_RIM_041,0,0,1,0,0,3.19,117.85
MKA_RIM_041,1,3,5,6,0,3.01,128.48
MKA_RIM_041,2,6,1,6,0,2.07,138.17
MKA_RIM_041,3,0,0,0,1,2.39,148.24
MKA_RIM_041,4,3,0,6,0,2.46,158.34
MKA_RIM_041,5,0,0,0,1,2.48,168.64
MKA_RIM_041,6,1,1,1,1,1.02,177.13
MKA_RIM_041,7,4,0,6,0,1.71,186.19
MKA_RIM_041,8,0,1,0,0,2.79,196.43
MKA_RIM_041,9,3,6,6,1,2.98,207.14
MKA_RIM_041,10,2,1,5,0,2.16,217.14
MKA_RIM_041,11,1,1,1,1,1.49,226.47
MKA_RIM_041,12,5,0,6,0,1.81,235.94
MKA_RIM_041,13,3,0,6,0,1.74,245.08
MKA_RIM_041,14,1,0,1,0,1.06,253.82
MKA_RIM_041,15,1,0,1,0,1.05,262.23
MKA_RIM_041,16,2,0,5,0,3.24,272.94
MKA_RIM_041,17,2,0,5,0,1.26,281.59
MKA_RIM_041,18,0,0,0,1,1.6,291.03
MKA_RIM_041,19,5,0,6,0,0.99,299.4
MKA_RIM_041,20,2,0,5,0,0.8,307.99
MKA_RIM_041,21,1,0,1,0,1.04,316.46
MKA_RIM_041,22,3,1,6,0,0.63,324.79
MKA_RIM_041,23,0,0,0,1,0.58,333.09
MKA_RIM_041,24,4,5,6,0,2.02,342.72
MKA_RIM_041,25,2,1,5,0,1.57,351.9
MKA_RIM_041,26,2,0,5,0,0.83,360.41
MKA_RIM_041,27,4,0,6,0,0.89,368.92
MKA_RIM_041,28,0,0,0,1,0.5,377.02
MKA_RIM_041,29,2,1,5,0,1.22,385.85
MKA_RIM_041,30,4,0,6,0,1.37,394.81
MKA_RIM_041,31,0,0,0,1,0.72,402.9
MKA_RIM_041,32,6,1,6,0,1.24,411.85
MKA_RIM_041,33,4,0,6,0,0.9,420.62
MKA_RIM_041,34,5,0,6,0,1.03,429.49
MKA_RIM_041,35,5,0,6,0,0.77,437.92
MKA_RIM_041,36,5,1,6,0,1.09,446.48
MKA_RIM_041,37,5,1,6,0,0.91,455.06
MKA_RIM_041,38,0,0,0,1,0.9,94.99
MKA_RIM_041,39,3,0,6,0,0.88,103.5
MKA_RIM_041,40,0,1,0,0,2.04,113.35
MKA_RIM_041,41,1,0,1,0,0.79,121.6
MKA_RIM_041,42,4,1,6,0,1.3,130.24
MKA_RIM_041,43,0,0,0,1,0.91,138.64
MKA_RIM_041,44,3,1,6,0,1.32,147.7
MKA_RIM_041,45,2,1,5,0,0.79,156.38
MKA_RIM_041,46,1,1,1,1,1.02,165.21
MKA_RIM_041,47,5,1,6,0,0.67,173.53
MKA_RIM_041,48,3,0,6,0,0.9,181.83
MKA_RIM_041,49,1,0,1,0,1.1,190.6
MKA_RIM_041,50,1,1,1,1,0.99,198.94
MKA_RIM_041,51,2,1,5,0,0.51,206.94
MKA_RIM_041,52,2,1,5,0,0.89,215.2
MKA_RIM_041,53,0,0,0,1,0.98,223.99
MKA_RIM_041,54,5,0,6,0,0.9,232.3
MKA_RIM_041,55,2,1,5,0,1.17,241.26
MKA_RIM_041,56,1,0,1,0,1.12,249.74
MKA_RIM_041,57,3,1,6,0,0.66,258.12
MKA_RIM_041,58,0,0,0,1,0.76,266.59
MKA_RIM_041,59,4,1,6,0,0.88,275.06
MKA_RIM_041,60,2,1,5,0,0.79,283.47
MKA_RIM_041,61,2,1,5,0,1.18,292.32
MKA_RIM_041,62,4,5,6,0,2.87,302.84
MKA_RIM_041,63,0,0,0,1,0.62,311.05
MKA_RIM_041,64,2,0,5,0,0.98,319.66
MKA_RIM_041,65,4,1,6,0,0.92,328.17
MKA_RIM_041,66,0,0,0,1,0.88,336.42
MKA_RIM_041,67,6,6,6,1,1.06,345.18
MKA_RIM_041,68,4,1,6,0,1.59,354.61
MKA_RIM_041,69,5,0,6,0,0.92,363.32
MKA_RIM_041,70,5,1,6,0,1.25,372.2
MKA_RIM_041,71,5,0,6,0,0.75,380.38
MKA_RIM_041,72,5,5,6,0,2.02,390.07
MKA_RIM_041,73,6,5,6,0,1.3,398.77
MKA_RIM_041,74,1,0,1,0,0.87,407.35
MKA_RIM_041,75,0,0,0,1,0.95,415.92
MKA_RIM_041,76,0,0,0,1,0.92,424.47
MKA_RIM_041,77,2,0,5,0,0.96,433.04
MKA_RIM_041,78,2,0,5,0,0.65,441.28
MKA_RIM_041,79,5,1,6,0,1.18,450.26
MKA_RIM_041,80,0,0,0,1,0.66,458.59
MKA_RIM_041,81,3,0,6,0,0.71,466.98
MKA_RIM_041,82,0,0,0,1,0.51,474.82
MKA_RIM_041,83,0,0,0,1,0.59,483.25
MKA_RIM_041,84,4,0,6,0,0.65,491.6
MKA_RIM_041,85,1,1,1,1,1.91,501.16
MKA_RIM_041,86,1,1,1,1,1.2,510.13
MKA_RIM_041,87,3,0,6,0,0.83,518.63
MKA_RIM_041,88,1,1,1,1,0.86,527.12
MKA_RIM_041,89,2,0,5,0,1.0,535.84
MKA_RIM_041,90,6,5,6,0,2.57,546.07
MKA_RIM_041,91,2,1,5,0,1.33,555.08
MKA_RIM_041,92,0,0,0,1,0.89,563.7
MKA_RIM_041,93,3,1,6,0,0.91,572.3
MKA_RIM_041,94,1,0,1,0,0.96,581.14
MKA_RIM_041,95,3,0,6,0,0.9,589.85
MKA_RIM_041,96,3,1,6,0,1.07,598.6
MKA_RIM_041,97,3,0,6,0,0.47,606.5
MKA_RIM_041,98,1,0,1,0,0.67,614.84
MKA_RIM_041,99,0,0,0,1,0.83,623.33
MKA_RIM_041,100,0,0,0,1,1.34,749.94
MKA_RIM_041,101,0,0,0,1,1.44,756.63
MKA_RIM_041,102,2,5,5,1,1.44,763.31
MKA_RIM_041,103,2,5,5,1,1.22,769.77
MKA_RIM_041,104,3,5,6,0,1.69,776.71
MKA_RIM_041,105,0,0,0,1,0.66,782.63
MKA_RIM_041,106,4,0,6,0,1.08,788.95
MKA_RIM_041,107,1,1,1,1,1.71,795.91
MKA_RIM_041,108,1,0,1,0,0.7,801.87
MKA_RIM_041,109,2,5,5,1,1.11,808.23
MKA_RIM_041,110,0,0,0,1,0.65,814.15
MKA_RIM_041,111,1,1,1,1,1.26,820.65
MKA_RIM_041,112,3,1,6,0,2.1,828.02
MKA_RIM_041,113,6,5,6,0,1.35,834.64
MKA_RIM_041,114,6,6,6,1,0.91,840.82
MKA_RIM_041,115,1,0,1,0,0.82,846.91
MKA_RIM_041,116,2,5,5,1,0.99,853.16
MKA_RIM_041,117,6,6,6,1,0.93,859.36
MKA_RIM_041,118,5,6,6,1,0.96,865.57
