id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
MKA_RIM_041,100,6,6,1,0,0.83,97.64
MKA_RIM_041,101,6,6,1,0,0.58,102.37
MKA_RIM_041,102,6,0,0,0,0.53,107.06
MKA_RIM_041,0,0,0,1,1,0.67,129.79
MKA_RIM_041,1,6,6,1,2,0.66,132.62
MKA_RIM_041,2,0,6,0,2,0.67,135.47
MKA_RIM_041,3,6,6,1,3,0.5,138.14
MKA_RIM_041,4,0,6,0,3,0.65,140.98
MKA_RIM_041,5,6,6,1,4,0.6,143.74
MKA_RIM_041,6,6,6,1,5,0.29,146.19
MKA_RIM_041,7,6,6,1,6,0.62,148.98
MKA_RIM_041,8,0,0,1,7,0.39,151.56
MKA_RIM_041,9,6,6,1,8,0.37,154.09
MKA_RIM_041,10,6,6,1,9,0.49,156.76
MKA_RIM_041,11,0,6,0,9,0.68,159.62
MKA_RIM_041,12,0,0,1,10,0.41,162.22
MKA_RIM_041,13,0,6,0,10,0.51,164.9
MKA_RIM_041,14,6,6,1,11,0.32,167.38
MKA_RIM_041,15,6,6,1,12,1.49,171.03
MKA_RIM_041,16,0,6,0,12,0.58,173.77
MKA_RIM_041,17,6,6,1,13,0.37,176.32
MKA_RIM_041,18,6,6,1,14,0.57,179.06
MKA_RIM_041,19,0,0,1,15,3.07,184.33
MKA_RIM_041,20,0,6,0,15,0.34,186.85
MKA_RIM_041,21,6,6,1,16,0.49,189.54
MKA_RIM_041,22,0,6,0,16,0.53,192.24
MKA_RIM_041,23,6,6,1,17,0.41,194.81
MKA_RIM_041,24,0,0,1,18,0.63,197.63
MKA_RIM_041,25,0,6,0,18,1.56,201.37
MKA_RIM_041,26,0,0,1,19,0.45,204.0
MKA_RIM_041,27,6,6,1,20,0.23,206.41
MKA_RIM_041,28,6,6,1,21,0.23,208.82
MKA_RIM_041,29,6,6,1,22,1.97,212.96
MKA_RIM_041,30,6,6,1,23,0.41,215.55
MKA_RIM_041,31,0,0,1,24,0.44,218.18
MKA_RIM_041,32,6,6,1,25,0.39,220.75
MKA_RIM_041,33,0,0,1,26,0.62,223.58
MKA_RIM_041,34,0,0,1,27,0.34,226.12
MKA_RIM_041,35,6,6,1,28,0.28,228.57
MKA_RIM_041,36,6,6,1,29,0.76,231.5
MKA_RIM_041,37,6,0,0,29,1.36,235.03
MKA_RIM_041,38,6,0,0,29,0.33,237.55
MKA_RIM_041,39,0,6,0,29,0.53,240.25
MKA_RIM_041,40,0,0,1,30,0.35,242.78
MKA_RIM_041,41,0,0,1,31,0.43,245.39
MKA_RIM_041,42,6,6,1,32,0.33,247.89
MKA_RIM_041,43,6,6,1,33,0.52,250.59
MKA_RIM_041,44,6,6,1,34,0.53,253.31
MKA_RIM_041,45,6,6,1,35,0.41,255.89
MKA_RIM_041,46,6,6,1,36,0.49,258.55
MKA_RIM_041,47,0,6,0,36,0.62,261.35
MKA_RIM_041,48,0,0,1,37,0.35,263.87
MKA_RIM_041,49,6,0,0,37,0.3,266.36
MKA_RIM_041,50,0,0,1,38,0.37,268.93
MKA_RIM_041,51,6,6,1,39,0.31,271.4
MKA_RIM_041,52,6,6,1,40,0.31,273.89
MKA_RIM_041,53,6,6,1,41,0.35,276.41
MKA_RIM_041,54,6,6,1,42,0.23,278.8
MKA_RIM_041,55,6,6,1,43,0.36,281.33
MKA_RIM_041,56,6,6,1,44,0.32,283.84
MKA_RIM_041,57,6,6,1,45,0.27,286.28
MKA_RIM_041,58,6,6,1,46,0.35,288.79
MKA_RIM_041,59,6,6,1,47,0.34,291.32
MKA_RIM_041,60,0,6,0,47,0.48,293.96
MKA_RIM_041,61,6,6,1,48,0.27,296.41
MKA_RIM_041,62,6,6,1,49,0.24,298.82
MKA_RIM_041,63,6,6,1,50,0.35,301.36
MKA_RIM_041,64,6,6,1,51,0.31,303.84
MKA_RIM_041,65,6,6,1,52,0.38,306.41
MKA_RIM_041,66,0,6,0,52,0.4,308.98
MKA_RIM_041,67,6,0,0,52,0.31,311.47
MKA_RIM_041,68,0,0,1,53,0.34,313.99
MKA_RIM_041,69,6,6,1,54,0.29,316.45
MKA_RIM_041,70,6,6,1,55,0.22,318.85
MKA_RIM_041,71,6,6,1,56,0.74,321.75
MKA_RIM_041,72,6,6,1,57,0.24,324.18
MKA_RIM_041,73,6,0,0,57,0.37,326.73
MKA_RIM_041,74,0,0,1,58,0.45,329.38
MKA_RIM_041,75,6,6,1,59,0.42,331.96
MKA_RIM_041,76,6,6,1,60,0.3,334.43
MKA_RIM_041,77,6,6,1,61,0.3,336.91
MKA_RIM_041,78,6,6,1,62,0.37,339.44
MKA_RIM_041,79,6,6,1,63,0.6,342.21
MKA_RIM_041,80,6,6,1,64,0.32,344.72
MKA_RIM_041,81,0,0,1,65,0.4,347.3
MKA_RIM_041,82,6,6,1,66,0.41,349.9
