id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
OZ-_ANA_049,999,2,1,5,0,1.8,82.08
OZ-_ANA_049,999,3,5,6,0,1.46,90.87
OZ-_ANA_049,999,1,0,1,0,2.86,100.8
OZ-_ANA_049,0,0,0,0,1,1.27,127.16
OZ-_ANA_049,1,3,1,6,0,1.13,135.92
OZ-_ANA_049,2,6,1,6,0,1.14,144.64
OZ-_ANA_049,3,0,0,0,1,1.2,153.5
OZ-_ANA_049,4,3,0,6,0,1.05,162.2
OZ-_ANA_049,5,0,1,0,0,1.26,171.26
OZ-_ANA_049,6,1,0,1,0,1.18,179.9
OZ-_ANA_049,7,4,0,6,0,1.08,188.29
OZ-_ANA_049,8,0,0,0,1,1.18,196.91
OZ-_ANA_049,9,3,0,6,0,1.07,205.72
OZ-_ANA_049,10,2,1,5,0,1.17,214.73
OZ-_ANA_049,11,1,0,1,0,0.97,223.53
OZ-_ANA_049,12,5,1,6,0,1.11,232.29
OZ-_ANA_049,13,3,0,6,0,1.11,240.79
OZ-_ANA_049,14,1,0,1,0,0.97,249.42
OZ-_ANA_049,15,1,0,1,0,1.25,257.98
OZ-_ANA_049,16,2,0,5,0,1.19,266.63
OZ-_ANA_049,17,2,1,5,0,1.12,275.09
OZ-_ANA_049,18,0,0,0,1,1.11,284.01
OZ-_ANA_049,19,5,1,6,0,1.09,292.48
OZ-_ANA_049,20,2,1,5,0,1.05,301.37
OZ-_ANA_049,21,1,1,1,1,1.09,309.86
OZ-_ANA_049,22,3,1,6,0,1.18,318.73
OZ-_ANA_049,23,0,0,0,1,1.0,327.42
OZ-_ANA_049,24,4,1,6,0,1.24,336.31
OZ-_ANA_049,25,2,1,5,0,1.07,344.95
OZ-_ANA_049,26,2,0,5,0,1.05,353.67
OZ-_ANA_049,27,4,5,6,0,1.23,362.51
OZ-_ANA_049,28,0,0,0,1,1.1,371.2
OZ-_ANA_049,29,2,1,5,0,1.2,380.02
OZ-_ANA_049,30,4,5,6,0,1.36,388.98
OZ-_ANA_049,31,0,0,0,1,1.11,397.46
OZ-_ANA_049,32,6,1,6,0,1.1,406.22
OZ-_ANA_049,33,4,0,6,0,1.11,415.14
OZ-_ANA_049,34,5,1,6,0,1.0,423.95
OZ-_ANA_049,35,5,1,6,0,0.98,432.55
OZ-_ANA_049,36,5,5,6,0,1.83,441.87
OZ-_ANA_049,37,5,1,6,0,1.06,450.59
OZ-_ANA_049,38,6,5,6,0,1.46,459.46
OZ-_ANA_049,39,1,1,1,1,1.45,468.59
OZ-_ANA_049,40,0,0,0,1,1.2,477.42
OZ-_ANA_049,41,0,0,0,1,1.24,486.27
OZ-_ANA_049,42,2,0,5,0,1.01,494.9
OZ-_ANA_049,43,2,1,5,0,1.01,503.47
OZ-_ANA_049,44,5,6,6,1,1.46,512.72
OZ-_ANA_049,45,0,0,0,1,1.22,521.64
OZ-_ANA_049,46,3,5,6,0,1.27,530.59
OZ-_ANA_049,47,0,0,0,1,1.02,538.98
OZ-_ANA_049,48,0,0,0,1,1.1,547.92
OZ-_ANA_049,49,4,5,6,0,1.43,557.0
OZ-_ANA_049,50,1,0,1,0,1.22,565.87
OZ-_ANA_049,51,1,0,1,0,1.46,575.05
OZ-_ANA_049,52,3,1,6,0,0.97,583.7
OZ-_ANA_049,53,1,1,1,1,1.08,592.4
OZ-_ANA_049,54,2,0,5,0,1.17,601.27
OZ-_ANA_049,55,6,5,6,0,1.16,610.08
OZ-_ANA_049,56,2,0,5,0,1.27,619.01
OZ-_ANA_049,57,0,0,0,1,1.1,627.82
OZ-_ANA_049,58,3,1,6,0,1.11,636.59
OZ-_ANA_049,59,1,0,1,0,1.05,645.44
OZ-_ANA_049,60,3,0,6,0,1.14,654.42
OZ-_ANA_049,61,3,5,6,0,1.27,663.36
OZ-_ANA_049,62,3,1,6,0,1.06,671.82
OZ-_ANA_049,63,1,0,1,0,1.41,680.9
OZ-_ANA_049,64,0,0,0,1,0.98,689.52
OZ-_ANA_049,65,4,6,6,1,0.96,698.17
OZ-_ANA_049,66,3,0,6,0,1.1,706.92
OZ-_ANA_049,67,2,1,5,0,1.07,715.36
OZ-_ANA_049,68,5,6,6,1,1.03,723.7
OZ-_ANA_049,69,2,0,5,0,1.19,732.56
OZ-_ANA_049,70,5,0,6,0,1.23,741.18
OZ-_ANA_049,71,6,5,6,0,1.4,750.19
OZ-_ANA_049,72,2,1,5,0,1.25,758.86
OZ-_ANA_049,73,0,0,0,1,1.07,767.54
OZ-_ANA_049,74,1,0,1,0,0.96,776.25
OZ-_ANA_049,75,2,5,5,1,1.37,785.29
OZ-_ANA_049,76,2,1,5,0,1.15,794.13
OZ-_ANA_049,77,1,0,1,0,1.03,802.86
OZ-_ANA_049,78,4,1,6,0,1.23,811.72
OZ-_ANA_049,79,2,5,5,1,1.34,820.68
OZ-_ANA_049,80,2,0,5,0,1.08,829.58
OZ-_ANA_049,81,0,0,0,1,1.33,838.29
OZ-_ANA_049,82,4,1,6,0,1.26,847.01
OZ-_ANA_049,83,4,0,6,0,1.06,855.7
OZ-_ANA_049,84,2,1,5,0,1.26,864.3
OZ-_ANA_049,85,4,1,6,0,1.15,872.83
OZ-_ANA_049,86,3,5,6,0,1.31,882.03
OZ-_ANA_049,87,1,0,1,0,0.98,890.71
OZ-_ANA_049,88,0,0,0,1,1.01,899.36
OZ-_ANA_049,89,0,0,0,1,1.42,908.47
OZ-_ANA_049,90,0,0,0,1,1.21,917.05
OZ-_ANA_049,91,1,5,1,0,1.21,926.07
OZ-_ANA_049,92,5,5,6,0,1.07,934.77
OZ-_ANA_049,93,4,1,6,0,1.26,943.41
OZ-_ANA_049,94,6,1,6,0,1.22,952.36
OZ-_ANA_049,95,3,0,6,0,1.41,961.62
OZ-_ANA_049,96,5,5,6,0,1.41,970.79
OZ-_ANA_049,97,4,5,6,0,1.21,979.62
OZ-_ANA_049,98,1,0,1,0,1.5,988.69
OZ-_ANA_049,99,1,0,1,0,1.52,997.58
OZ-_ANA_049,100,0,0,0,1,1.6,1124.46
OZ-_ANA_049,101,0,0,0,1,1.27,1130.95
OZ-_ANA_049,102,2,5,5,1,1.32,1137.5
OZ-_ANA_049,103,2,5,5,1,1.39,1144.14
OZ-_ANA_049,104,3,5,6,0,1.41,1150.78
OZ-_ANA_049,105,0,0,0,1,1.15,1157.18
OZ-_ANA_049,106,4,5,6,0,1.36,1163.81
OZ-_ANA_049,107,1,0,1,0,1.32,1170.38
OZ-_ANA_049,108,1,0,1,0,1.44,1177.08
OZ-_ANA_049,109,2,5,5,1,1.21,1183.56
OZ-_ANA_049,110,0,0,0,1,1.3,1190.1
