id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
PEI_OCE_013,100,45,29,29,29,1,common,0,1.53,49.33
PEI_OCE_013,101,66,52,66,52,0,common,0,2.3,56.38
PEI_OCE_013,102,53,44,44,44,1,common,0,1.31,62.46
PEI_OCE_013,0,24,44,24,24,1,common,1,1.41,83.76
PEI_OCE_013,1,23,29,23,23,1,common,2,1.48,88.02
PEI_OCE_013,2,27,12,12,12,1,common,3,1.36,92.11
PEI_OCE_013,3,65,74,74,65,0,common,3,2.1,97.0
PEI_OCE_013,4,75,90,90,75,0,common,3,1.03,100.82
PEI_OCE_013,5,12,18,12,12,1,common,4,1.39,104.95
PEI_OCE_013,6,16,9,9,9,1,common,5,0.64,108.31
PEI_OCE_013,7,25,40,40,40,1,common,6,2.57,113.62
PEI_OCE_013,8,60,75,60,60,1,common,7,1.37,117.75
PEI_OCE_013,9,43,25,25,25,1,common,8,0.94,121.44
PEI_OCE_013,10,15,26,15,15,1,common,9,1.37,125.53
PEI_OCE_013,11,54,71,54,54,1,common,10,1.68,130.0
PEI_OCE_013,12,46,29,29,29,1,common,11,1.02,133.73
PEI_OCE_013,13,33,53,33,33,1,common,12,0.96,137.45
PEI_OCE_013,14,52,38,38,38,1,common,13,1.38,141.62
PEI_OCE_013,15,24,44,24,24,1,common,14,0.78,145.14
PEI_OCE_013,16,13,12,13,12,0,common,14,1.39,149.28
PEI_OCE_013,17,58,64,58,58,1,common,15,3.14,155.19
PEI_OCE_013,18,13,31,13,13,1,common,16,0.91,158.86
PEI_OCE_013,19,98,88,88,88,1,common,17,1.79,163.46
PEI_OCE_013,20,31,43,31,31,1,common,18,1.84,168.05
PEI_OCE_013,21,25,36,25,25,1,common,19,1.03,171.79
PEI_OCE_013,22,29,42,29,29,1,common,20,1.37,175.89
PEI_OCE_013,23,32,20,20,20,1,common,21,1.05,179.67
PEI_OCE_013,24,19,36,19,36,0,common,21,2.31,184.73
PEI_OCE_013,25,36,48,36,36,1,common,22,1.41,188.93
PEI_OCE_013,26,33,13,13,13,1,common,23,0.86,192.51
PEI_OCE_013,27,45,35,35,35,1,common,24,0.9,196.16
PEI_OCE_013,28,24,35,24,24,1,common,25,1.12,200.02
PEI_OCE_013,29,45,28,28,28,1,common,26,1.13,203.92
PEI_OCE_013,30,13,30,13,13,1,common,27,0.76,207.43
PEI_OCE_013,31,17,36,17,36,0,common,27,3.95,214.13
PEI_OCE_013,32,74,62,62,62,1,common,28,1.18,218.07
PEI_OCE_013,33,26,31,26,26,1,common,29,0.79,221.63
PEI_OCE_013,34,38,28,28,28,1,common,30,1.31,225.71
PEI_OCE_013,35,81,72,72,72,1,common,31,1.31,229.83
PEI_OCE_013,36,21,16,16,16,1,common,32,0.84,233.44
PEI_OCE_013,37,21,36,36,36,1,common,33,2.83,239.01
PEI_OCE_013,38,16,36,16,16,1,common,34,0.65,242.38
PEI_OCE_013,39,8,16,8,8,1,common,35,1.37,246.45
PEI_OCE_013,40,12,18,12,12,1,common,36,1.58,250.8
PEI_OCE_013,41,67,76,67,67,1,common,37,1.19,254.76
PEI_OCE_013,42,84,92,92,84,0,common,37,0.86,258.42
PEI_OCE_013,43,14,34,14,14,1,common,38,0.97,262.15
PEI_OCE_013,44,14,9,9,9,1,common,39,0.87,265.75
PEI_OCE_013,45,83,103,83,83,1,common,40,1.46,270.02
PEI_OCE_013,46,23,33,23,23,1,common,41,0.71,273.45
PEI_OCE_013,47,19,28,19,28,0,common,41,2.82,278.98
PEI_OCE_013,48,41,30,30,30,1,common,42,1.2,282.92
PEI_OCE_013,49,35,53,35,35,1,common,43,0.96,286.63
PEI_OCE_013,50,33,34,33,33,1,pro,44,1.86,291.19
PEI_OCE_013,51,86,81,81,81,1,pro,45,1.7,295.69
PEI_OCE_013,52,52,33,33,33,1,pro,46,1.07,299.48
PEI_OCE_013,53,30,44,30,30,1,pro,47,1.72,303.94
PEI_OCE_013,54,30,35,30,30,1,pro,48,1.14,307.81
PEI_OCE_013,55,20,52,52,52,1,pro,49,3.25,313.82
PEI_OCE_013,56,52,31,52,52,1,pro,50,2.24,318.83
PEI_OCE_013,57,24,32,24,24,1,pro,51,2.48,324.08
PEI_OCE_013,58,60,35,60,60,1,pro,52,2.64,329.48
PEI_OCE_013,59,27,32,32,32,1,pro,53,2.11,334.33
PEI_OCE_013,60,20,31,20,20,1,pro,54,3.59,340.65
PEI_OCE_013,61,29,23,23,23,1,pro,55,1.42,344.85
PEI_OCE_013,62,24,14,24,24,1,pro,56,1.19,348.76
PEI_OCE_013,63,51,32,32,32,1,pro,57,1.84,353.36
PEI_OCE_013,64,11,30,11,11,1,pro,58,0.82,356.91
PEI_OCE_013,65,53,72,53,53,1,pro,59,1.36,361.04
PEI_OCE_013,66,51,41,41,41,1,pro,60,0.92,364.72
