id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
PEI_OCE_013,999,2,1,5,0,2.15,127.13
PEI_OCE_013,999,3,1,6,0,23.78,158.27
PEI_OCE_013,999,1,0,1,0,2.21,167.63
PEI_OCE_013,0,0,0,0,1,1.18,194.62
PEI_OCE_013,1,3,0,6,0,1.17,203.44
PEI_OCE_013,2,6,1,6,0,1.23,212.28
PEI_OCE_013,3,0,0,0,1,1.01,220.97
PEI_OCE_013,4,3,0,6,0,0.71,229.36
PEI_OCE_013,5,0,1,0,0,0.95,238.2
PEI_OCE_013,6,1,0,1,0,0.96,246.66
PEI_OCE_013,7,4,0,6,0,0.97,255.0
PEI_OCE_013,8,0,0,0,1,0.69,263.16
PEI_OCE_013,9,3,0,6,0,0.72,271.6
PEI_OCE_013,10,2,0,5,0,0.66,280.12
PEI_OCE_013,11,1,1,1,1,0.82,288.79
PEI_OCE_013,12,5,6,6,1,1.12,297.59
PEI_OCE_013,13,3,5,6,0,1.05,306.05
PEI_OCE_013,14,1,0,1,0,0.71,314.48
PEI_OCE_013,15,1,0,1,0,0.74,322.56
PEI_OCE_013,16,2,0,5,0,0.79,330.84
PEI_OCE_013,17,2,0,5,0,0.68,338.89
PEI_OCE_013,18,0,0,0,1,0.67,347.47
PEI_OCE_013,19,5,1,6,0,0.94,355.82
PEI_OCE_013,20,2,1,5,0,0.92,364.59
PEI_OCE_013,21,1,0,1,0,0.68,372.68
PEI_OCE_013,22,3,0,6,0,0.73,381.12
PEI_OCE_013,23,0,0,0,1,0.69,389.54
PEI_OCE_013,24,4,5,6,0,1.13,398.28
PEI_OCE_013,25,2,1,5,0,1.15,407.07
PEI_OCE_013,26,2,0,5,0,0.65,415.45
PEI_OCE_013,27,4,5,6,0,1.18,424.28
PEI_OCE_013,28,0,0,0,1,1.19,433.04
PEI_OCE_013,29,2,0,5,0,0.62,441.32
PEI_OCE_013,30,4,5,6,0,0.69,449.63
PEI_OCE_013,31,0,1,0,0,1.11,458.16
PEI_OCE_013,32,6,6,6,1,0.46,466.36
PEI_OCE_013,33,4,1,6,0,0.91,475.13
