id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
PIC_SER_052,100,29,45,29,29,1,common,0,1.8,30.86
PIC_SER_052,101,66,52,52,52,1,common,0,1.19,36.79
PIC_SER_052,102,44,53,44,44,1,common,0,1.22,42.77
PIC_SER_052,0,24,44,24,24,1,common,1,1.32,62.26
PIC_SER_052,1,23,29,23,23,1,common,2,1.25,66.26
PIC_SER_052,2,12,27,12,12,1,common,3,0.89,69.86
PIC_SER_052,3,74,65,65,65,1,common,4,1.08,73.7
PIC_SER_052,4,75,90,75,75,1,common,5,0.88,77.37
PIC_SER_052,5,18,12,12,12,1,common,6,0.89,80.98
PIC_SER_052,6,9,16,9,9,1,common,7,0.57,84.25
PIC_SER_052,7,25,40,25,40,0,common,7,1.32,88.31
PIC_SER_052,8,60,75,60,60,1,common,8,1.14,92.23
PIC_SER_052,9,25,43,25,25,1,common,9,1.12,96.1
PIC_SER_052,10,15,26,15,15,1,common,10,1.29,100.08
PIC_SER_052,11,71,54,71,54,0,common,10,2.76,105.61
PIC_SER_052,12,46,29,29,29,1,common,11,3.2,111.53
PIC_SER_052,13,53,33,33,33,1,common,12,2.03,116.31
PIC_SER_052,14,38,52,38,38,1,common,13,1.57,120.65
PIC_SER_052,15,44,24,44,24,0,common,13,2.34,125.74
PIC_SER_052,16,13,12,12,12,1,common,14,1.74,130.2
PIC_SER_052,17,58,64,58,58,1,common,15,2.72,135.66
PIC_SER_052,18,13,31,13,13,1,common,16,1.19,139.6
PIC_SER_052,19,88,98,88,88,1,common,17,1.88,144.24
PIC_SER_052,20,31,43,31,31,1,common,18,1.02,148.0
PIC_SER_052,21,36,25,36,25,0,common,18,2.01,152.72
PIC_SER_052,22,29,42,29,29,1,common,19,1.52,156.96
PIC_SER_052,23,32,20,20,20,1,common,20,2.2,161.89
PIC_SER_052,24,19,36,36,36,1,common,21,1.09,165.72
PIC_SER_052,25,48,36,36,36,1,common,22,1.96,170.41
PIC_SER_052,26,13,33,13,13,1,common,23,1.36,174.49
PIC_SER_052,27,35,45,35,35,1,common,24,1.23,178.49
PIC_SER_052,28,35,24,35,24,0,common,24,2.2,183.39
PIC_SER_052,29,28,45,45,28,0,common,24,2.11,188.26
PIC_SER_052,30,30,13,13,13,1,common,25,1.04,192.03
PIC_SER_052,31,17,36,36,36,1,common,26,1.25,196.0
PIC_SER_052,32,74,62,74,62,0,common,26,1.79,200.55
PIC_SER_052,33,31,26,31,26,0,common,26,1.82,205.1
PIC_SER_052,34,38,28,38,28,0,common,26,1.83,209.65
PIC_SER_052,35,72,81,72,72,1,common,27,1.74,214.18
PIC_SER_052,36,16,21,16,16,1,common,28,1.89,218.81
PIC_SER_052,37,21,36,36,36,1,common,29,1.01,222.55
PIC_SER_052,38,16,36,36,16,0,common,29,1.86,227.15
