id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
PIC_SER_052,999,2,1,5,0,13.64,110.61
PIC_SER_052,999,3,1,6,0,3.48,121.53
PIC_SER_052,999,1,6,1,0,1.85,130.48
PIC_SER_052,0,0,0,0,1,0.58,155.93
PIC_SER_052,1,3,0,6,0,0.83,164.39
PIC_SER_052,2,6,1,6,0,0.15,172.14
PIC_SER_052,3,0,0,0,1,0.91,180.76
PIC_SER_052,4,3,0,6,0,0.82,189.23
PIC_SER_052,5,0,0,0,1,0.99,198.09
PIC_SER_052,6,1,0,1,0,0.6,206.18
PIC_SER_052,7,4,0,6,0,0.6,214.16
PIC_SER_052,8,0,0,0,1,0.69,222.33
PIC_SER_052,9,3,1,6,0,0.72,230.82
PIC_SER_052,10,2,1,5,0,0.53,239.23
PIC_SER_052,11,1,0,1,0,1.16,248.26
PIC_SER_052,12,5,1,6,0,0.68,256.64
PIC_SER_052,13,3,5,6,0,1.89,265.91
PIC_SER_052,14,1,0,1,0,1.09,274.68
PIC_SER_052,15,1,0,1,0,0.96,282.99
PIC_SER_052,16,2,0,5,0,0.73,291.23
PIC_SER_052,17,2,1,5,0,0.72,299.35
PIC_SER_052,18,0,0,0,1,0.9,308.17
PIC_SER_052,19,5,1,6,0,1.12,316.71
PIC_SER_052,20,2,0,5,0,1.07,325.68
PIC_SER_052,21,1,0,1,0,0.87,333.95
PIC_SER_052,22,3,1,6,0,0.7,342.42
PIC_SER_052,23,0,0,0,1,0.52,350.68
PIC_SER_052,24,4,5,6,0,0.86,359.16
PIC_SER_052,25,2,5,5,1,0.7,367.48
PIC_SER_052,26,2,0,5,0,0.84,376.04
PIC_SER_052,27,4,0,6,0,0.88,384.61
PIC_SER_052,28,0,0,0,1,0.48,392.74
PIC_SER_052,29,2,1,5,0,0.57,401.0
PIC_SER_052,30,4,0,6,0,1.15,409.75
PIC_SER_052,31,0,1,0,0,1.33,418.46
PIC_SER_052,32,6,5,6,0,0.99,427.18
PIC_SER_052,33,4,0,6,0,1.13,436.14
PIC_SER_052,34,5,0,6,0,0.63,444.66
PIC_SER_052,35,5,0,6,0,0.99,453.31
PIC_SER_052,36,5,5,6,0,0.52,461.35
PIC_SER_052,37,5,0,6,0,0.87,469.89
PIC_SER_052,38,6,5,6,0,0.65,477.97
PIC_SER_052,39,1,5,1,0,1.07,486.74
PIC_SER_052,40,0,0,0,1,0.86,495.24
PIC_SER_052,41,0,0,0,1,0.77,503.68
PIC_SER_052,42,2,1,5,0,1.21,512.56
PIC_SER_052,43,2,0,5,0,0.9,521.08
PIC_SER_052,44,5,5,6,0,0.71,529.63
PIC_SER_052,45,0,1,0,0,1.57,538.92
PIC_SER_052,46,3,5,6,0,0.9,547.52
PIC_SER_052,47,0,0,0,1,0.99,555.89
PIC_SER_052,48,0,0,0,1,0.69,564.49
PIC_SER_052,49,4,0,6,0,0.8,572.98
PIC_SER_052,50,1,0,1,0,1.01,581.66
PIC_SER_052,51,1,0,1,0,0.84,590.27
PIC_SER_052,52,3,5,6,0,1.48,599.47
PIC_SER_052,53,1,0,1,0,0.99,608.07
PIC_SER_052,54,2,1,5,0,1.22,617.05
PIC_SER_052,55,6,1,6,0,0.65,625.37
PIC_SER_052,56,2,0,5,0,0.81,633.86
PIC_SER_052,57,0,0,0,1,0.73,642.42
PIC_SER_052,58,3,0,6,0,0.74,650.86
PIC_SER_052,59,1,0,1,0,0.74,659.49
PIC_SER_052,60,3,0,6,0,0.63,667.92
PIC_SER_052,61,3,1,6,0,0.82,676.43
PIC_SER_052,62,3,1,6,0,0.6,684.44
PIC_SER_052,63,1,0,1,0,0.66,692.81
PIC_SER_052,64,0,0,0,1,0.47,700.99
PIC_SER_052,65,4,5,6,0,1.12,709.79
PIC_SER_052,66,3,0,6,0,0.7,718.23
PIC_SER_052,67,2,1,5,0,1.02,726.64
PIC_SER_052,68,5,5,6,0,0.79,734.79
PIC_SER_052,69,2,5,5,1,0.78,743.27
PIC_SER_052,70,5,0,6,0,0.7,751.37
PIC_SER_052,71,6,5,6,0,0.92,759.92
PIC_SER_052,72,2,1,5,0,1.02,768.36
PIC_SER_052,73,0,0,0,1,0.76,776.76
PIC_SER_052,74,1,0,1,0,0.52,785.04
PIC_SER_052,75,2,1,5,0,0.53,793.25
PIC_SER_052,76,2,0,5,0,0.73,801.72
PIC_SER_052,77,1,0,1,0,0.53,809.93
PIC_SER_052,78,4,5,6,0,0.87,818.46
PIC_SER_052,79,2,1,5,0,1.37,827.51
PIC_SER_052,80,2,1,5,0,1.29,836.66
PIC_SER_052,81,0,0,0,1,0.66,844.73
PIC_SER_052,82,4,0,6,0,0.58,852.78
PIC_SER_052,83,4,1,6,0,1.28,861.77
PIC_SER_052,84,2,0,5,0,1.29,870.38
PIC_SER_052,85,4,1,6,0,0.77,878.6
PIC_SER_052,86,3,1,6,0,0.81,887.27
PIC_SER_052,87,1,0,1,0,0.53,895.47
