id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
PIC_SER_052,100,1,0,Les nuages sont gris. ,0,0,1,4.5,44.52
PIC_SER_052,100,2,0,Les nuages sont gris. ,0,0,1,0.9,51.45
PIC_SER_052,101,1,0,Les deux protagonistes portent-ils des lunettes ? ,0,0,1,3.2,61.8
PIC_SER_052,102,1,0,Avez-vous vu un éléphant ? ,0,6,0,4.32,78.51
PIC_SER_052,102,2,0,Avez-vous vu un éléphant ? ,0,6,0,1.14,88.87
PIC_SER_052,0,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,5.76,113.74
PIC_SER_052,0,1,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,3.44,117.23
PIC_SER_052,0,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.34,127.58
PIC_SER_052,0,2,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.94,129.56
PIC_SER_052,0,3,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.16,139.3
PIC_SER_052,0,3,1,Combien y a-t-il de cafetières sur la photo ? ,6,6,1,1.36,140.7
PIC_SER_052,1,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.07,148.49
PIC_SER_052,2,1,0,Combien y a-t-il de personnes assises sur cette photo ? ,6,0,0,4.16,161.53
PIC_SER_052,2,1,1,Combien y a-t-il de personnes sur cette photo ? ,6,0,0,3.96,165.53
PIC_SER_052,2,1,2,Avez-vous vu une personne habillée d'une robe blanche ? ,0,0,1,4.92,170.49
PIC_SER_052,2,2,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,2.23,180.72
PIC_SER_052,2,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.02,182.77
PIC_SER_052,2,2,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,2.76,185.58
PIC_SER_052,2,3,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,1.87,195.91
PIC_SER_052,2,3,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,4.38,200.34
PIC_SER_052,2,3,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.35,201.74
PIC_SER_052,2,4,0,Combien y a-t-il de personnes assises sur cette photo ? ,0,0,1,4.07,216.92
PIC_SER_052,2,4,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,2.52,219.5
PIC_SER_052,2,4,2,Avez-vous vu une personne habillée d'une robe blanche ? ,6,0,0,1.47,221.0
PIC_SER_052,3,1,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.93,227.7
PIC_SER_052,3,1,1,Avez-vous vu une corde à sauter ? ,6,6,1,5.36,233.11
PIC_SER_052,3,2,0,Combien y a-t-il de personnes sur cette photo ? ,6,6,1,1.72,240.17
PIC_SER_052,3,2,1,Avez-vous vu une corde à sauter ? ,6,6,1,1.49,241.71
PIC_SER_052,4,1,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,1.84,246.87
PIC_SER_052,4,1,1,Avez-vous vu une balle sur cette photo ? ,0,6,0,3.36,250.27
PIC_SER_052,4,1,2,Avez-vous vu une corde à sauter ? ,6,6,1,2.08,252.39
PIC_SER_052,4,2,0,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.95,262.68
PIC_SER_052,4,2,1,Avez-vous vu une balle sur cette photo ? ,6,6,1,1.75,264.47
PIC_SER_052,4,2,2,Avez-vous vu une corde à sauter ? ,6,6,1,1.62,266.14
PIC_SER_052,5,1,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,5.43,276.03
PIC_SER_052,5,1,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.19,279.26
PIC_SER_052,5,2,0,Toutes les personnes sont-elles habillées en blanc ? ,0,0,1,3.34,289.21
PIC_SER_052,5,2,1,Combien y a-t-il de personnes sur cette photo ? ,0,0,1,3.04,292.29
