id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
POT_CAR_001,999,2,5,5,1,3.94,98.57
POT_CAR_001,999,3,5,6,0,1.69,107.66
POT_CAR_001,999,1,0,1,0,2.93,117.71
POT_CAR_001,0,0,0,0,1,3.73,147.92
POT_CAR_001,1,3,0,6,0,3.39,158.93
POT_CAR_001,2,6,1,6,0,1.63,168.18
POT_CAR_001,3,0,1,0,0,1.86,177.74
POT_CAR_001,4,3,0,6,0,1.25,186.7
POT_CAR_001,5,0,1,0,0,1.64,196.24
POT_CAR_001,6,1,0,1,0,1.02,204.73
POT_CAR_001,7,4,0,6,0,1.23,213.31
POT_CAR_001,8,0,0,0,1,1.29,222.06
POT_CAR_001,9,3,6,6,1,1.31,231.12
POT_CAR_001,10,2,1,5,0,1.77,240.76
POT_CAR_001,11,1,0,1,0,1.25,249.92
POT_CAR_001,12,5,5,6,0,1.65,259.31
POT_CAR_001,13,3,1,6,0,2.26,268.99
POT_CAR_001,14,1,0,1,0,1.02,277.73
POT_CAR_001,15,1,1,1,1,1.36,286.44
POT_CAR_001,16,2,0,5,0,0.77,294.68
POT_CAR_001,17,2,0,5,0,0.78,302.87
POT_CAR_001,18,0,0,0,1,0.73,311.49
POT_CAR_001,19,5,1,6,0,1.27,320.18
POT_CAR_001,20,2,0,5,0,0.78,328.87
POT_CAR_001,21,1,1,1,1,1.34,337.6
POT_CAR_001,22,3,1,6,0,1.13,346.44
POT_CAR_001,23,0,1,0,0,0.74,354.97
POT_CAR_001,24,4,5,6,0,1.46,364.07
POT_CAR_001,25,2,5,5,1,1.41,373.15
POT_CAR_001,26,2,5,5,1,0.95,381.78
POT_CAR_001,27,4,1,6,0,1.05,390.5
POT_CAR_001,28,0,0,0,1,1.73,399.86
POT_CAR_001,29,2,1,5,0,1.45,408.99
POT_CAR_001,30,4,1,6,0,1.45,418.04
POT_CAR_001,31,0,0,0,1,1.1,426.52
POT_CAR_001,32,6,5,6,0,0.93,435.17
POT_CAR_001,33,4,0,6,0,0.94,443.97
POT_CAR_001,34,5,1,6,0,0.77,452.66
POT_CAR_001,35,5,1,6,0,0.76,461.11
POT_CAR_001,36,5,1,6,0,0.87,469.47
POT_CAR_001,37,5,1,6,0,0.98,478.14
POT_CAR_001,38,6,5,6,0,1.56,487.11
POT_CAR_001,39,1,1,1,1,0.78,495.62
POT_CAR_001,40,0,0,0,1,3.35,506.61
POT_CAR_001,41,0,0,0,1,0.92,515.2
POT_CAR_001,42,2,0,5,0,0.68,523.59
POT_CAR_001,43,2,0,5,0,0.46,531.73
POT_CAR_001,44,5,1,6,0,1.0,540.6
POT_CAR_001,45,0,0,0,1,0.85,549.14
POT_CAR_001,46,3,5,6,0,1.49,558.31
POT_CAR_001,47,0,0,0,1,1.31,566.96
POT_CAR_001,48,0,0,0,1,0.7,575.58
POT_CAR_001,49,4,0,6,0,0.49,583.83
POT_CAR_001,50,1,0,1,0,0.72,592.2
POT_CAR_001,51,1,1,1,1,0.92,600.89
POT_CAR_001,52,3,0,6,0,0.74,609.33
POT_CAR_001,53,1,1,1,1,0.92,617.88
POT_CAR_001,54,2,0,5,0,0.85,626.47
POT_CAR_001,55,6,6,6,1,0.66,634.79
POT_CAR_001,56,2,0,5,0,0.63,643.08
POT_CAR_001,57,0,0,0,1,0.66,651.49
POT_CAR_001,58,3,1,6,0,0.74,659.96
POT_CAR_001,59,1,1,1,1,0.58,668.43
POT_CAR_001,60,3,0,6,0,0.63,676.88
POT_CAR_001,61,3,0,6,0,0.56,685.13
POT_CAR_001,62,3,1,6,0,0.62,693.16
POT_CAR_001,63,1,0,1,0,0.85,701.7
POT_CAR_001,64,0,0,0,1,0.48,709.92
POT_CAR_001,65,4,6,6,1,1.25,718.88
POT_CAR_001,66,3,5,6,0,0.83,727.39
POT_CAR_001,67,2,0,5,0,0.79,735.6
POT_CAR_001,68,5,0,6,0,0.77,743.72
POT_CAR_001,69,2,0,5,0,0.5,751.9
POT_CAR_001,70,5,1,6,0,1.24,760.56
POT_CAR_001,71,6,6,6,1,0.46,768.73
POT_CAR_001,72,2,1,5,0,0.81,776.93
POT_CAR_001,73,0,0,0,1,0.74,785.31
POT_CAR_001,74,1,0,1,0,0.49,793.58
POT_CAR_001,75,2,1,5,0,0.9,802.14
POT_CAR_001,76,2,1,5,0,0.8,810.75
POT_CAR_001,77,1,0,1,0,1.04,819.47
POT_CAR_001,78,4,5,6,0,1.36,828.5
POT_CAR_001,79,2,1,5,0,0.77,836.91
POT_CAR_001,80,2,1,5,0,0.58,845.38
POT_CAR_001,81,0,0,0,1,0.77,853.57
POT_CAR_001,82,4,0,6,0,0.6,861.65
POT_CAR_001,83,4,1,6,0,0.64,869.95
POT_CAR_001,84,2,0,5,0,0.67,877.97
POT_CAR_001,85,4,0,6,0,0.5,885.92
POT_CAR_001,86,3,0,6,0,0.47,894.31
POT_CAR_001,87,1,1,1,1,2.04,904.07
POT_CAR_001,88,0,0,0,1,0.44,912.15
POT_CAR_001,89,0,0,0,1,0.64,920.52
POT_CAR_001,90,0,0,0,1,0.74,928.68
POT_CAR_001,91,1,5,1,0,1.02,937.53
POT_CAR_001,92,5,0,6,0,0.42,945.6
POT_CAR_001,93,4,1,6,0,0.8,953.82
POT_CAR_001,94,6,5,6,0,1.06,962.66
POT_CAR_001,95,3,0,6,0,0.75,971.32
POT_CAR_001,96,5,5,6,0,0.64,979.78
POT_CAR_001,97,4,0,6,0,0.73,988.15
POT_CAR_001,98,1,0,1,0,0.59,996.35
POT_CAR_001,99,1,0,1,0,0.79,1004.55
POT_CAR_001,100,0,0,0,1,4.11,1134.04
POT_CAR_001,101,0,0,0,1,1.03,1140.33
POT_CAR_001,102,2,5,5,1,1.25,1146.84
POT_CAR_001,103,2,5,5,1,0.42,1152.51
POT_CAR_001,104,3,5,6,0,0.53,1158.31
POT_CAR_001,105,0,0,0,1,1.35,1164.93
POT_CAR_001,106,4,5,6,0,1.04,1171.22
POT_CAR_001,107,1,0,1,0,0.66,1177.13
POT_CAR_001,108,1,0,1,0,0.5,1182.89
POT_CAR_001,109,2,5,5,1,0.64,1188.8
POT_CAR_001,110,0,0,0,1,0.75,1194.83
POT_CAR_001,111,1,1,1,1,0.59,1200.67
POT_CAR_001,112,3,1,6,0,0.82,1206.75
POT_CAR_001,113,6,5,6,0,0.89,1212.87
POT_CAR_001,114,6,6,6,1,0.46,1218.6
POT_CAR_001,115,1,0,1,0,0.35,1224.2
POT_CAR_001,116,2,5,5,1,0.85,1230.32
POT_CAR_001,117,6,6,6,1,0.4,1235.99
POT_CAR_001,118,5,6,6,1,0.64,1241.88
POT_CAR_001,119,4,6,6,1,0.39,1247.53
POT_CAR_001,120,3,6,6,1,0.54,1253.35
POT_CAR_001,121,0,0,0,1,0.63,1259.24
POT_CAR_001,122,4,1,6,0,0.71,1265.22
POT_CAR_001,123,4,6,6,1,0.37,1270.84
POT_CAR_001,124,0,0,0,1,0.66,1276.77
POT_CAR_001,125,0,0,0,1,0.56,1282.59
POT_CAR_001,126,2,1,5,0,0.76,1288.62
POT_CAR_001,127,4,6,6,1,0.47,1294.37
POT_CAR_001,128,3,5,6,0,0.92,1300.56
POT_CAR_001,129,0,0,0,1,0.7,1306.5
POT_CAR_001,130,4,6,6,1,0.69,1312.46
POT_CAR_001,131,3,1,6,0,0.49,1318.21
POT_CAR_001,132,5,6,6,1,0.61,1324.14
POT_CAR_001,133,2,0,5,0,0.77,1330.18
POT_CAR_001,134,3,6,6,1,0.75,1336.17
POT_CAR_001,135,4,6,6,1,0.62,1342.12
POT_CAR_001,136,2,5,5,1,1.14,1348.51
POT_CAR_001,137,3,1,6,0,1.5,1355.26
POT_CAR_001,138,6,6,6,1,0.71,1361.22
POT_CAR_001,139,0,0,0,1,0.49,1366.98
POT_CAR_001,140,5,6,6,1,0.53,1372.77
POT_CAR_001,141,3,0,6,0,0.65,1378.68
POT_CAR_001,142,6,6,6,1,0.41,1384.35
POT_CAR_001,143,5,6,6,1,0.45,1390.09
POT_CAR_001,144,3,5,6,0,0.98,1396.33
POT_CAR_001,145,0,0,0,1,0.97,1402.55
POT_CAR_001,146,1,5,1,0,1.7,1409.52
POT_CAR_001,147,5,5,6,0,1.34,1416.13
POT_CAR_001,148,1,1,1,1,0.67,1422.08
POT_CAR_001,149,4,5,6,0,0.79,1428.13
POT_CAR_001,150,6,5,6,0,1.7,1555.03
POT_CAR_001,151,3,1,6,0,0.85,1561.03
POT_CAR_001,152,1,0,1,0,0.72,1566.92
POT_CAR_001,153,2,5,5,1,1.06,1573.14
POT_CAR_001,154,0,0,0,1,0.81,1579.12
POT_CAR_001,155,4,1,6,0,0.64,1584.92
POT_CAR_001,156,5,5,6,0,1.45,1591.52
POT_CAR_001,157,1,1,1,1,0.75,1597.49
POT_CAR_001,158,5,6,6,1,0.53,1603.16
POT_CAR_001,159,4,5,6,0,1.13,1609.45
POT_CAR_001,160,4,5,6,0,0.82,1615.5
POT_CAR_001,161,2,1,5,0,1.02,1621.68
POT_CAR_001,162,4,5,6,0,0.66,1627.48
POT_CAR_001,163,3,5,6,0,0.61,1633.25
POT_CAR_001,164,4,5,6,0,0.67,1639.09
POT_CAR_001,165,2,1,5,0,1.36,1645.61
POT_CAR_001,166,4,5,6,0,0.57,1651.35
POT_CAR_001,167,2,0,5,0,0.77,1657.26
POT_CAR_001,168,0,0,0,1,0.67,1663.09
POT_CAR_001,169,4,6,6,1,0.5,1668.75
POT_CAR_001,170,6,6,6,1,0.4,1674.3
POT_CAR_001,171,2,1,5,0,0.48,1679.93
POT_CAR_001,172,6,6,6,1,0.56,1685.65
POT_CAR_001,173,1,0,1,0,0.44,1691.26
POT_CAR_001,174,6,1,6,0,1.08,1697.5
POT_CAR_001,175,3,1,6,0,0.82,1703.49
POT_CAR_001,176,1,0,1,0,0.63,1709.27
POT_CAR_001,177,0,0,0,1,0.56,1715.0
POT_CAR_001,178,5,5,6,0,0.68,1720.82
POT_CAR_001,179,0,0,0,1,0.84,1726.83
POT_CAR_001,180,0,0,0,1,0.56,1732.56
POT_CAR_001,181,3,5,6,0,0.61,1738.34
POT_CAR_001,182,1,1,1,1,1.44,1744.93
POT_CAR_001,183,6,5,6,0,0.55,1750.65
POT_CAR_001,184,2,0,5,0,0.89,1756.7
POT_CAR_001,185,6,6,6,1,0.29,1762.14
POT_CAR_001,186,6,1,6,0,1.34,1768.65
POT_CAR_001,187,5,5,6,0,0.78,1774.6
POT_CAR_001,188,3,1,6,0,0.7,1780.47
