id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
PRI_LOU_047,100,45,29,29,29,1,common,0,3.32,65.97
PRI_LOU_047,101,52,66,52,52,1,common,0,1.76,72.45
PRI_LOU_047,102,53,44,53,44,0,common,0,1.53,78.73
PRI_LOU_047,0,44,24,24,24,1,common,1,2.38,101.09
PRI_LOU_047,1,29,23,23,23,1,common,2,2.5,106.33
PRI_LOU_047,2,12,27,12,12,1,common,3,1.05,110.08
PRI_LOU_047,3,74,65,74,65,0,common,3,1.89,114.75
PRI_LOU_047,4,90,75,75,75,1,common,4,1.15,118.66
PRI_LOU_047,5,12,18,12,12,1,common,5,0.65,122.01
PRI_LOU_047,6,9,16,9,9,1,common,6,0.59,125.3
PRI_LOU_047,7,40,25,40,40,1,common,7,2.05,130.07
PRI_LOU_047,8,60,75,60,60,1,common,8,1.45,134.27
PRI_LOU_047,9,43,25,25,25,1,common,9,1.39,138.42
PRI_LOU_047,10,15,26,26,15,0,common,9,2.3,143.41
PRI_LOU_047,11,71,54,54,54,1,common,10,2.88,149.04
PRI_LOU_047,12,46,29,29,29,1,common,11,1.53,153.27
PRI_LOU_047,13,53,33,53,33,0,common,11,2.89,158.88
PRI_LOU_047,14,52,38,38,38,1,common,12,3.21,164.83
PRI_LOU_047,15,24,44,24,24,1,common,13,1.75,169.31
PRI_LOU_047,16,13,12,12,12,1,common,14,0.73,172.76
PRI_LOU_047,17,64,58,58,58,1,common,15,2.08,177.61
PRI_LOU_047,18,13,31,13,13,1,common,16,2.02,182.37
PRI_LOU_047,19,98,88,88,88,1,common,17,2.94,188.05
PRI_LOU_047,20,31,43,31,31,1,common,18,4.72,195.51
PRI_LOU_047,21,25,36,36,25,0,common,18,3.35,201.56
PRI_LOU_047,22,42,29,29,29,1,common,19,0.78,205.02
PRI_LOU_047,23,20,32,20,20,1,common,20,1.62,209.33
PRI_LOU_047,24,36,19,36,36,1,common,21,3.96,216.02
PRI_LOU_047,25,36,48,36,36,1,common,22,1.23,220.01
PRI_LOU_047,26,13,33,13,13,1,common,23,1.35,224.06
