id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
PRI_LOU_047,999,2,5,5,1,1.62,132.52
PRI_LOU_047,999,3,5,6,0,1.37,141.22
PRI_LOU_047,999,1,5,1,0,1.09,149.41
PRI_LOU_047,0,0,1,0,0,0.95,173.69
PRI_LOU_047,1,3,0,6,0,1.27,182.59
PRI_LOU_047,2,6,1,6,0,0.79,190.97
PRI_LOU_047,3,0,0,0,1,0.73,199.41
PRI_LOU_047,4,3,0,6,0,0.71,207.76
PRI_LOU_047,5,0,1,0,0,0.89,216.47
PRI_LOU_047,6,1,0,1,0,0.63,224.57
PRI_LOU_047,7,4,5,6,0,0.91,232.83
PRI_LOU_047,8,0,0,0,1,0.59,240.9
PRI_LOU_047,9,3,5,6,0,0.72,249.32
PRI_LOU_047,10,2,0,5,0,1.28,258.44
PRI_LOU_047,11,1,0,1,0,1.32,267.56
PRI_LOU_047,12,5,5,6,0,1.47,276.68
PRI_LOU_047,13,3,0,6,0,1.4,285.46
PRI_LOU_047,14,1,0,1,0,1.21,294.3
PRI_LOU_047,15,1,0,1,0,0.73,302.33
PRI_LOU_047,16,2,0,5,0,0.6,310.37
PRI_LOU_047,17,2,1,5,0,1.15,318.87
PRI_LOU_047,18,0,0,0,1,1.2,327.91
PRI_LOU_047,19,5,0,6,0,1.21,336.5
PRI_LOU_047,20,2,5,5,1,1.17,345.53
PRI_LOU_047,21,1,0,1,0,0.72,353.63
PRI_LOU_047,22,3,1,6,0,1.64,362.98
PRI_LOU_047,23,0,0,0,1,0.77,371.46
PRI_LOU_047,24,4,1,6,0,0.84,379.93
PRI_LOU_047,25,2,5,5,1,0.93,388.46
PRI_LOU_047,26,2,0,5,0,1.42,397.58
PRI_LOU_047,27,4,1,6,0,0.64,405.85
PRI_LOU_047,28,0,0,0,1,0.66,414.1
PRI_LOU_047,29,2,0,5,0,0.5,422.23
PRI_LOU_047,30,4,1,6,0,1.8,431.61
PRI_LOU_047,31,0,0,0,1,0.56,439.53
PRI_LOU_047,32,6,6,6,1,0.88,448.14
PRI_LOU_047,33,4,0,6,0,0.66,456.69
PRI_LOU_047,34,5,1,6,0,0.59,465.12
PRI_LOU_047,35,5,0,6,0,0.49,473.21
PRI_LOU_047,36,5,6,6,1,0.76,481.45
PRI_LOU_047,37,5,5,6,0,1.35,490.47
PRI_LOU_047,38,6,1,6,0,1.17,499.02
PRI_LOU_047,39,1,1,1,1,1.02,507.73
PRI_LOU_047,40,0,0,0,1,1.32,516.66
PRI_LOU_047,41,0,0,0,1,0.57,524.88
PRI_LOU_047,42,2,0,5,0,1.25,533.76
PRI_LOU_047,43,2,1,5,0,1.27,542.62
PRI_LOU_047,44,5,6,6,1,0.85,551.33
PRI_LOU_047,45,0,0,0,1,0.58,559.59
PRI_LOU_047,46,3,1,6,0,0.7,567.96
PRI_LOU_047,47,0,0,0,1,0.84,576.12
PRI_LOU_047,48,0,0,0,1,0.51,584.5
PRI_LOU_047,49,4,5,6,0,0.84,593.03
PRI_LOU_047,50,1,0,1,0,1.47,602.14
PRI_LOU_047,51,1,1,1,1,1.07,610.92
PRI_LOU_047,52,3,0,6,0,0.78,619.38
PRI_LOU_047,53,1,0,1,0,0.54,627.5
PRI_LOU_047,54,2,0,5,0,0.59,635.84
PRI_LOU_047,55,6,6,6,1,1.94,645.42
PRI_LOU_047,56,2,0,5,0,0.56,653.62
PRI_LOU_047,57,0,0,0,1,1.07,662.41
PRI_LOU_047,58,3,5,6,0,0.87,670.93
PRI_LOU_047,59,1,0,1,0,0.79,679.55
PRI_LOU_047,60,3,0,6,0,1.15,688.5
PRI_LOU_047,61,3,1,6,0,1.42,697.58
PRI_LOU_047,62,3,0,6,0,0.78,705.73
PRI_LOU_047,63,1,0,1,0,0.75,714.15
PRI_LOU_047,64,0,0,0,1,1.33,723.11
PRI_LOU_047,65,4,6,6,1,0.77,731.54
PRI_LOU_047,66,3,0,6,0,1.3,740.48
PRI_LOU_047,67,2,0,5,0,0.76,748.6
PRI_LOU_047,68,5,5,6,0,0.71,756.66
PRI_LOU_047,69,2,1,5,0,0.73,765.1
PRI_LOU_047,70,5,0,6,0,1.11,773.61
PRI_LOU_047,71,6,1,6,0,1.6,782.85
PRI_LOU_047,72,2,0,5,0,1.35,791.57
PRI_LOU_047,73,0,0,0,1,0.64,799.85
PRI_LOU_047,74,1,0,1,0,0.83,808.38
PRI_LOU_047,75,2,5,5,1,1.1,817.1
PRI_LOU_047,76,2,0,5,0,0.73,825.52
PRI_LOU_047,77,1,0,1,0,0.55,833.74
PRI_LOU_047,78,4,1,6,0,1.04,842.39
PRI_LOU_047,79,2,1,5,0,0.67,850.67
PRI_LOU_047,80,2,0,5,0,0.63,859.16
PRI_LOU_047,81,0,0,0,1,1.26,867.79
PRI_LOU_047,82,4,1,6,0,0.77,876.04
PRI_LOU_047,83,4,1,6,0,0.66,884.31
PRI_LOU_047,84,2,0,5,0,1.23,892.9
PRI_LOU_047,85,4,0,6,0,1.61,901.93
PRI_LOU_047,86,3,0,6,0,0.7,910.46
PRI_LOU_047,87,1,0,1,0,1.36,919.5
PRI_LOU_047,88,0,0,0,1,0.75,927.88
PRI_LOU_047,89,0,0,0,1,0.64,936.24
PRI_LOU_047,90,0,0,0,1,0.6,944.24
PRI_LOU_047,91,1,5,1,0,1.49,953.57
PRI_LOU_047,92,5,5,6,0,1.43,962.61
PRI_LOU_047,93,4,1,6,0,0.66,970.68
PRI_LOU_047,94,6,0,6,0,1.52,979.92
PRI_LOU_047,95,3,0,6,0,0.68,988.44
PRI_LOU_047,96,5,5,6,0,0.64,996.81
PRI_LOU_047,97,4,0,6,0,0.32,1004.74
PRI_LOU_047,98,1,0,1,0,1.7,1014.02
PRI_LOU_047,99,1,0,1,0,0.55,1021.93
PRI_LOU_047,100,0,0,0,1,1.84,1149.04
PRI_LOU_047,101,0,0,0,1,0.57,1154.84
PRI_LOU_047,102,2,5,5,1,0.74,1160.79
PRI_LOU_047,103,2,5,5,1,0.72,1166.76
PRI_LOU_047,104,3,5,6,0,1.1,1173.12
PRI_LOU_047,105,0,0,0,1,1.46,1179.85
PRI_LOU_047,106,4,6,6,1,1.55,1186.64
PRI_LOU_047,107,1,0,1,0,0.92,1192.81
PRI_LOU_047,108,1,0,1,0,0.68,1198.7
PRI_LOU_047,109,2,5,5,1,0.49,1204.43
PRI_LOU_047,110,0,0,0,1,1.32,1210.98
PRI_LOU_047,111,1,1,1,1,1.13,1217.31
PRI_LOU_047,112,3,0,6,0,2.28,1224.87
PRI_LOU_047,113,6,1,6,0,1.6,1231.72
PRI_LOU_047,114,6,6,6,1,0.6,1237.54
PRI_LOU_047,115,1,0,1,0,0.7,1243.45
PRI_LOU_047,116,2,5,5,1,0.42,1249.11
PRI_LOU_047,117,6,6,6,1,0.52,1254.89
PRI_LOU_047,118,5,6,6,1,0.51,1260.63
PRI_LOU_047,119,4,6,6,1,0.56,1266.45
PRI_LOU_047,120,3,5,6,0,1.06,1272.78
PRI_LOU_047,121,0,0,0,1,0.42,1278.43
PRI_LOU_047,122,4,5,6,0,1.45,1285.11
PRI_LOU_047,123,4,6,6,1,0.33,1290.68
PRI_LOU_047,124,0,0,0,1,0.77,1296.71
PRI_LOU_047,125,0,0,0,1,0.59,1302.53
PRI_LOU_047,126,2,1,5,0,1.54,1309.33
PRI_LOU_047,127,4,6,6,1,0.52,1315.11
PRI_LOU_047,128,3,1,6,0,0.94,1321.3
PRI_LOU_047,129,0,0,0,1,0.61,1327.15
PRI_LOU_047,130,4,6,6,1,1.12,1333.51
PRI_LOU_047,131,3,5,6,0,1.3,1340.06
PRI_LOU_047,132,5,6,6,1,0.48,1345.77
PRI_LOU_047,133,2,1,5,0,1.04,1352.06
PRI_LOU_047,134,3,5,6,0,1.32,1358.63
PRI_LOU_047,135,4,5,6,0,0.97,1364.85
PRI_LOU_047,136,2,1,5,0,1.03,1371.12
PRI_LOU_047,137,3,1,6,0,1.18,1377.52
PRI_LOU_047,138,6,6,6,1,1.13,1383.9
PRI_LOU_047,139,0,0,0,1,0.91,1390.05
PRI_LOU_047,140,5,6,6,1,0.24,1395.54
