id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
RAB_BAP_058,100,29,45,29,29,1,common,0,1.74,48.95
RAB_BAP_058,101,66,52,52,52,1,common,0,1.55,55.24
RAB_BAP_058,102,44,53,44,44,1,common,0,1.4,61.38
RAB_BAP_058,0,44,24,24,24,1,common,1,1.43,81.84
RAB_BAP_058,1,29,23,23,23,1,common,2,1.74,86.35
RAB_BAP_058,2,27,12,12,12,1,common,3,1.25,90.32
RAB_BAP_058,3,74,65,65,65,1,common,4,1.27,94.36
RAB_BAP_058,4,90,75,75,75,1,common,5,1.1,98.24
RAB_BAP_058,5,18,12,12,12,1,common,6,0.95,101.94
RAB_BAP_058,6,16,9,9,9,1,common,7,0.98,105.64
RAB_BAP_058,7,40,25,25,40,0,common,7,1.86,110.27
RAB_BAP_058,8,60,75,60,60,1,common,8,1.08,114.13
RAB_BAP_058,9,25,43,25,25,1,common,9,0.88,117.75
RAB_BAP_058,10,15,26,15,15,1,common,10,0.9,121.42
RAB_BAP_058,11,54,71,54,54,1,common,11,1.21,125.39
RAB_BAP_058,12,46,29,46,29,0,common,11,1.05,129.16
RAB_BAP_058,13,53,33,33,33,1,common,12,1.13,133.06
RAB_BAP_058,14,38,52,38,38,1,common,13,1.44,137.28
RAB_BAP_058,15,44,24,24,24,1,common,14,0.93,140.94
RAB_BAP_058,16,13,12,12,12,1,common,15,1.41,145.09
RAB_BAP_058,17,58,64,64,58,0,common,15,2.66,150.51
RAB_BAP_058,18,13,31,13,13,1,common,16,2.64,155.88
RAB_BAP_058,19,98,88,88,88,1,common,17,3.08,161.75
RAB_BAP_058,20,31,43,31,31,1,common,18,1.84,166.36
RAB_BAP_058,21,25,36,25,25,1,common,19,1.57,170.67
RAB_BAP_058,22,29,42,29,29,1,common,20,1.37,174.77
RAB_BAP_058,23,20,32,20,20,1,common,21,1.55,179.06
RAB_BAP_058,24,19,36,36,36,1,common,22,1.32,183.13
RAB_BAP_058,25,36,48,36,36,1,common,23,1.07,186.97
RAB_BAP_058,26,33,13,13,13,1,common,24,0.99,190.68
RAB_BAP_058,27,35,45,35,35,1,common,25,1.14,194.6
RAB_BAP_058,28,35,24,24,24,1,common,26,1.16,198.46
RAB_BAP_058,29,45,28,28,28,1,common,27,0.95,202.14
RAB_BAP_058,30,13,30,13,13,1,common,28,1.12,206.0
RAB_BAP_058,31,17,36,17,36,0,common,28,4.62,213.38
RAB_BAP_058,32,74,62,62,62,1,common,29,5.69,221.84
RAB_BAP_058,33,26,31,26,26,1,common,30,2.84,227.41
RAB_BAP_058,34,38,28,28,28,1,common,31,1.97,232.17
RAB_BAP_058,35,72,81,72,72,1,common,32,2.22,237.2
RAB_BAP_058,36,21,16,21,16,0,common,32,4.94,244.88
RAB_BAP_058,37,21,36,36,36,1,common,33,1.41,249.05
RAB_BAP_058,38,16,36,16,16,1,common,34,1.19,252.97
RAB_BAP_058,39,16,8,8,8,1,common,35,0.68,256.38
RAB_BAP_058,40,18,12,12,12,1,common,36,1.55,260.68
RAB_BAP_058,41,76,67,67,67,1,common,37,2.36,265.82
RAB_BAP_058,42,92,84,92,84,0,common,37,1.5,270.1
RAB_BAP_058,43,34,14,14,14,1,common,38,0.71,273.54
RAB_BAP_058,44,14,9,9,9,1,common,39,0.63,276.88
RAB_BAP_058,45,103,83,103,83,0,common,39,1.25,280.88
RAB_BAP_058,46,23,33,23,23,1,common,40,1.78,285.39
RAB_BAP_058,47,28,19,28,28,1,common,41,1.08,289.21
RAB_BAP_058,48,30,41,30,30,1,common,42,1.08,293.01
RAB_BAP_058,49,53,35,35,35,1,common,43,1.15,296.91
RAB_BAP_058,50,33,34,34,33,0,pro,43,3.21,302.86
RAB_BAP_058,51,86,81,81,81,1,pro,44,2.76,308.39
RAB_BAP_058,52,52,33,33,33,1,pro,45,0.96,312.09
RAB_BAP_058,53,30,44,44,30,0,pro,45,1.41,316.27
RAB_BAP_058,54,35,30,35,30,0,pro,45,1.02,320.03
RAB_BAP_058,55,20,52,52,52,1,pro,46,2.71,325.51
RAB_BAP_058,56,31,52,31,52,0,pro,46,6.82,335.1
RAB_BAP_058,57,32,24,32,24,0,pro,46,2.09,339.94
RAB_BAP_058,58,35,60,35,60,0,pro,46,2.84,345.52
RAB_BAP_058,59,32,27,27,32,0,pro,46,2.6,350.87
RAB_BAP_058,60,20,31,20,20,1,pro,47,1.06,354.62
RAB_BAP_058,61,29,23,29,23,0,pro,47,2.2,359.56
RAB_BAP_058,62,14,24,24,24,1,pro,48,1.25,363.53
RAB_BAP_058,63,32,51,32,32,1,pro,49,1.64,367.94
RAB_BAP_058,64,30,11,30,11,0,pro,49,2.53,373.21
RAB_BAP_058,65,72,53,53,53,1,pro,50,1.48,377.46
RAB_BAP_058,66,51,41,41,41,1,pro,51,2.14,382.35
RAB_BAP_058,67,42,26,26,26,1,pro,52,2.33,387.44
RAB_BAP_058,68,48,23,48,48,1,pro,53,3.09,393.28
RAB_BAP_058,69,30,56,56,56,1,pro,54,1.37,397.4
RAB_BAP_058,70,62,43,43,43,1,pro,55,0.96,401.14
RAB_BAP_058,71,50,44,44,44,1,pro,56,0.87,404.77
RAB_BAP_058,72,14,20,20,20,1,pro,57,2.4,409.88
RAB_BAP_058,73,32,26,26,26,1,pro,58,1.38,413.98
RAB_BAP_058,74,39,19,19,19,1,pro,59,1.81,418.53
RAB_BAP_058,75,24,14,24,24,1,pro,60,2.32,423.58
RAB_BAP_058,76,70,55,55,55,1,pro,61,1.02,427.38
RAB_BAP_058,77,15,6,6,6,1,pro,62,0.72,430.83
RAB_BAP_058,78,31,44,31,31,1,pro,63,1.72,435.32
RAB_BAP_058,79,60,28,60,60,1,pro,64,2.57,440.63
RAB_BAP_058,80,31,20,31,20,0,pro,64,1.88,445.25
RAB_BAP_058,81,36,23,36,36,1,pro,65,1.49,449.49
RAB_BAP_058,82,63,80,63,63,1,pro,66,2.44,454.71
RAB_BAP_058,83,28,8,8,8,1,pro,67,0.59,458.03
RAB_BAP_058,84,32,21,32,32,1,pro,68,4.47,465.25
RAB_BAP_058,85,29,41,29,29,1,pro,69,2.61,470.61
RAB_BAP_058,86,22,40,40,40,1,pro,70,1.52,474.88
RAB_BAP_058,87,14,27,14,14,1,pro,71,1.95,479.58
RAB_BAP_058,88,32,48,48,48,1,pro,72,4.31,486.64
RAB_BAP_058,89,42,29,29,29,1,pro,73,1.39,490.79
RAB_BAP_058,90,81,92,81,81,1,pro,74,5.44,499.0
RAB_BAP_058,91,22,20,20,20,1,pro,75,2.38,504.1
RAB_BAP_058,92,32,45,32,32,1,pro,76,1.95,508.81
RAB_BAP_058,93,49,33,33,33,1,pro,77,3.32,514.87
RAB_BAP_058,94,58,41,41,41,1,pro,78,1.31,518.92
RAB_BAP_058,95,22,36,36,36,1,pro,79,2.52,524.22
RAB_BAP_058,96,77,83,77,77,1,pro,80,1.31,528.29
RAB_BAP_058,97,68,62,68,62,0,pro,80,1.85,532.89
RAB_BAP_058,98,22,17,17,17,1,pro,81,3.92,539.58
RAB_BAP_058,99,18,29,18,18,1,pro,82,2.15,544.46
