id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
RAB_BAP_058,999,2,1,5,0,2.19,88.86
RAB_BAP_058,999,3,5,6,0,1.88,98.08
RAB_BAP_058,999,1,0,1,0,1.0,106.18
RAB_BAP_058,0,0,0,0,1,1.21,130.99
RAB_BAP_058,1,3,1,6,0,1.02,139.64
RAB_BAP_058,2,6,5,6,0,0.8,148.05
RAB_BAP_058,3,0,0,0,1,2.15,157.9
RAB_BAP_058,4,3,1,6,0,0.8,166.35
RAB_BAP_058,5,0,1,0,0,0.76,174.92
RAB_BAP_058,6,1,5,1,0,0.79,183.14
RAB_BAP_058,7,4,5,6,0,0.8,191.3
RAB_BAP_058,8,0,0,0,1,1.02,199.81
RAB_BAP_058,9,3,5,6,0,0.98,208.53
RAB_BAP_058,10,2,0,5,0,1.11,217.48
RAB_BAP_058,11,1,1,1,1,0.65,225.95
RAB_BAP_058,12,5,6,6,1,1.05,234.65
RAB_BAP_058,13,3,0,6,0,0.97,243.02
RAB_BAP_058,14,1,0,1,0,0.49,251.19
RAB_BAP_058,15,1,0,1,0,0.61,259.14
RAB_BAP_058,16,2,0,5,0,2.33,268.98
RAB_BAP_058,17,2,1,5,0,1.06,277.43
RAB_BAP_058,18,0,0,0,1,0.59,285.86
RAB_BAP_058,19,5,1,6,0,1.18,294.47
RAB_BAP_058,20,2,1,5,0,0.91,303.21
RAB_BAP_058,21,1,0,1,0,0.68,311.3
RAB_BAP_058,22,3,1,6,0,0.76,319.75
RAB_BAP_058,23,0,0,0,1,0.59,328.04
RAB_BAP_058,24,4,1,6,0,0.47,336.12
RAB_BAP_058,25,2,1,5,0,0.61,344.36
RAB_BAP_058,26,2,0,5,0,1.43,353.46
RAB_BAP_058,27,4,0,6,0,0.7,361.82
RAB_BAP_058,28,0,0,0,1,1.01,370.4
RAB_BAP_058,29,2,1,5,0,0.57,378.61
RAB_BAP_058,30,4,1,6,0,0.64,386.82
RAB_BAP_058,31,0,0,0,1,1.27,395.48
RAB_BAP_058,32,6,5,6,0,0.58,403.79
RAB_BAP_058,33,4,1,6,0,0.8,412.42
RAB_BAP_058,34,5,5,6,0,0.73,420.98
RAB_BAP_058,35,5,0,6,0,0.51,429.13
RAB_BAP_058,36,5,1,6,0,0.83,437.44
RAB_BAP_058,37,5,5,6,0,0.91,446.01
RAB_BAP_058,38,6,5,6,0,0.77,454.22
RAB_BAP_058,39,1,1,1,1,0.63,462.55
RAB_BAP_058,40,0,0,0,1,0.53,470.71
RAB_BAP_058,41,0,0,0,1,0.25,478.57
RAB_BAP_058,42,2,5,5,1,0.86,487.08
RAB_BAP_058,43,2,0,5,0,0.83,495.46
RAB_BAP_058,44,5,1,6,0,0.78,504.06
RAB_BAP_058,45,0,0,0,1,0.76,512.58
RAB_BAP_058,46,3,0,6,0,0.66,520.92
RAB_BAP_058,47,0,0,0,1,1.35,529.64
RAB_BAP_058,48,0,0,0,1,0.64,538.13
RAB_BAP_058,49,4,1,6,0,0.68,546.5
RAB_BAP_058,50,1,0,1,0,0.76,554.93
RAB_BAP_058,51,1,0,1,0,0.66,563.3
RAB_BAP_058,52,3,0,6,0,0.78,571.74
RAB_BAP_058,53,1,0,1,0,1.1,580.47
RAB_BAP_058,54,2,1,5,0,0.82,589.04
RAB_BAP_058,55,6,6,6,1,0.45,597.14
RAB_BAP_058,56,2,0,5,0,0.84,605.67
RAB_BAP_058,57,0,0,0,1,0.71,614.11
RAB_BAP_058,58,3,5,6,0,1.12,622.89
RAB_BAP_058,59,1,0,1,0,0.74,631.47
RAB_BAP_058,60,3,1,6,0,0.68,639.9
RAB_BAP_058,61,3,1,6,0,0.74,648.35
RAB_BAP_058,62,3,0,6,0,0.78,656.51
RAB_BAP_058,63,1,0,1,0,0.64,664.81
RAB_BAP_058,64,0,0,0,1,0.44,672.93
RAB_BAP_058,65,4,1,6,0,0.65,681.28
RAB_BAP_058,66,3,1,6,0,0.63,689.56
RAB_BAP_058,67,2,5,5,1,1.0,697.97
RAB_BAP_058,68,5,5,6,0,0.83,706.17
RAB_BAP_058,69,2,0,5,0,0.58,714.42
RAB_BAP_058,70,5,5,6,0,0.79,722.61
RAB_BAP_058,71,6,6,6,1,0.83,731.14
RAB_BAP_058,72,2,1,5,0,1.01,739.53
RAB_BAP_058,73,0,0,0,1,0.76,747.94
RAB_BAP_058,74,1,1,1,1,0.77,756.39
RAB_BAP_058,75,2,1,5,0,0.41,764.47
RAB_BAP_058,76,2,1,5,0,0.61,772.78
RAB_BAP_058,77,1,0,1,0,0.53,780.94
RAB_BAP_058,78,4,5,6,0,0.49,789.08
RAB_BAP_058,79,2,1,5,0,0.76,797.43
RAB_BAP_058,80,2,1,5,0,0.64,805.93
RAB_BAP_058,81,0,0,0,1,0.61,813.92
RAB_BAP_058,82,4,1,6,0,0.67,822.07
RAB_BAP_058,83,4,0,6,0,0.72,830.43
RAB_BAP_058,84,2,1,5,0,0.5,838.26
RAB_BAP_058,85,4,1,6,0,0.59,846.27
RAB_BAP_058,86,3,5,6,0,0.92,855.06
RAB_BAP_058,87,1,0,1,0,0.71,863.44
RAB_BAP_058,88,0,0,0,1,0.58,871.67
RAB_BAP_058,89,0,0,0,1,0.64,880.02
RAB_BAP_058,90,0,0,0,1,0.66,888.07
RAB_BAP_058,91,1,0,1,0,0.55,896.43
RAB_BAP_058,92,5,1,6,0,0.5,904.52
RAB_BAP_058,93,4,5,6,0,0.51,912.4
RAB_BAP_058,94,6,5,6,0,0.78,920.88
RAB_BAP_058,95,3,0,6,0,0.62,929.32
RAB_BAP_058,96,5,6,6,1,0.88,937.89
RAB_BAP_058,97,4,0,6,0,0.66,946.19
RAB_BAP_058,98,1,0,1,0,0.39,954.17
RAB_BAP_058,99,1,1,1,1,0.79,962.35
RAB_BAP_058,100,0,0,0,1,1.13,1088.77
RAB_BAP_058,101,0,0,0,1,0.79,1094.81
RAB_BAP_058,102,2,5,5,1,0.63,1100.66
