id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
RAB_BAP_058,100,6,6,1,0,0.48,26.4
RAB_BAP_058,101,6,6,1,0,0.49,31.04
RAB_BAP_058,102,0,0,1,0,1.18,36.38
RAB_BAP_058,0,0,0,1,1,0.78,54.76
RAB_BAP_058,1,0,6,0,1,2.51,59.45
RAB_BAP_058,2,6,6,1,2,0.73,62.34
RAB_BAP_058,3,6,6,1,3,0.86,65.36
RAB_BAP_058,4,6,6,1,4,2.11,69.68
RAB_BAP_058,5,0,6,0,4,0.78,72.63
RAB_BAP_058,6,6,6,1,5,0.42,75.25
RAB_BAP_058,7,0,6,0,5,1.1,78.53
RAB_BAP_058,8,0,0,1,6,0.61,81.33
RAB_BAP_058,9,6,6,1,7,0.63,84.13
RAB_BAP_058,10,0,6,0,7,0.6,86.92
RAB_BAP_058,11,6,6,1,8,0.44,89.52
RAB_BAP_058,12,0,0,1,9,0.5,92.19
RAB_BAP_058,13,6,6,1,10,0.75,95.12
RAB_BAP_058,14,6,6,1,11,0.72,98.0
RAB_BAP_058,15,6,6,1,12,1.73,101.89
RAB_BAP_058,16,6,6,1,13,0.63,104.68
RAB_BAP_058,17,0,6,0,13,0.47,107.32
RAB_BAP_058,18,0,6,0,13,0.53,110.03
RAB_BAP_058,19,0,0,1,14,0.55,112.77
RAB_BAP_058,20,0,6,0,14,0.59,115.53
RAB_BAP_058,21,6,6,1,15,0.42,118.14
RAB_BAP_058,22,6,6,1,16,0.85,121.17
RAB_BAP_058,23,6,6,1,17,0.56,123.91
RAB_BAP_058,24,0,0,1,18,0.76,126.86
RAB_BAP_058,25,0,6,0,18,0.72,129.75
RAB_BAP_058,26,0,0,1,19,0.6,132.52
RAB_BAP_058,27,0,6,0,19,0.47,135.17
RAB_BAP_058,28,6,6,1,20,0.62,137.97
RAB_BAP_058,29,0,6,0,20,2.9,143.05
RAB_BAP_058,30,0,6,0,20,0.54,145.75
RAB_BAP_058,31,0,0,1,21,0.71,148.63
RAB_BAP_058,32,0,6,0,21,1.77,152.57
RAB_BAP_058,33,0,0,1,22,0.65,155.4
RAB_BAP_058,34,0,0,1,23,0.58,158.15
RAB_BAP_058,35,6,6,1,24,1.25,161.57
RAB_BAP_058,36,6,6,1,25,0.6,164.33
RAB_BAP_058,37,0,0,1,26,0.47,166.97
RAB_BAP_058,38,0,0,1,27,0.64,169.78
RAB_BAP_058,39,0,6,0,27,1.15,173.1
RAB_BAP_058,40,0,0,1,28,0.42,175.68
RAB_BAP_058,41,0,0,1,29,0.41,178.28
RAB_BAP_058,42,6,6,1,30,0.6,181.05
RAB_BAP_058,43,0,6,0,30,0.58,183.81
RAB_BAP_058,44,6,6,1,31,0.5,186.5
RAB_BAP_058,45,6,6,1,32,0.5,189.19
RAB_BAP_058,46,6,6,1,33,0.68,192.05
RAB_BAP_058,47,6,6,1,34,0.51,194.73
RAB_BAP_058,48,0,0,1,35,0.42,197.32
RAB_BAP_058,49,0,0,1,36,0.57,200.09
RAB_BAP_058,50,0,0,1,37,0.46,202.74
RAB_BAP_058,51,6,6,1,38,0.43,205.35
RAB_BAP_058,52,6,6,1,39,0.6,208.13
RAB_BAP_058,53,6,6,1,40,0.48,210.78
RAB_BAP_058,54,0,6,0,40,2.62,215.59
RAB_BAP_058,55,6,6,1,41,1.31,219.07
RAB_BAP_058,56,6,6,1,42,0.74,221.99
RAB_BAP_058,57,6,6,1,43,0.7,224.87
RAB_BAP_058,58,6,6,1,44,0.78,227.84
RAB_BAP_058,59,0,6,0,44,0.46,230.47
RAB_BAP_058,60,6,6,1,45,0.69,233.34
RAB_BAP_058,61,6,6,1,46,0.63,236.15
RAB_BAP_058,62,6,6,1,47,1.37,239.71
RAB_BAP_058,63,6,6,1,48,0.59,242.49
RAB_BAP_058,64,0,6,0,48,0.67,245.34
RAB_BAP_058,65,6,6,1,49,0.64,248.17
RAB_BAP_058,66,0,6,0,49,0.56,250.93
RAB_BAP_058,67,0,0,1,50,0.38,253.5
RAB_BAP_058,68,0,0,1,51,0.54,256.23
RAB_BAP_058,69,6,6,1,52,0.44,258.83
RAB_BAP_058,70,6,6,1,53,0.73,261.75
RAB_BAP_058,71,6,6,1,54,1.74,265.68
RAB_BAP_058,72,6,6,1,55,1.11,268.98
RAB_BAP_058,73,0,0,1,56,0.48,271.63
RAB_BAP_058,74,0,0,1,57,0.48,274.28
RAB_BAP_058,75,6,6,1,58,0.42,276.86
RAB_BAP_058,76,0,6,0,58,0.62,279.66
RAB_BAP_058,77,6,6,1,59,0.47,282.29
RAB_BAP_058,78,6,6,1,60,2.13,286.6
RAB_BAP_058,79,6,6,1,61,0.82,289.61
RAB_BAP_058,80,6,6,1,62,0.47,292.27
RAB_BAP_058,81,0,0,1,63,0.25,294.7
RAB_BAP_058,82,6,6,1,64,0.88,297.75
RAB_BAP_058,83,6,6,1,65,0.54,300.47
RAB_BAP_058,84,0,0,1,66,0.56,303.2
RAB_BAP_058,85,0,6,0,66,0.81,306.2
RAB_BAP_058,86,6,6,1,67,0.66,309.05
RAB_BAP_058,87,6,6,1,68,0.89,312.13
RAB_BAP_058,88,6,6,1,69,1.28,315.58
RAB_BAP_058,89,6,6,1,70,0.5,318.25
RAB_BAP_058,90,0,0,1,71,0.99,321.43
RAB_BAP_058,91,0,6,0,71,0.98,324.58
RAB_BAP_058,92,6,6,1,72,1.36,328.13
RAB_BAP_058,93,0,6,0,72,0.57,330.87
RAB_BAP_058,94,6,6,1,73,0.46,333.51
RAB_BAP_058,95,6,6,1,74,1.54,337.23
RAB_BAP_058,96,0,6,0,74,0.57,339.98
RAB_BAP_058,97,0,0,1,75,0.69,342.86
RAB_BAP_058,98,0,0,1,76,0.45,345.49
RAB_BAP_058,99,0,6,0,76,0.54,348.25
