id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
RAF_JUL_014,100,29,45,29,29,1,common,0,6.7,49.55
RAF_JUL_014,101,66,52,52,52,1,common,0,1.83,56.12
RAF_JUL_014,102,44,53,44,44,1,common,0,1.68,62.6
RAF_JUL_014,0,44,24,24,24,1,common,1,2.07,84.18
RAF_JUL_014,1,29,23,29,23,0,common,1,5.67,92.61
RAF_JUL_014,2,12,27,12,12,1,common,2,2.04,97.38
RAF_JUL_014,3,74,65,65,65,1,common,3,2.82,102.98
RAF_JUL_014,4,75,90,75,75,1,common,4,1.18,106.93
RAF_JUL_014,5,18,12,12,12,1,common,5,1.82,111.51
RAF_JUL_014,6,16,9,9,9,1,common,6,0.88,115.12
RAF_JUL_014,7,40,25,40,40,1,common,7,3.23,121.09
RAF_JUL_014,8,75,60,60,60,1,common,8,3.29,127.14
RAF_JUL_014,9,43,25,25,25,1,common,9,1.63,131.55
RAF_JUL_014,10,26,15,15,15,1,common,10,3.59,137.85
RAF_JUL_014,11,54,71,54,54,1,common,11,1.42,142.06
RAF_JUL_014,12,46,29,29,29,1,common,12,1.25,146.03
RAF_JUL_014,13,53,33,33,33,1,common,13,3.3,152.08
RAF_JUL_014,14,38,52,38,38,1,common,14,1.27,156.12
RAF_JUL_014,15,44,24,24,24,1,common,15,0.89,159.75
RAF_JUL_014,16,12,13,12,12,1,common,16,3.57,166.09
RAF_JUL_014,17,58,64,58,58,1,common,17,1.25,170.13
RAF_JUL_014,18,13,31,13,13,1,common,18,0.97,173.81
RAF_JUL_014,19,98,88,98,88,0,common,18,1.31,177.9
RAF_JUL_014,20,31,43,31,31,1,common,19,1.0,181.66
RAF_JUL_014,21,36,25,25,25,1,common,20,0.73,185.14
RAF_JUL_014,22,29,42,29,29,1,common,21,1.0,188.85
RAF_JUL_014,23,20,32,20,20,1,common,22,0.94,192.53
RAF_JUL_014,24,19,36,36,36,1,common,23,6.59,201.89
RAF_JUL_014,25,48,36,48,36,0,common,23,1.2,205.85
RAF_JUL_014,26,33,13,13,13,1,common,24,1.28,209.87
RAF_JUL_014,27,35,45,35,35,1,common,25,1.4,214.07
RAF_JUL_014,28,35,24,24,24,1,common,26,0.72,217.53
RAF_JUL_014,29,28,45,28,28,1,common,27,0.98,221.26
RAF_JUL_014,30,13,30,13,13,1,common,28,0.73,224.74
RAF_JUL_014,31,36,17,17,36,0,common,28,3.6,231.13
RAF_JUL_014,32,74,62,62,62,1,common,29,1.12,235.01
RAF_JUL_014,33,31,26,31,26,0,common,29,1.21,238.98
RAF_JUL_014,34,38,28,28,28,1,common,30,1.45,243.21
RAF_JUL_014,35,81,72,72,72,1,common,31,1.47,247.47
RAF_JUL_014,36,21,16,16,16,1,common,32,1.9,252.13
RAF_JUL_014,37,21,36,36,36,1,common,33,3.55,258.43
RAF_JUL_014,38,36,16,16,16,1,common,34,0.95,262.14
RAF_JUL_014,39,16,8,8,8,1,common,35,0.96,265.86
RAF_JUL_014,40,18,12,12,12,1,common,36,1.44,270.03
RAF_JUL_014,41,67,76,67,67,1,common,37,1.59,274.42
RAF_JUL_014,42,84,92,84,84,1,common,38,1.25,278.48
RAF_JUL_014,43,14,34,14,14,1,common,39,0.91,282.14
RAF_JUL_014,44,14,9,9,9,1,common,40,1.27,286.14
RAF_JUL_014,45,83,103,83,83,1,common,41,1.15,290.09
RAF_JUL_014,46,33,23,23,23,1,common,42,2.15,294.98
RAF_JUL_014,47,28,19,28,28,1,common,43,2.73,300.47
RAF_JUL_014,48,41,30,30,30,1,common,44,2.29,305.49
RAF_JUL_014,49,35,53,35,35,1,common,45,0.96,309.2
RAF_JUL_014,50,34,33,34,33,0,pro,45,4.61,316.52
RAF_JUL_014,51,81,86,81,81,1,pro,46,3.15,322.47
RAF_JUL_014,52,33,52,52,33,0,pro,46,3.15,328.38
RAF_JUL_014,53,30,44,44,30,0,pro,46,8.77,339.93
RAF_JUL_014,54,30,35,35,30,0,pro,46,1.34,344.0
RAF_JUL_014,55,20,52,52,52,1,pro,47,0.88,347.64
RAF_JUL_014,56,52,31,52,52,1,pro,48,4.08,354.47
RAF_JUL_014,57,24,32,32,24,0,pro,48,1.63,358.86
RAF_JUL_014,58,60,35,60,60,1,pro,49,3.58,365.2
RAF_JUL_014,59,32,27,32,32,1,pro,50,1.2,369.16
RAF_JUL_014,60,20,31,20,20,1,pro,51,2.67,374.53
RAF_JUL_014,61,23,29,23,23,1,pro,52,1.41,378.72
RAF_JUL_014,62,24,14,24,24,1,pro,53,3.33,384.83
RAF_JUL_014,63,51,32,32,32,1,pro,54,4.89,392.5
RAF_JUL_014,64,30,11,11,11,1,pro,55,1.73,396.98
RAF_JUL_014,65,72,53,53,53,1,pro,56,2.38,402.15
RAF_JUL_014,66,41,51,41,41,1,pro,57,1.47,406.4
RAF_JUL_014,67,26,42,26,26,1,pro,58,1.38,410.54
RAF_JUL_014,68,48,23,48,48,1,pro,59,1.81,415.12
RAF_JUL_014,69,30,56,56,56,1,pro,60,1.11,418.99
RAF_JUL_014,70,62,43,43,43,1,pro,61,0.77,422.53
RAF_JUL_014,71,44,50,44,44,1,pro,62,0.73,426.06
RAF_JUL_014,72,14,20,20,20,1,pro,63,0.98,429.82
RAF_JUL_014,73,32,26,26,26,1,pro,64,2.35,434.9
RAF_JUL_014,74,39,19,19,19,1,pro,65,6.14,443.75
RAF_JUL_014,75,24,14,24,24,1,pro,66,1.11,447.62
RAF_JUL_014,76,55,70,55,55,1,pro,67,0.66,451.06
RAF_JUL_014,77,15,6,6,6,1,pro,68,0.98,454.78
RAF_JUL_014,78,31,44,31,31,1,pro,69,1.41,458.94
RAF_JUL_014,79,60,28,60,60,1,pro,70,1.23,462.94
RAF_JUL_014,80,20,31,20,20,1,pro,71,1.51,467.19
RAF_JUL_014,81,36,23,36,36,1,pro,72,1.23,471.21
RAF_JUL_014,82,80,63,63,63,1,pro,73,1.72,475.73
RAF_JUL_014,83,28,8,8,8,1,pro,74,0.72,479.16
RAF_JUL_014,84,32,21,21,32,0,pro,74,4.77,486.7
RAF_JUL_014,85,29,41,29,29,1,pro,75,1.26,490.67
RAF_JUL_014,86,40,22,40,40,1,pro,76,1.3,494.73
RAF_JUL_014,87,14,27,14,14,1,pro,77,0.82,498.33
RAF_JUL_014,88,32,48,48,48,1,pro,78,2.34,503.43
RAF_JUL_014,89,29,42,42,29,0,pro,78,0.93,507.18
RAF_JUL_014,90,92,81,81,81,1,pro,79,1.4,511.38
RAF_JUL_014,91,20,22,20,20,1,pro,80,0.73,514.87
RAF_JUL_014,92,32,45,32,32,1,pro,81,2.39,520.02
RAF_JUL_014,93,49,33,49,33,0,pro,81,4.24,527.04
RAF_JUL_014,94,58,41,41,41,1,pro,82,0.89,530.68
RAF_JUL_014,95,22,36,22,36,0,pro,82,2.47,535.9
RAF_JUL_014,96,83,77,77,77,1,pro,83,1.33,540.04
RAF_JUL_014,97,62,68,62,62,1,pro,84,1.08,543.91
RAF_JUL_014,98,17,22,17,17,1,pro,85,1.27,547.9
RAF_JUL_014,99,29,18,18,18,1,pro,86,0.8,551.42
